ID,draft_g,mp,draft_fg,fga,3p,3pa,draft_ft,fta,orb,draft_trb,draft_ast,draft_stl,draft_blk,draft_tov,draft_pf,draft_pts,fg_per,3p_per,ft_per,mp_per,pts_per,trb_per,ast_per,season,weight,height,position,shoots,born,draft_year,pk,amature_honor,college,raw_data,career_g,career_per,career_ws,career_ws48,career_per_greater_or_equal_13,careerws_pergame_greater_or_equal_03,career_ws48_greater_or_equal_055
1985014,0.777777778,0.810758263,0.899262899,0.881118881,0,0,0.478873239,0.543175487,0,0.51092437,0.110429448,0.277027027,0.01826484,0.525974026,0.709923664,0.721943049,0.693409742,0,0.715605749,0.952261307,0.718309859,0.496969697,0.114583333,1984-85,0.385416667,0.507042254,Shooting Guard,Right,1962-07-19,1985,14,1,Loyola University of Chicago,1,68,8.2,-0.5,-0.029,no,no,no
1985015,0.722222222,0.700583279,0.479115479,0.444055944,0,0,0.383802817,0.420612813,0,0.356302521,0.104294479,0.094594595,0.150684932,0.422077922,0.816793893,0.412897822,0.733524355,0,0.741273101,0.876884422,0.430985915,0.357575758,0.114583333,1984-85,0.552083333,0.746478873,Center,Right,1962-11-13,1985,15,0,University of Oregon,1,532,13.3,19,0.08,yes,yes,yes
1985016,0.833333333,0.712248866,0.412776413,0.325174825,0,0,0.35915493,0.348189415,0,0.359663866,0.168711656,0.141891892,0.232876712,0.37012987,0.908396947,0.361809045,0.862464183,0,0.837782341,0.788944724,0.329577465,0.309090909,0.166666667,1984-85,0.53125,0.746478873,Center,Right,1963-04-26,1985,16,1,St. John's University,1,720,10.9,17.7,0.087,no,no,yes
1985017,0.777777778,0,0.520884521,0.437062937,0,0,0.36971831,0.409470752,0,0.331092437,0,0.101351351,0.328767123,0.461038961,0.755725191,0.438023451,0.809455587,0,0.733059548,0,0.428169014,0.303030303,0,1984-85,0.5625,0.788732394,Center,Right,1962-03-26,1985,17,0,Indiana University,1,235,6.6,0.4,0.009,no,no,no
1985018,0.611111111,0,0.609336609,0.583916084,0,0,0.707746479,0.657381616,0,0.205042017,0.325153374,0.378378378,0.01826484,0.506493506,0.534351145,0.578726968,0.709169054,0,0.874743326,0,0.704225352,0.218181818,0.40625,1984-85,0.270833333,0.422535211,Shooting Guard and Point Guard,Right,1963-05-24,1985,18,0,McNeese State University,1,1018,15.3,86.2,0.118,yes,yes,yes
1985019,0.722222222,0.692806222,0.670761671,0.581585082,0,0,0.654929577,0.598885794,0,0.208403361,0,0.533783784,0.03196347,0.402597403,0.534351145,0.608040201,0.783667622,0,0.888090349,0.866834171,0.642253521,0.181818182,0,1984-85,0.291666667,0.507042254,Shooting Guard,Right,1963-10-15,1985,19,0,University of Tulsa,1,207,13.3,3.1,0.053,yes,no,no
1985020,0.666666667,0.708360337,0.601965602,0.524475524,0,0,0.61971831,0.579387187,0,0.171428571,0,0.283783784,0.01369863,0.746753247,0.641221374,0.552763819,0.779369628,0,0.868583162,0.947236181,0.625352113,0.157575758,0,1984-85,0.239583333,0.394366197,Point Guard and Shooting Guard,Right,1963-05-18,1985,20,1,Michigan State University,1,396,14.1,10.9,0.069,yes,no,yes
1985021,0.638888889,0.672715489,0.7002457,0.624708625,0,0,0.521126761,0.69637883,0,0.524369748,0,0.25,0.063926941,0,0,0.596314908,0.76217765,0,0.607802875,0.932160804,0.698591549,0.618181818,0,1984-85,0.40625,0.605633803,Power Forward,Right,1963-08-22,1985,21,0,University of South Alabama,1,515,14.1,20.9,0.074,yes,yes,yes
1985022,0.666666667,0.520414776,0.314496314,0.297202797,0,0,0.225352113,0.298050139,0,0.278991597,0,0.324324324,0.050228311,0.525974026,0.541984733,0.262981575,0.719197708,0,0.613963039,0.695979899,0.287323944,0.290909091,0,1984-85,0.3125,0.605633803,Shooting Guard and Small Forward,Right,1962-12-23,1985,22,0,Louisiana State University,1,443,15,10.5,0.06,yes,no,yes
1985023,0.722222222,0.771872975,0.533169533,0.421911422,0,0,0.552816901,0.643454039,0,0.463865546,0.190184049,0.290540541,0.082191781,0.474025974,0.503816794,0.489949749,0.858166189,0,0.698151951,0.964824121,0.515492958,0.478787879,0.208333333,1984-85,0.40625,0.647887324,Power Forward and Small Forward,Right,1963-10-04,1985,23,1,Oregon State University,1,1278,14.4,99.5,0.131,yes,yes,yes
1985024,0.694444444,0.675307842,0.572481572,0.472027972,0,0,0.443661972,0.420612813,0,0.243697479,0.395705521,0.317567568,0.03652968,0.454545455,0.572519084,0.49078727,0.823782235,0,0.856262834,0.871859296,0.532394366,0.236363636,0.447916667,1984-85,0.291666667,0.422535211,Point Guard,Right,1963-04-08,1985,24,0,University of Wisconsin-Stevens Point,1,1274,17.2,110.4,0.15,yes,yes,yes
1985025,0.638888889,0.52624757,0.422604423,0.333333333,0,0,0.341549296,0.412256267,0,0.305882353,0,0.094594595,0.237442922,0.5,0.65648855,0.364321608,0.861031519,0,0.6724846,0.728643216,0.422535211,0.339393939,0,1984-85,0.552083333,0.746478873,Power Forward and Center,Right,1962-08-31,1985,25,0,Canisius College,1,194,7.4,0.7,0.018,no,no,no
1985026,0.916666667,0.743357097,0.481572482,0.420745921,0,0,0.267605634,0.325905292,0,0.376470588,0,0.256756757,0.054794521,0.454545455,0.694656489,0.386934673,0.777936963,0,0.667351129,0.75879397,0.323943662,0.296969697,0,1984-85,0.333333333,0.577464789,Small Forward,Right,1962-08-16,1985,26,0,Georgetown University,1,84,10.4,0.3,0.016,no,no,no
1985027,0.833333333,0.721970188,0.506142506,0.418414918,0,0,0.373239437,0.381615599,0,0.223529412,0,0.236486486,0.059360731,0.551948052,0.786259542,0.42881072,0.82234957,0,0.794661191,0.798994975,0.394366197,0.16969697,0,1984-85,0.239583333,0.535211268,Small Forward,Right,1963-02-07,1985,27,0,Villanova University,1,45,8.3,-0.3,-0.026,no,no,no
1985028,0.638888889,0.641607259,0.314496314,0.247086247,0,0,0.158450704,0.275766017,0,0.462184874,0,0.087837838,0.328767123,0.409090909,0.534351145,0.247068677,0.865329513,0,0.467145791,0.889447236,0.281690141,0.539393939,0,1984-85,0.5,0.605633803,Power Forward,Right,1962-11-07,1985,28,0,Michigan State University,1,64,9.3,0.8,0.044,no,no,no
1985029,0.527777778,0.410239793,0.238329238,0.256410256,0,0,0.197183099,0.267409471,0,0.275630252,0,0.027027027,0.219178082,0.376623377,0.511450382,0.204355109,0.631805158,0,0.598562628,0.663316583,0.270422535,0.363636364,0,1984-85,0.479166667,0.746478873,Center,Right,1963-06-21,1985,29,0,University of South Carolina,1,38,4.7,-0.1,-0.011,no,no,no
1985031,0.722222222,0,0.744471744,0.578088578,0,0,0.320422535,0.426183844,0,0.687394958,0.128834356,0.054054054,1,0.376623377,0.549618321,0.578726968,0.875358166,0,0.610882957,0,0.611267606,0.739393939,0.145833333,1984-85,0.3125,1,Center,Right,1962-10-16,1985,31,0,University of Bridgeport,1,624,9.4,12.3,0.051,no,no,no
1985032,0.666666667,0.649384316,0.474201474,0.434731935,0,0,0.35915493,0.459610028,0,0.507563025,0,0.128378378,0.260273973,0.551948052,0.572519084,0.403685092,0.740687679,0,0.63449692,0.869346734,0.450704225,0.575757576,0,1984-85,0.572916667,0.788732394,Center,Right,1963-04-13,1985,32,0,Santa Clara University,1,68,7.7,-0.1,-0.007,no,no,no
1985033,0.75,0.744005185,0.643734644,0.558275058,0,0,0.401408451,0.473537604,0,0.433613445,0,0.324324324,0.283105023,0.493506494,0.732824427,0.529313233,0.783667622,0,0.688911704,0.90201005,0.538028169,0.43030303,0,1984-85,0.40625,0.676056338,Power Forward,Right,1963-08-05,1985,33,0,University of Iowa,1,42,9,0.3,0.041,no,no,no
1985035,0.666666667,0.650680493,0.464373464,0.412587413,0,0,0.292253521,0.284122563,0,0.379831933,0.211656442,0.304054054,0.050228311,0.474025974,0.625954198,0.381072027,0.76504298,0,0.835728953,0.869346734,0.425352113,0.412121212,0.25,1984-85,0.364583333,0.535211268,Small Forward,Right,1962-12-31,1985,35,0,DePaul University,1,1065,13.1,56.5,0.098,yes,yes,yes
1985036,0.805555556,0.681140635,0.371007371,0.312354312,0,0,0.320422535,0.342618384,0,0.359663866,0,0.162162162,0.02283105,0.597402597,0.786259542,0.324120603,0.806590258,0,0.759753593,0.77638191,0.304225352,0.321212121,0,1984-85,0.53125,0.718309859,Center,Right,1957-10-31,1985,36,0,Georgia Institute of Technology,1,1,12.8,0,0.309,no,no,yes
1985037,0.638888889,0,0.55036855,0.481351981,0,0,0.5,0.557103064,0,0.645378151,0,0.554054054,0.356164384,0,0,0.489112228,0.776504298,0,0.728952772,0,0.571830986,0.775757576,0,1984-85,0.260416667,0.577464789,Small Forward,Right,1962-12-04,1985,37,0,Long Island University,1,180,14.1,5.3,0.107,yes,no,yes
1985040,0.666666667,0.621516526,0.542997543,0.442890443,0,0,0.35915493,0.454038997,0,0.453781513,0,0.277027027,0.136986301,0.467532468,0.824427481,0.450586265,0.833810888,0,0.642710472,0.831658291,0.507042254,0.509090909,0,1984-85,0.40625,0.718309859,Center,Right,1962-11-15,1985,40,1,Oral Roberts University,1,375,9,9.3,0.075,no,no,yes
1985041,0.777777778,0.715489307,0.57985258,0.479020979,0,0,0.440140845,0.495821727,0,0.339495798,0,0.094594595,0.105022831,0.305194805,0.442748092,0.494974874,0.82234957,0,0.72073922,0.841708543,0.487323944,0.309090909,0,1984-85,0.4375,0.577464789,Small Forward,Right,1963-11-25,1985,41,1,North Carolina State University,1,36,11.5,0.5,0.086,no,no,yes
1985043,0.805555556,0.784834738,0.73955774,0.707459207,0,0,0.482394366,0.47632312,0,0.21512605,0,0.290540541,0.00913242,0.506493506,0.564885496,0.613065327,0.710601719,0,0.82238193,0.894472362,0.588732394,0.16969697,0,1984-85,0.291666667,0.507042254,Small Forward,Right,1963-01-17,1985,43,0,Iowa State University,1,2,15.2,0,0.157,yes,no,yes
1985044,0.694444444,0.733635774,0.643734644,0.578088578,0,0,0.366197183,0.395543175,0,0.309243697,0,0,0.0456621,0,0.541984733,0.520938023,0.756446991,0,0.751540041,0.947236181,0.566197183,0.315151515,0,1984-85,0.3125,0.605633803,Small Forward,Right,1962-10-12,1985,44,0,Bradley University,1,4,-5.6,-0.1,-0.355,no,no,no
1985045,0.638888889,0.651976669,0.464373464,0.389277389,0,0,0.422535211,0.431754875,0,0.351260504,0.199386503,0.114864865,0.292237443,0.493506494,0.564885496,0.412060302,0.810888252,0,0.794661191,0.90201005,0.478873239,0.393939394,0.239583333,1984-85,0.385416667,0.718309859,Center and Power Forward,Right,1962-08-09,1985,45,0,Tulane University,1,887,15.6,70.5,0.129,yes,yes,yes
1985046,0.888888889,0.841218406,0.663390663,0.616550117,0,0,0.461267606,0.479108635,0,0.28907563,0,0.304054054,0.082191781,0.642857143,0.923664122,0.556951424,0.730659026,0,0.782340862,0.881909548,0.487323944,0.218181818,0,1984-85,0.239583333,0.577464789,Small Forward,Right,1963-11-17,1985,46,1,University of Maryland,1,130,15.1,2.1,0.07,yes,no,yes
1985047,0.75,0.76992871,0.678132678,0.62004662,0,0,0.422535211,0.529247911,0,0.230252101,0.248466258,0.398648649,0.03196347,0.584415584,0.496183206,0.557788945,0.743553009,0,0.648870637,0.932160804,0.569014085,0.2,0.260416667,1984-85,0.239583333,0.535211268,Shooting Guard and Small Forward,Right,1963-09-11,1985,47,0,University of Tennessee at Chattanooga,1,900,13,33.9,0.062,yes,yes,yes
1985049,0.777777778,0.692806222,0.321867322,0.292540793,0,0,0.292253521,0.364902507,0,0.465546218,0,0.148648649,0.200913242,0.454545455,0.824427481,0.283919598,0.747851003,0,0.650924025,0.814070352,0.273239437,0.448484848,0,1984-85,0.4375,0.718309859,Power Forward,Right,1962-03-26,1985,49,0,"University of California, Los Angeles",1,16,9.5,-0.1,-0.045,no,no,no
1985054,0.722222222,0.749837978,0.722358722,0.664335664,0,0,0.654929577,0.690807799,0,0.411764706,0.13190184,0.344594595,0.155251142,0.402597403,0.671755725,0.64321608,0.739255014,0,0.770020534,0.93718593,0.681690141,0.418181818,0.145833333,1984-85,0.364583333,0.535211268,Small Forward and Power Forward,Right,1963-09-02,1985,54,0,Mercer University,1,994,12.6,41.7,0.09,no,yes,yes
1985059,0.611111111,0.540505509,0.319410319,0.319347319,0,0,0.316901408,0.320334262,0,0.114285714,0,0.168918919,0.01369863,0.525974026,0.633587786,0.288107203,0.679083095,0,0.803901437,0.77638191,0.343661972,0.096969697,0,1984-85,0.208333333,0.394366197,Point Guard,Right,1962-04-13,1985,59,0,University of Dayton,1,112,7.8,0,0,no,no,no
1985061,0.666666667,0.661049903,0.508599509,0.483682984,0,0,0.429577465,0.506963788,0,0.344537815,0,0.290540541,0.02283105,0.474025974,0.595419847,0.443886097,0.714899713,0,0.68788501,0.884422111,0.498591549,0.36969697,0,1984-85,0.364583333,0.507042254,Shooting Guard,Right,1963-08-04,1985,61,0,Virginia Polytechnic Institute and State University,1,9,3,-0.1,-0.047,no,no,no
1985063,0.666666667,0.646143876,0.540540541,0.497668998,0,0,0.471830986,0.515320334,0,0.235294118,0,0.493243243,0.059360731,0.37012987,0.435114504,0.475711893,0.73782235,0,0.743326489,0.864321608,0.535211268,0.236363636,0,1984-85,0.239583333,0.464788732,Shooting Guard,Right,1963-09-18,1985,63,0,Santa Clara University,1,20,16.1,0.1,0.041,yes,no,no
1985066,0.722222222,0.676604018,0.474201474,0.481351981,0,0,0.313380282,0.331476323,0,0.154621849,0.490797546,0.472972973,0.00913242,0.623376623,0.572519084,0.39279732,0.669054441,0,0.767967146,0.846733668,0.408450704,0.121212121,0.541666667,1984-85,0.135416667,0.253521127,Point Guard,Right,1963-01-19,1985,66,0,Boston College,1,653,16.6,46.9,0.11,yes,yes,yes
1985069,0.583333333,0.607258587,0.378378378,0.374125874,0,0,0.436619718,0.532033426,0,0.465546218,0.171779141,0.168918919,0.077625571,0,0.534351145,0.35678392,0.687679083,0,0.666324435,0.904522613,0.445070423,0.587878788,0.229166667,1984-85,0.583333333,0.647887324,Center,Right,1963-07-19,1985,69,0,George Washington University,1,626,9.7,15.9,0.069,no,no,yes
1985073,0.638888889,0.69669475,0.584766585,0.572261072,0,0,0.355633803,0.353760446,0,0.115966387,0,0.297297297,0,0,0.618320611,0.478224456,0.694842407,0,0.816221766,0.964824121,0.557746479,0.090909091,0,1984-85,0.270833333,0.422535211,Point Guard,Right,1962-01-04,1985,73,0,Eastern Michigan University,1,50,7.7,-0.5,-0.044,no,no,no
1985075,0.611111111,0.626053143,0.417690418,0.389277389,0,0,0.299295775,0.359331476,0,0.515966387,0,0.256756757,0.150684932,0.461038961,0.564885496,0.350921273,0.729226361,0,0.676591376,0.899497487,0.41971831,0.63030303,0,1984-85,0.40625,0.605633803,Small Forward and Power Forward,Right,1962-11-29,1985,75,0,University of Colorado,1,22,10.5,-0.1,-0.043,no,no,no
1985079,0.722222222,0.663642255,0.417690418,0.405594406,0,0,0.330985915,0.331476323,0,0.21512605,0,0.25,0.01369863,0.415584416,0.58778626,0.358458961,0.700573066,0,0.811088296,0.829145729,0.371830986,0.193939394,0,1984-85,0.291666667,0.535211268,Small Forward,Right,1963-06-08,1985,79,0,Old Dominion University,1,33,15,0.7,0.134,yes,no,yes
1985082,0.638888889,0.600777706,0.486486486,0.425407925,0,0,0.411971831,0.43454039,0,0.127731092,0,0.175675676,0.01826484,0.474025974,0.435114504,0.424623116,0.776504298,0,0.770020534,0.831658291,0.492957746,0.109090909,0,1984-85,0.375,0.605633803,Small Forward,Right,1963-06-03,1985,82,0,University of Wisconsin,1,160,10.3,1.1,0.03,no,no,no
1985083,0.666666667,0.64808814,0.515970516,0.526806527,0,0,0.221830986,0.21448468,0,0.107563025,0,0.195945946,0.01369863,0.363636364,0.702290076,0.399497487,0.666189112,0,0.839835729,0.866834171,0.447887324,0.078787879,0,1984-85,0.21875,0.394366197,Shooting Guard and Point Guard,Right,1962-11-08,1985,83,0,Wake Forest University,1,239,9.8,0.7,0.014,no,no,no
1985084,0.666666667,0.659105638,0.567567568,0.547785548,0,0,0.454225352,0.493036212,0,0.176470588,0,0.101351351,0.02739726,0,0.580152672,0.504187605,0.703438395,0,0.748459959,0.881909548,0.569014085,0.163636364,0,1984-85,0.197916667,0.394366197,Shooting Guard,Right,1962-11-09,1985,84,0,Rutgers University,1,612,13.7,17.9,0.079,yes,no,yes
1985087,0.777777778,0.595593001,0.343980344,0.339160839,0,0,0.302816901,0.314763231,0,0.094117647,0.533742331,0.439189189,0.00913242,0.5,0.65648855,0.301507538,0.689111748,0,0.781314168,0.698492462,0.290140845,0.042424242,0.552083333,1984-85,0,0.112676056,Point Guard,Right,1963-07-13,1985,87,0,North Carolina State University,1,814,15.1,40.2,0.095,yes,yes,yes
1985089,0.722222222,0.645495787,0.356265356,0.278554779,0,0,0.338028169,0.47632312,0,0.430252101,0,0.243243243,0.095890411,0.331168831,0.58778626,0.318257956,0.869627507,0,0.575975359,0.806532663,0.329577465,0.442424242,0,1984-85,0.270833333,0.577464789,Power Forward,Right,1965-03-10,1985,89,0,University of Arizona,1,58,11.4,1.4,0.112,no,no,yes
1985090,0.638888889,0,0.668304668,0.562937063,0,0,0.612676056,0.593314763,0,0.433613445,0,0.256756757,0.109589041,0.454545455,0.603053435,0.596314908,0.806590258,0,0.838809035,0,0.698591549,0.503030303,0,1984-85,0.3125,0.605633803,Power Forward,Right,1963-03-28,1985,90,0,University of Texas at San Antonio,1,77,16.3,2.1,0.095,yes,no,yes
1985091,0.777777778,0.7213221,0.265356265,0.228438228,0,0,0.200704225,0.253481894,0,0.364705882,0,0.087837838,0.136986301,0.318181818,0.709923664,0.22361809,0.789398281,0,0.642710472,0.846733668,0.211267606,0.339393939,0,1984-85,0.479166667,0.718309859,Power Forward,Right,1962-01-18,1985,91,0,North Carolina State University,1,3,58.3,0.1,0.627,yes,yes,yes
1985092,0.638888889,0.624108879,0.417690418,0.395104895,0,0,0.211267606,0.217270195,0,0.12605042,0,0.52027027,0.100456621,0,0,0.32998325,0.717765043,0,0.789527721,0.864321608,0.38028169,0.103030303,0,1984-85,0.3125,0.394366197,Point Guard,Right,1963-03-24,1985,92,0,University of South Alabama,1,3,-6.8,-0.1,-0.281,no,no,no
1985139,0.638888889,0,0.493857494,0.41958042,0,0,0.429577465,0.459610028,0,0.433613445,0,0.351351351,0.178082192,0.428571429,0.671755725,0.433835846,0.799426934,0,0.758726899,0,0.504225352,0.503030303,0,1984-85,0.3125,0.535211268,Shooting Guard,Right,1963-03-28,1985,139,0,La Salle University,1,99,8.5,0,-0.003,no,no,no
1985144,0.694444444,0.545042126,0.525798526,0.504662005,0,0,0.376760563,0.428969359,0,0.154621849,0,0,0,0,0,0.443048576,0.70773639,0,0.713552361,0.703517588,0.478873239,0.127272727,0,1984-85,0.21875,0.464788732,Shooting Guard,Right,1961-10-03,1985,144,0,Alcorn State University,1,132,8.8,0.3,0.012,no,no,no
1985160,0.777777778,0.782890473,0.619164619,0.534965035,0,0,0.552816901,0.562674095,0,0.485714286,0.380368098,0.405405405,0,0,0,0.548576214,0.786532951,0,0.797741273,0.91959799,0.54084507,0.472727273,0.395833333,1984-85,0.364583333,0.507042254,Shooting Guard and Small Forward,Right,1963-11-26,1985,160,0,American International College,1,732,13.1,48.9,0.126,yes,yes,yes
1986001,0.805555556,0.704471808,0.697788698,0.51048951,0,0,0.419014085,0.484679666,0,0.497478992,0.187116564,0.236486486,0.164383562,0.512987013,0.702290076,0.570351759,0.928366762,0,0.702258727,0.804020101,0.546478873,0.466666667,0.1875,1985-86,0.53125,0.746478873,Center,Right,1965-10-19,1986,1,1,University of North Carolina,1,548,18.9,65.2,0.156,yes,yes,yes
1986003,0.805555556,0.767984446,0.592137592,0.5,0,0,0.411971831,0.490250696,0,0.368067227,0,0.195945946,0.136986301,0.532467532,0.503816794,0.496649916,0.805157593,0,0.68275154,0.876884422,0.473239437,0.327272727,0,1985-86,0.4375,0.718309859,Center,Right,1965-05-13,1986,3,1,North Carolina State University,1,72,7.6,-0.6,-0.046,no,no,no
1986004,0.777777778,0.763447829,0.761670762,0.695804196,0,0,0.316901408,0.311977716,0,0.420168067,0.09202454,0.209459459,0.054794521,0.480519481,0.633587786,0.58961474,0.743553009,0,0.825462012,0.896984925,0.583098592,0.4,0.09375,1985-86,0.40625,0.605633803,Small Forward and Power Forward,Right,1964-06-27,1986,4,0,Auburn University,1,943,13.7,38.9,0.065,yes,yes,yes
1986005,0.861111111,0.812702528,0.638820639,0.520979021,0,0,0.707746479,0.732590529,0,0.447058824,0.153374233,0.310810811,0.196347032,0.350649351,0.687022901,0.598827471,0.833810888,0,0.784394251,0.874371859,0.54084507,0.387878788,0.145833333,1985-86,0.364583333,0.605633803,Small Forward and Power Forward,Right,1964-08-18,1986,5,1,University of Kentucky,1,448,11.9,17.9,0.095,no,yes,yes
1986006,0.75,0.672715489,0.557739558,0.453379953,0,0,0.345070423,0.43454039,0,0.442016807,0.055214724,0.067567568,0.392694064,0.331168831,0.557251908,0.457286432,0.836676218,0,0.64476386,0.814070352,0.464788732,0.436363636,0.0625,1985-86,0.4375,0.746478873,Center,Right,1963-12-14,1986,6,1,University of Memphis,1,238,9.7,0.9,0.017,no,no,no
1986007,0.777777778,0.677252106,0.503685504,0.441724942,0,0,0.408450704,0.398328691,0,0.472268908,0.13803681,0.324324324,0.442922374,0.558441558,0.778625954,0.435510888,0.775071633,0,0.832648871,0.796482412,0.425352113,0.454545455,0.145833333,1985-86,0.458333333,0.718309859,Power Forward and Center,Right,1964-11-28,1986,7,1,University of Michigan,1,280,18.4,19.8,0.127,yes,yes,yes
1986008,0.722222222,0.741412832,0.766584767,0.666666667,0,0,0.468309859,0.557103064,0,0.591596639,0.40797546,0.682432432,0.324200913,0.571428571,0.641221374,0.628978224,0.780802292,0,0.68275154,0.927135678,0.664788732,0.63030303,0.447916667,1985-86,0.239583333,0.535211268,Point Guard and Shooting Guard,Right,1964-01-20,1986,8,1,Miami University,1,1009,15.6,65.8,0.101,yes,yes,yes
