#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
1,Brenden Kichton(D),Spokane Chiefs,64,23,58,81,1.27,31,55
2,Myles Bell(LW/RW),Regina Pats,66,14,31,45,0.68,86,-14
3,Hunter Shinkaruk(C/W),Medicine Hat Tigers,63,14,28,42,0.67,24,13
4,Ryan Pulock(D),Brandon Wheat Kings,63,8,34,42,0.67,4,2
5,JC Lipon(RW/C),Kamloops Blazers,65,3,18,21,0.32,111,-26
6,Eric Roy(D),Brandon Wheat Kings,49,4,15,19,0.39,15,11
7,Lukas Sutter(C),Saskatoon Blades,71,4,15,19,0.27,179,1
8,Sam Reinhart(C/RW),Kootenay Ice,4,2,0,2,0.5,0,4
9,Tyrell Goulbourne(LW/C),Kelowna Rockets,13,1,0,1,0.08,27,2
10,Cole Ully(LW/RW),Kamloops Blazers,1,0,1,1,1,0,0
11,Nic Petan(C/LW),Portland Winterhawks,3,0,1,1,0.33,0,1
12,Madison Bowey(D),Kelowna Rockets,3,0,1,1,0.33,4,2
13,Morgan Klimchuk(LW),Regina Pats,5,0,1,1,0.2,0,-1
14,Curtis Lazar(C/RW),Edmonton Oil Kings,6,0,1,1,0.17,0,2
15,Kyle Burroughs(D),Regina Pats,1,0,0,0,0,0,0
16,Dillon Heatherington(D),Swift Current Broncos,1,0,0,0,0,0,0
17,Colby Williams(D),Regina Pats,2,0,0,0,0,0,1
18,Mason Geertsen(D),Edmonton Oil Kings,3,0,0,0,0,2,-1
19,Tanner Faith(D),Kootenay Ice,4,0,0,0,0,2,0
20,Shea Theodore(D),Seattle Thunderbirds,4,0,0,0,0,2,-2
21,Josh Morrissey(D),Prince Albert Raiders,5,0,0,0,0,4,-3
22,Greg Chase(C/RW),Calgary Hitmen,5,0,0,0,0,6,0
