#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
1,Oliver Bjorkstrand(RW),Portland Winterhawks,59,63,55,118,2,35,60
2,Cole Ully(LW/RW),Kamloops Blazers,69,34,60,94,1.36,32,12
3,Nicholas Merkley(RW/C),Kelowna Rockets,72,20,70,90,1.25,79,29
4,Nic Petan(C/LW),Portland Winterhawks,54,15,74,89,1.65,41,41
5,Adam Helewka(LW),Spokane Chiefs,69,44,43,87,1.26,59,10
6,Brayden Point(C),Moose Jaw Warriors,60,38,49,87,1.45,46,6
7,Adam Tambellini(C/LW),Calgary Hitmen,71,47,39,86,1.21,30,43
8,Chase De Leo(C/LW),Portland Winterhawks,67,39,45,84,1.25,30,22
9,Rourke Chartier(C),Kelowna Rockets,58,48,34,82,1.41,18,33
10,Nikita Scherbak(RW/LW),Everett Silvertips,65,27,55,82,1.26,60,33
11,Jake DeBrusk(LW),Swift Current Broncos,72,42,39,81,1.13,40,-9
12,Jaedon Descheneau(RW/C),Kootenay Ice,70,34,47,81,1.16,58,9
13,Morgan Klimchuk(LW),totals,60,34,46,80,1.33,24,39
,,Regina Pats,27,14,16,30,1.11,12,13
,,Brandon Wheat Kings,33,20,30,50,1.52,12,26
14,Jansen Harkins(C),Prince George Cougars,70,20,59,79,1.13,45,7
15,Austin Carroll(RW/LW),Victoria Royals,69,38,39,77,1.12,124,23
16,Peter Quenneville(C/RW),Brandon Wheat Kings,72,27,48,75,1.04,20,20
17,Paul Bittner(LW),Portland Winterhawks,66,34,37,71,1.08,52,39
18,Jayce Hawryluk(C/RW),Brandon Wheat Kings,54,30,35,65,1.2,69,42
19,Sam Reinhart(C/RW),Kootenay Ice,47,19,46,65,1.38,20,6
20,Travis Sanheim(D),Calgary Hitmen,67,15,50,65,0.97,52,27
21,Tyler Soy(C),Victoria Royals,69,28,35,63,0.91,29,22
22,Brett Pollock(LW/RW),Edmonton Oil Kings,70,32,30,62,0.89,88,15
23,Adam Brooks(C),Regina Pats,64,30,32,62,0.97,18,24
24,Ivan Provorov(D),Brandon Wheat Kings,60,15,46,61,1.02,42,36
25,Madison Bowey(D),Kelowna Rockets,58,17,43,60,1.03,66,38
26,Greg Chase(C/RW),totals,61,20,39,59,0.97,59,6
,,Calgary Hitmen,15,2,13,15,1,20,2
,,Victoria Royals,46,18,26,44,0.96,39,4
27,Ryan Gropp(LW),Seattle Thunderbirds,67,30,28,58,0.87,44,9
28,Mathew Barzal(C),Seattle Thunderbirds,44,12,45,57,1.3,20,13
29,Chase Lang(C/W),Calgary Hitmen,63,25,31,56,0.89,61,16
30,Jack Walker(LW),Victoria Royals,70,18,37,55,0.79,65,18
31,Sam Steel(C),Regina Pats,61,17,37,54,0.89,16,10
32,Glenn Gawdin(C/RW),Swift Current Broncos,72,15,39,54,0.75,59,-9
33,Leon Draisaitl(C/W),Kelowna Rockets,32,19,34,53,1.66,25,14
