#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
69,Brandon Baddock(LW),Edmonton Oil Kings,68,22,13,35,0.51,143,-11
70,Tanner Kaspick(C/LW),Brandon Wheat Kings,53,13,18,31,0.58,37,15
71,Pavel Karnaukhov(LW/C),Calgary Hitmen,49,12,19,31,0.63,52,-8
72,Blake Heinrich(D),Portland Winterhawks,70,10,21,31,0.44,118,17
73,Radovan Bondra(RW/LW),Vancouver Giants,58,15,15,30,0.52,28,-32
74,Chaz Reddekopp(D),Victoria Royals,70,4,26,30,0.43,102,19
75,Keegan Iverson(RW/C),Portland Winterhawks,55,11,18,29,0.53,58,-3
76,Brendan Guhle(D),Prince Albert Raiders,63,10,18,28,0.44,53,-5
77,Tyler Benson(LW),Vancouver Giants,30,9,19,28,0.93,46,0
78,Ben Thomas(D),totals,74,8,20,28,0.38,50,-35
,,Calgary Hitmen,14,0,3,3,0.21,10,-10
,,Vancouver Giants,60,8,17,25,0.42,40,-25
79,Noah Juulsen(D),Everett Silvertips,63,7,21,28,0.44,37,0
80,Brandon Carlo(D),Tri-City Americans,52,5,22,27,0.52,94,8
81,Libor Hájek(D),Saskatoon Blades,69,3,23,26,0.38,76,-19
82,Sergei Zborovsky(D),Regina Pats,64,8,17,25,0.39,61,15
83,Beck Malenstyn(C),Calgary Hitmen,70,8,17,25,0.36,47,0
84,Sam Ruopp(D),Prince George Cougars,69,4,21,25,0.36,100,23
85,Tanner Faith(D),Moose Jaw Warriors,59,3,21,24,0.41,54,-9
86,Mitch Wheaton(D),totals,70,1,23,24,0.34,62,13
,,Saskatoon Blades,38,0,10,10,0.26,50,-10
,,Brandon Wheat Kings,32,1,13,14,0.44,12,23
87,Paul Bittner(LW),Portland Winterhawks,25,10,11,21,0.84,21,-4
88,Nelson Nogier(D),Red Deer Rebels,69,4,17,21,0.3,79,27
89,Keegan Kanzig(D),Calgary Hitmen,53,13,7,20,0.38,75,15
90,Vojtech Budik(D),Prince Albert Raiders,70,3,13,16,0.23,20,0
91,Colby Williams(D),Regina Pats,19,5,7,12,0.63,20,2
92,Mackenze Stewart(D/LW),Tri-City Americans,36,5,6,11,0.31,47,2
93,Devante Stephens(D),Kelowna Rockets,72,2,9,11,0.15,58,12
94,Gustav Olhaver(C/LW),totals,51,3,5,8,0.16,19,-14
,,Seattle Thunderbirds,31,2,3,5,0.16,17,-9
,,Swift Current Broncos,20,1,2,3,0.15,2,-5
95,Josh Anderson(D),Prince George Cougars,39,1,5,6,0.15,86,-4
96,Braydyn Chizen(D),Kelowna Rockets,45,1,1,2,0.04,40,-6
97,Josh Mahura(D),Red Deer Rebels,2,0,1,1,0.5,0,1
98,Jaedon Descheneau(RW/C),Kootenay Ice,2,0,1,1,0.5,5,-1
