#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
1,Adam Brooks(C),Regina Pats,72,38,82,120,1.67,30,41,1
2,Jayce Hawryluk(C/RW),Brandon Wheat Kings,58,47,59,106,1.83,101,59,1
3,Brayden Point(C),Moose Jaw Warriors,48,35,53,88,1.83,36,24,1
4,Mathew Barzal(C),Seattle Thunderbirds,58,27,61,88,1.52,58,22,1
5,Tyler Soy(C),Victoria Royals,72,46,39,85,1.18,27,34,1
6,Jack Walker(LW),Victoria Royals,72,36,48,84,1.17,85,30,1
7,Brett Pollock(LW/RW),Edmonton Oil Kings,72,30,48,78,1.08,76,21,1
8,Matthew Phillips(C/LW),Victoria Royals,72,37,39,76,1.06,16,11,1
9,Jesse Gabrielle(LW),Prince George Cougars,72,40,35,75,1.04,101,4,1
10,Adam Helewka(LW),totals,53,42,32,74,1.4,57,41,1
,,Spokane Chiefs,19,16,13,29,1.53,23,16,1
,,Red Deer Rebels,34,26,19,45,1.32,34,25,1
11,Giorgio Estephan(C),Lethbridge Hurricanes,59,30,44,74,1.25,12,26,1
12,John Quenneville(C/LW),Brandon Wheat Kings,57,31,42,73,1.28,71,28,1
13,Noah Gregor(C),Moose Jaw Warriors,72,28,45,73,1.01,33,-2,1
14,Ivan Provorov(D),Brandon Wheat Kings,62,21,52,73,1.18,16,64,1
15,Radel Fazleyev(C/W),Calgary Hitmen,59,19,52,71,1.2,46,17,1
16,Dominic Turgeon(C),Portland Winterhawks,72,36,34,70,0.97,22,7,1
17,Ryan Gropp(LW),Seattle Thunderbirds,66,34,36,70,1.06,40,10,1
18,Sam Steel(C),Regina Pats,72,23,47,70,0.97,24,-8,1
19,Andrew Nielsen(D),Lethbridge Hurricanes,71,18,52,70,0.99,122,30,1
20,Travis Sanheim(D),Calgary Hitmen,52,15,53,68,1.31,66,15,1
21,Justin Kirkland(LW/RW),Kelowna Rockets,69,31,36,67,0.97,69,23,1
22,Vladimir Bobylyov(W/C),Victoria Royals,72,28,39,67,0.93,60,45,1
23,Dillon Dubé(C/LW),Kelowna Rockets,65,26,40,66,1.02,50,8,1
24,Jake DeBrusk(LW),totals,61,21,44,65,1.07,47,10,1
,,Swift Current Broncos,24,9,17,26,1.08,15,-5,1
,,Red Deer Rebels,37,12,27,39,1.05,32,15,1
25,Ethan Bear(D),Seattle Thunderbirds,69,19,46,65,0.94,33,14,1
26,Brett Howden(C/LW),Moose Jaw Warriors,68,24,40,64,0.94,61,-7,1
27,Jake Bean(D),Calgary Hitmen,68,24,40,64,0.94,28,8,1
28,Chase Lang(C/W),totals,69,27,36,63,0.91,76,-10,1
,,Calgary Hitmen,14,2,5,7,0.5,20,-6,1
,,Vancouver Giants,55,25,31,56,1.02,56,-4,1
29,Reid Duke(C/RW),Brandon Wheat Kings,68,33,29,62,0.91,53,18,1
30,Austin Wagner(LW/C),Regina Pats,70,28,34,62,0.89,84,31,1
,.,,,,,,,,,1
31,Brad Morrison(C),Prince George Cougars,72,28,34,62,0.86,35,-7,1
32,Keegan Kolesar(RW),Seattle Thunderbirds,64,30,31,61,0.95,107,10,1
33,Jakob Stukel(LW),totals,69,36,24,60,0.87,12,2,1
,,Vancouver Giants,12,2,2,4,0.33,4,-6,1
,,Calgary Hitmen,57,34,22,56,0.98,8,8,1
34,Ty Ronning(RW),Vancouver Giants,67,31,28,59,0.88,18,-7,1
35,Deven Sideroff(RW),Kamloops Blazers,63,19,40,59,0.94,28,4,1
36,Alex Schoenborn(RW),Portland Winterhawks,67,27,30,57,0.85,80,0,1
