rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,17,CA,Dylan Strome,0,1,F,68,45,84,129,32,47,14,0,8,0.662,1.235,1.897
2,17,CA,Mitchell Marner,0,1,F,63,44,82,126,53,36,15,2,6,0.698,1.302,2
3,17,CA,Connor McDavid,1,1,F,47,44,76,120,48,60,9,2,8,0.936,1.617,2.553
4,20,CA,Joseph Blandisi,1,1,F,68,52,60,112,126,18,11,10,4,0.765,0.882,1.647
5,18,US,Christian Dvorak,0,1,F,66,41,68,109,24,33,14,2,5,0.621,1.03,1.652
6,19,US,Kevin Labanc,0,1,F,68,31,76,107,55,13,16,3,7,0.456,1.118,1.574
7,17,US,Alex DeBrincat,0,0,F,68,51,53,104,73,59,21,0,4,0.75,0.779,1.529
8,18,CA,Andrew Mangiapane,0,0,F,68,43,61,104,54,24,16,2,2,0.632,0.897,1.529
9,19,CA,Max Domi,1,1,F,57,32,70,102,66,24,12,2,6,0.561,1.228,1.789
10,19,CA,Tyler Bertuzzi,0,1,F,68,43,55,98,91,26,13,0,5,0.632,0.809,1.441
11,19,RU,Sergei Tolchinsky,1,1,F,61,30,65,95,10,41,7,0,6,0.492,1.066,1.557
12,18,CA,Michael Dal Colle,0,0,F,56,42,51,93,18,32,16,2,12,0.75,0.911,1.661
13,19,US,Anthony Deangelo,0,1,D,55,25,64,89,115,34,4,1,3,0.455,1.164,1.618
14,19,CA,Carter Verhaeghe,0,0,F,68,33,49,82,38,21,3,1,2,0.485,0.721,1.206
15,19,CA,Kyle Platzer,0,0,F,68,34,47,81,46,13,9,4,3,0.5,0.691,1.191
16,18,CA,Jared McCann,1,1,F,56,34,47,81,27,30,10,2,4,0.607,0.839,1.446
17,19,CA,Cole Cassels,0,0,F,54,30,51,81,100,34,14,2,3,0.556,0.944,1.5
18,18,CA,Joshua Ho-Sang,0,0,F,60,17,64,81,46,7,5,0,5,0.283,1.067,1.35
19,18,CA,Dante Salituro,0,0,F,68,37,41,78,38,-1,13,1,3,0.544,0.603,1.147
20,19,SE,Tobias Lindberg,1,1,F,67,32,46,78,14,33,7,2,5,0.478,0.687,1.164
21,19,CA,Zach Nastasiuk,0,0,F,64,35,42,77,34,9,17,3,2,0.547,0.656,1.203
22,19,CA,Remi Elie,0,0,F,63,30,46,76,38,27,7,2,5,0.476,0.73,1.206
23,20,CA,Matt Rupert,0,0,F,61,30,45,75,74,19,12,0,3,0.492,0.738,1.23
24,18,CA,Dylan Sadowy,0,0,F,65,42,32,74,66,5,9,7,6,0.646,0.492,1.138
25,19,CA,Michael Bunting,0,0,F,57,37,37,74,39,44,12,2,4,0.649,0.649,1.298
26,20,CA,Erik Bradford,0,0,F,69,28,45,73,34,-10,7,3,4,0.406,0.652,1.058
