rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
374,17,CA,Ryan Heeps,F,35,2,3,5,8,-1,0,0,0,0.057,0.086,0.143
375,17,CA,Ted Nichol,F,59,1,4,5,10,-13,0,0,0,0.017,0.068,0.085
376,17,CA,Jake Bricknell,F,58,1,4,5,53,-14,0,0,0,0.017,0.069,0.086
377,16,CA,Luke Burghardt,F,54,1,4,5,11,-10,0,0,0,0.019,0.074,0.093
378,19,CA,Nick Zottl,D,45,1,4,5,88,-16,0,0,0,0.022,0.089,0.111
379,17,CA,Mark Shoemaker,D,39,1,4,5,0,-1,0,0,1,0.026,0.103,0.128
380,17,CA,Logan DeNoble,F,20,1,4,5,4,-2,0,0,0,0.05,0.2,0.25
381,16,CA,Jake O'Donnell,D,16,1,4,5,2,3,0,0,0,0.063,0.25,0.313
382,17,CA,Chase Stewart,D,48,0,5,5,51,-5,0,0,0,0,0.104,0.104
383,19,CA,Michael Giugovaz,G,47,0,5,5,0,,0,0,0,0,0.106,0.106
384,17,CA,Zach Shankar,D,44,0,5,5,19,-4,0,0,0,0,0.114,0.114
385,16,US,Benjamin Gleason,D,41,0,5,5,16,-1,0,0,0,0,0.122,0.122
386,18,US,Nathan Billitier,D,30,0,5,5,2,-4,0,0,0,0,0.167,0.167
387,19,CA,Thomas Welsh,D,15,0,5,5,0,2,0,0,0,0,0.333,0.333
388,17,CA,Dylan McDonald,F,26,2,2,4,9,-9,0,0,1,0.077,0.077,0.154
389,17,CA,Josh Defarias,D,22,2,2,4,4,1,0,0,1,0.091,0.091,0.182
390,18,CA,Cody Caron,F,64,1,3,4,102,-22,0,0,0,0.016,0.047,0.063
391,17,US,Zach Wilkie,D,52,1,3,4,48,-6,0,0,1,0.019,0.058,0.077
392,17,CA,Jason Smith,F,46,1,3,4,12,-11,0,0,0,0.022,0.065,0.087
393,16,CA,Keenan Reynolds,F,42,1,3,4,25,6,0,0,0,0.024,0.071,0.095
394,20,CA,Adam Bignell,D,35,1,3,4,58,4,0,0,0,0.029,0.086,0.114
395,16,CA,Logan Stanley,D,59,0,4,4,60,-25,0,0,0,0,0.068,0.068
396,17,US,Kyle Rhodes,D,59,0,4,4,31,-4,0,0,0,0,0.068,0.068
397,16,CA,Reagan O'Grady,D,54,0,4,4,29,-21,0,0,0,0,0.074,0.074
398,19,CA,Matt McCartney,F,43,0,4,4,84,-5,0,0,0,0,0.093,0.093
399,17,CA,Stephen Templeton,D,36,0,4,4,26,5,0,0,0,0,0.111,0.111
400,18,CA,Alex Peters,D,8,0,4,4,14,2,0,0,0,0,0.5,0.5
401,17,CA,Austin Gerhart,F,47,2,1,3,6,-16,0,0,0,0.043,0.021,0.064
402,17,CA,Austin Hall,D,37,2,1,3,14,-7,0,0,0,0.054,0.027,0.081
403,18,CA,Kevin Groulx,F,11,2,1,3,4,-3,1,0,1,0.182,0.091,0.273
404,17,US,Owen Green,F,46,1,2,3,12,1,0,0,0,0.022,0.043,0.065
405,19,CA,Justin Nichols,G,59,0,3,3,4,,0,0,0,0,0.051,0.051
406,17,CA,Riley Bruce,D,52,0,3,3,32,-2,0,0,0,0,0.058,0.058
407,19,US,Devin Williams,G,47,0,3,3,2,,0,0,0,0,0.064,0.064
408,17,CA,Ryan Orban,D,46,0,3,3,57,-7,0,0,0,0,0.065,0.065
409,17,CA,Mark Bzowey,F,45,0,3,3,27,-9,0,0,0,0,0.067,0.067
410,20,CA,Taylor Dupuis,G,44,0,3,3,0,,0,0,0,0,0.068,0.068
411,20,US,Brandon Hope,G,38,0,3,3,8,,0,0,0,0,0.079,0.079
412,18,CA,Logan Schmidt,D,18,0,3,3,4,-12,0,0,0,0,0.167,0.167
413,18,CA,Brandon Lukezic,D,12,0,3,3,2,1,0,0,0,0,0.25,0.25
414,16,US,Sam Field,F,57,2,0,2,19,-11,0,0,0,0.035,0,0.035
415,17,CA,Stephen Gibson,D,56,2,0,2,44,-27,0,0,0,0.036,0,0.036
416,18,CA,Shawn Tessier,D,41,1,1,2,6,1,0,0,0,0.024,0.024,0.049
417,16,CA,Jacob Collins,F,22,1,1,2,2,2,0,0,0,0.045,0.045,0.091
418,17,CA,Chiwetin Blacksmith,F,17,1,1,2,0,-1,0,0,0,0.059,0.059,0.118
419,18,CA,Thomas Lattavo,F,10,1,1,2,2,-3,0,0,1,0.1,0.1,0.2
420,16,CA,Kevin Hancock,F,9,1,1,2,0,1,0,0,0,0.111,0.111,0.222
421,16,CA,Eric Henderson,F,4,1,1,2,0,2,0,0,0,0.25,0.25,0.5
422,19,CA,Jacob Smith,G,56,0,2,2,0,,0,0,0,0,0.036,0.036
423,18,US,Alexander Nedeljkovic,G,55,0,2,2,8,,0,0,0,0,0.036,0.036
424,17,US,Troy Henley,D,52,0,2,2,31,-25,0,0,0,0,0.038,0.038
425,18,CA,Mackenzie Blackwood,G,51,0,2,2,8,,0,0,0,0,0.039,0.039
426,19,CA,Alex Fotinos,G,48,0,2,2,0,,0,0,0,0,0.042,0.042
427,17,CA,Troy Timpano,G,46,0,2,2,0,,0,0,0,0,0.043,0.043
428,18,CA,Adam Donnelly,F,46,0,2,2,35,-15,0,0,0,0,0.043,0.043
