rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
201,19,CA,Hayden Hodgson,F,56,9,14,23,74,-7,2,0,2,0.161,0.25,0.411
202,18,CA,Zach Grzelewski,F,56,8,15,23,16,-1,1,0,2,0.143,0.268,0.411
203,16,CA,Brady Gilmour,F,61,7,16,23,6,-6,1,0,0,0.115,0.262,0.377
204,18,CA,Cullen Mercer,F,66,13,9,22,30,-14,0,0,1,0.197,0.136,0.333
205,18,CA,Jake Bricknell,F,66,11,11,22,91,-43,5,0,0,0.167,0.167,0.333
206,18,CA,Mike Davies,F,56,11,11,22,39,-5,1,0,0,0.196,0.196,0.393
207,19,CA,Brett Hargrave,F,59,10,12,22,30,1,1,0,2,0.169,0.203,0.373
208,19,CA,Ryan Verbeek,F,63,9,13,22,40,-4,1,1,2,0.143,0.206,0.349
209,18,CA,Tyler Boston,F,59,9,13,22,17,-35,2,1,1,0.153,0.22,0.373
210,19,CA,Devon Paliani,F,65,6,16,22,58,-8,1,0,1,0.092,0.246,0.338
211,17,CA,Sean Day,D,57,6,16,22,27,-13,1,1,1,0.105,0.281,0.386
212,20,CA,Will Petschenig,D,68,5,17,22,108,-23,1,0,0,0.074,0.25,0.324
213,20,CA,Nevin Guy,D,59,5,17,22,14,-1,0,0,0,0.085,0.288,0.373
214,19,US,Blake Clarke,F,61,11,10,21,36,-22,1,0,1,0.18,0.164,0.344
215,19,CA,Kyle Pettit,F,58,10,11,21,14,12,3,0,0,0.172,0.19,0.362
216,19,CA,Francesco Vilardi,F,67,9,12,21,19,-29,1,0,0,0.134,0.179,0.313
217,17,CA,Riley Stillman,D,62,6,15,21,69,-9,3,0,0,0.097,0.242,0.339
218,16,RU,Kirill Maximov,F,54,6,15,21,18,-8,0,0,0,0.111,0.278,0.389
219,19,RU,Damir Sharipzyanov,D,46,5,16,21,34,5,1,0,0,0.109,0.348,0.457
220,18,CA,Jacob Friend,D,54,4,17,21,106,10,0,0,0,0.074,0.315,0.389
221,17,CA,Matt Timms,D,68,3,18,21,45,9,1,0,0,0.044,0.265,0.309
222,19,CA,Medric Mercier,D,63,3,18,21,30,0,0,0,0,0.048,0.286,0.333
223,20,CA,Jacob Graves,D,69,1,20,21,104,34,0,0,0,0.014,0.29,0.304
224,17,CA,Mac Hollowell,D,58,1,20,21,23,3,0,0,1,0.017,0.345,0.362
225,16,CA,Owen Tippett,F,48,15,5,20,10,-2,3,0,0,0.313,0.104,0.417
226,17,CA,Ryan Cranford,F,68,13,7,20,47,-4,2,1,3,0.191,0.103,0.294
227,17,DE,Maximilian Kislinger,F,68,12,8,20,31,-8,0,0,2,0.176,0.118,0.294
228,19,US,Nick Magyar,F,49,11,9,20,18,6,0,0,2,0.224,0.184,0.408
229,18,CA,Maurizio Colella,F,66,8,12,20,35,-8,2,0,1,0.121,0.182,0.303
230,16,CA,Ryan McLeod,F,62,7,13,20,16,-6,1,1,0,0.113,0.21,0.323
231,17,CA,Cole Candella,D,37,4,16,20,12,-12,2,0,1,0.108,0.432,0.541
232,18,CA,T.J. Fergus,D,56,1,19,20,46,13,0,0,0,0.018,0.339,0.357
233,16,US,Alexander Chmelevski,F,34,11,8,19,4,11,1,0,4,0.324,0.235,0.559
234,17,CA,Ben Hawerchuk,F,60,9,10,19,78,0,1,0,1,0.15,0.167,0.317
235,20,CA,Jacob Harris,F,40,9,10,19,16,-22,1,0,2,0.225,0.25,0.475
236,19,CA,Keigan Goetz,F,51,11,7,18,72,-1,1,1,0,0.216,0.137,0.353
237,18,US,Jake Henderson,F,58,8,10,18,49,13,0,0,1,0.138,0.172,0.31
238,19,CA,Connor Graham,F,60,7,11,18,24,-14,1,0,2,0.117,0.183,0.3
239,18,US,Brandon Crawley,D,62,6,12,18,99,16,0,0,1,0.097,0.194,0.29
240,20,CA,Connor Sills,F,60,5,13,18,132,-25,3,0,0,0.083,0.217,0.3
241,19,US,Josh Wesley,D,57,5,13,18,35,7,0,0,1,0.088,0.228,0.316
242,18,CA,Mike Baird,F,51,5,13,18,88,-10,2,0,0,0.098,0.255,0.353
243,19,CA,Greg DiTomaso,D,58,4,14,18,28,7,1,0,0,0.069,0.241,0.31
244,17,CA,Jacob Collins,F,55,4,14,18,14,-7,0,0,0,0.073,0.255,0.327
245,19,CA,Brandon Prophet,D,66,3,15,18,105,17,0,0,1,0.045,0.227,0.273
246,18,CA,Sam Harding,F,65,8,9,17,20,-23,1,0,2,0.123,0.138,0.262
247,19,US,Aaron Haydon,D,65,5,12,17,56,22,0,0,2,0.077,0.185,0.262
248,17,CA,Logan Stanley,D,64,5,12,17,103,7,1,0,1,0.078,0.188,0.266
249,18,CA,Noah Bushnell,F,62,5,12,17,121,13,0,0,0,0.081,0.194,0.274
250,20,US,Zack Pittman,D,66,4,13,17,79,-7,0,0,0,0.061,0.197,0.258
251,18,CA,Connor Walters,D,60,4,13,17,18,-1,3,0,1,0.067,0.217,0.283
252,17,CA,Luke Kutkevicius,F,70,3,14,17,24,-9,0,0,1,0.043,0.2,0.243
253,16,CA,Evan Bouchard,D,43,2,15,17,24,15,2,0,0,0.047,0.349,0.395
254,18,US,Luke Kirwan,F,63,10,6,16,32,-23,1,0,0,0.159,0.095,0.254
