rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,19,CA,Connor Brown,0,1,F,68,45,83,128,22,44,20,4,6,0.662,1.221,1.882
2,20,CA,Dane Fox,0,0,F,67,64,43,107,122,46,18,1,11,0.955,0.642,1.597
3,19,CA,Scott Kosmachuk,0,1,F,68,49,52,101,83,52,9,1,6,0.721,0.765,1.485
4,16,CA,Connor McDavid,0,1,F,56,28,71,99,20,47,7,2,4,0.5,1.268,1.768
5,19,CA,Andreas Athanasiou,0,1,F,66,49,46,95,52,24,11,4,8,0.742,0.697,1.439
6,17,CA,Michael Dal Colle,0,1,F,67,39,56,95,34,8,16,0,8,0.582,0.836,1.418
7,18,RU,Nikolai Goldobin,0,1,F,67,38,56,94,21,-30,10,0,2,0.567,0.836,1.403
8,18,CA,Max Domi,0,1,F,61,34,59,93,90,24,11,3,6,0.557,0.967,1.525
9,17,CA,Sam Bennett,1,1,F,57,36,55,91,118,34,10,1,3,0.632,0.965,1.596
10,18,RU,Sergei Tolchinsky,0,1,F,66,31,60,91,22,-9,13,0,4,0.47,0.909,1.379
11,19,CA,Kerby Rychel,1,1,F,58,34,56,90,43,41,10,0,5,0.586,0.966,1.552
12,18,CA,Nicholas Baptiste,0,1,F,65,45,44,89,59,20,12,3,4,0.692,0.677,1.369
13,19,CA,Chris Tierney,1,1,F,67,40,49,89,12,44,7,4,6,0.597,0.731,1.328
14,17,CA,Robby Fabbri,0,1,F,58,45,42,87,55,45,14,0,11,0.776,0.724,1.5
15,18,SE,Andre Burakovsky,1,1,F,57,41,46,87,35,46,15,0,10,0.719,0.807,1.526
16,19,CA,Scott Laughton,1,1,F,54,40,47,87,72,12,13,5,7,0.741,0.87,1.611
17,19,CA,Brock McGinn,0,1,F,58,43,42,85,45,46,12,2,4,0.741,0.724,1.466
18,17,CA,Joshua Ho-Sang,0,0,F,67,32,53,85,44,26,8,1,3,0.478,0.791,1.269
19,19,US,Brady Vail,0,0,F,67,32,51,83,39,29,3,2,5,0.478,0.761,1.239
20,20,CA,Zack Mitchell,0,1,F,67,31,52,83,40,52,9,3,7,0.463,0.776,1.239
21,18,CA,Carter Verhaeghe,0,0,F,65,28,54,82,60,-19,13,0,0,0.431,0.831,1.262
22,18,CA,Jason Dickinson,0,1,F,68,26,52,78,42,42,9,0,4,0.382,0.765,1.147
