rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
23,20,CA,Kristoff Kontos,0,0,F,68,25,51,76,14,1,7,3,4,0.368,0.75,1.118
24,19,CA,Gemel Smith,0,1,F,69,37,38,75,47,-1,15,2,3,0.536,0.551,1.087
25,19,CA,Nathan Pancel,0,0,F,63,42,32,74,38,17,14,1,8,0.667,0.508,1.175
26,18,CA,Nick Ritchie,0,1,F,61,39,35,74,136,4,11,1,5,0.639,0.574,1.213
27,18,CA,Bo Horvat,1,1,F,54,30,44,74,36,20,9,1,3,0.556,0.815,1.37
28,19,CA,Mathew Campagna,0,0,F,68,15,59,74,38,20,4,0,1,0.221,0.868,1.088
29,18,CA,Cole Cassels,0,0,F,61,24,49,73,90,7,11,1,5,0.393,0.803,1.197
30,19,CA,Ryan Rupert,0,0,F,68,21,52,73,54,36,2,0,3,0.309,0.765,1.074
31,19,CA,Brendan Gaunce,0,1,F,65,31,41,72,59,25,10,3,1,0.477,0.631,1.108
32,17,CA,Brendan Perlini,0,0,F,58,34,37,71,36,-2,16,2,5,0.586,0.638,1.224
33,18,US,Anthony Deangelo,0,1,D,51,15,56,71,90,-34,6,1,2,0.294,1.098,1.392
34,16,CA,Travis Konecny,0,1,F,63,26,44,70,18,-15,5,0,1,0.413,0.698,1.111
35,19,FI,Henri Ikonen,0,0,F,54,25,45,70,49,17,7,3,3,0.463,0.833,1.296
36,20,CA,Zach Hall,0,0,F,56,16,54,70,48,-3,6,0,2,0.286,0.964,1.25
37,18,CA,Hunter Garlent,0,0,F,62,20,49,69,41,26,5,1,1,0.323,0.79,1.113
38,17,CA,Spencer Watson,0,0,F,65,33,35,68,16,31,5,0,6,0.508,0.538,1.046
39,18,CA,Remi Elie,0,0,F,67,29,39,68,48,-13,10,0,2,0.433,0.582,1.015
40,19,CA,Erik Bradford,0,0,F,66,25,43,68,50,6,5,0,2,0.379,0.652,1.03
41,20,CA,Barclay Goodrow,1,1,F,63,33,34,67,64,18,10,7,8,0.524,0.54,1.063
42,19,CA,Matt Rupert,0,0,F,53,33,34,67,69,29,8,1,8,0.623,0.642,1.264
43,20,DE,Nickolas Latta,0,0,F,65,38,28,66,87,-41,13,1,1,0.585,0.431,1.015
44,19,US,Bryan Moore,0,0,F,58,25,38,63,100,7,6,1,3,0.431,0.655,1.086
45,20,CA,Darcy Greenaway,0,0,F,67,35,27,62,40,12,9,0,3,0.522,0.403,0.925
46,17,CA,Jared McCann,0,1,F,64,27,35,62,51,9,9,1,3,0.422,0.547,0.969
47,17,CA,Eric Cornel,0,0,F,68,25,37,62,25,2,5,1,1,0.368,0.544,0.912
48,20,CA,Tyler Gaudet,1,1,F,65,26,35,61,35,25,2,1,3,0.4,0.538,0.938
49,19,CA,Matt Finn,0,0,D,66,14,47,61,42,57,7,0,2,0.212,0.712,0.924
50,20,CA,Eric Locke,0,0,F,48,26,34,60,44,14,4,6,1,0.542,0.708,1.25
51,17,CA,Dante Salituro,0,0,F,68,22,37,59,76,-18,5,0,0,0.324,0.544,0.868
52,16,CA,Mitchell Marner,0,1,F,64,13,46,59,24,38,0,0,3,0.203,0.719,0.922
53,20,CA,Ryan Van Stralen,0,0,F,61,29,29,58,70,-4,11,0,2,0.475,0.475,0.951
54,20,CA,Cameron Brace,0,0,F,55,31,25,56,48,-4,9,1,5,0.564,0.455,1.018
55,19,CA,Holden Cook,0,0,F,68,28,28,56,45,11,9,1,3,0.412,0.412,0.824
56,20,CA,Michael Curtis,0,0,F,68,28,28,56,48,37,2,3,4,0.412,0.412,0.824
57,20,CA,Andrew Fritsch,0,0,F,62,24,32,56,12,11,4,0,6,0.387,0.516,0.903
58,19,CA,Brett Welychka,0,0,F,68,22,34,56,29,21,5,0,3,0.324,0.5,0.824
59,19,CA,Connor Crisp,0,0,F,67,28,27,55,120,10,8,0,2,0.418,0.403,0.821
60,19,CA,Adam Pelech,0,1,D,60,10,45,55,46,52,2,1,4,0.167,0.75,0.917
61,20,CA,Zach Lorentz,0,0,F,68,27,27,54,8,-24,10,0,7,0.397,0.397,0.794
62,19,US,Ryan Hartman,1,1,F,52,26,28,54,91,-14,8,2,1,0.5,0.538,1.038
63,18,CA,Josh Sterk,0,0,F,66,20,34,54,67,-2,10,0,3,0.303,0.515,0.818
64,20,CA,Patrick Watling,0,0,F,65,18,36,54,39,35,4,3,2,0.277,0.554,0.831
65,19,US,Nick Ebert,0,0,D,65,13,41,54,49,53,8,1,1,0.2,0.631,0.831
66,19,CA,Jesse Graham,0,0,D,66,11,43,54,43,3,4,1,2,0.167,0.652,0.818
67,19,US,Ben Johnson,0,0,F,59,28,25,53,30,18,5,2,6,0.475,0.424,0.898
68,17,CA,Brendan Lemieux,0,0,F,65,27,26,53,145,-5,10,0,3,0.415,0.4,0.815
69,17,CA,Aaron Ekblad,1,1,D,58,23,30,53,91,9,16,1,4,0.397,0.517,0.914
70,19,CH,Vincent Praplan,0,0,F,61,19,34,53,16,15,6,0,5,0.311,0.557,0.869
71,19,CA,Slater Koekkoek,1,1,D,62,15,38,53,51,44,9,2,1,0.242,0.613,0.855
72,19,CA,Josh Anderson,1,1,F,59,27,25,52,81,31,11,3,1,0.458,0.424,0.881
73,18,CA,Anthony DiFruscia,0,0,F,67,25,27,52,140,-19,13,1,4,0.373,0.403,0.776
74,20,CA,Mitch Theoret,0,0,F,52,17,35,52,20,6,6,1,1,0.327,0.673,1
75,17,CA,Andrew Mangiapane,0,0,F,68,24,27,51,28,19,1,1,2,0.353,0.397,0.75
76,18,CA,Zach Nastasiuk,0,0,F,62,24,27,51,26,-14,10,2,2,0.387,0.435,0.823
77,19,CA,Trevor Carrick,0,1,D,70,22,29,51,117,-6,7,0,5,0.314,0.414,0.729
78,20,CA,Kurtis Gabriel,0,1,F,60,15,36,51,99,4,1,0,3,0.25,0.6,0.85
79,20,CA,Michael Moffat,0,0,D,64,6,45,51,77,18,4,0,1,0.094,0.703,0.797
80,20,CA,Eric Ming,0,0,F,52,33,17,50,16,-4,14,1,4,0.635,0.327,0.962
81,19,CA,Joseph Blandisi,0,1,F,47,24,26,50,73,-17,9,5,3,0.511,0.553,1.064
82,19,CA,Zach Leslie,0,0,D,60,14,36,50,39,40,2,1,3,0.233,0.6,0.833
83,18,CA,Darnell Nurse,1,1,D,64,13,37,50,91,1,6,1,2,0.203,0.578,0.781
84,19,CA,Brendan Bell,0,0,F,68,25,24,49,103,-18,7,1,2,0.368,0.353,0.721
85,19,CA,Garrett Hooey,0,0,F,67,25,24,49,62,-3,8,1,5,0.373,0.358,0.731
86,19,CA,Justin Kea,0,0,F,58,22,27,49,97,14,0,4,4,0.379,0.466,0.845
87,20,CA,Tyson Fawcett,0,0,F,68,26,22,48,38,-11,8,2,1,0.382,0.324,0.706
88,20,CA,Carter Sandlak,0,0,F,61,24,24,48,95,-17,10,1,1,0.393,0.393,0.787
89,20,CA,Remy Giftopoulos,0,0,F,61,24,24,48,104,-3,10,0,2,0.393,0.393,0.787
90,20,CA,Kyle Hope,0,0,F,54,24,24,48,99,16,7,0,4,0.444,0.444,0.889
91,19,CA,Michael Clarke,0,0,F,65,21,27,48,49,7,6,2,2,0.323,0.415,0.738
92,19,CZ,Radek Faksa,0,1,F,59,21,27,48,48,-9,5,2,2,0.356,0.458,0.814
93,18,CA,Stephen Harper,0,0,F,64,13,35,48,37,4,3,1,2,0.203,0.547,0.75
94,18,CA,Bradley Latour,0,0,F,66,18,29,47,35,10,4,3,2,0.273,0.439,0.712
95,20,CA,Dylan Smoskowitz,0,0,F,67,29,17,46,32,-19,11,1,1,0.433,0.254,0.687
96,18,CA,Nick Paul,0,1,F,67,26,20,46,39,12,4,0,3,0.388,0.299,0.687
97,17,US,Nick Magyar,0,0,F,66,20,26,46,20,-18,3,0,0,0.303,0.394,0.697
98,18,US,Jimmy Lodge,0,0,F,59,19,27,46,49,5,8,0,2,0.322,0.458,0.78
99,19,CA,Daniel Milne,0,0,F,68,15,31,46,58,-13,4,0,0,0.221,0.456,0.676
100,20,CA,Ben Thomson,0,0,F,55,27,18,45,90,15,6,2,4,0.491,0.327,0.818
101,20,CA,Nelson Armstrong,0,0,D,66,9,36,45,55,8,5,1,3,0.136,0.545,0.682
102,19,CA,Samuel Schutt,0,0,F,64,26,18,44,42,25,8,3,4,0.406,0.281,0.688
103,18,CA,Bryson Cianfrone,0,0,F,65,17,27,44,28,-29,5,1,3,0.262,0.415,0.677
104,18,US,Justin Bailey,0,1,F,54,25,18,43,20,-12,5,0,1,0.463,0.333,0.796
105,18,US,Sam Povorozniouk,0,0,F,64,18,25,43,56,-5,5,2,2,0.281,0.391,0.672
106,17,CA,Roland McKeown,0,0,D,62,11,32,43,61,38,3,1,1,0.177,0.516,0.694
107,19,CA,Josh MacDonald,0,0,F,58,23,19,42,41,8,4,0,3,0.397,0.328,0.724
108,18,CA,Michael Bunting,0,0,F,48,15,27,42,34,10,6,0,2,0.313,0.563,0.875
109,18,CA,Jordan Subban,0,0,D,66,12,30,42,63,-11,1,0,2,0.182,0.455,0.636
110,19,CA,Evan McEneny,0,0,D,61,7,35,42,78,3,6,0,1,0.115,0.574,0.689
111,18,CA,Ryan Kujawinski,0,0,F,45,23,18,41,39,3,8,0,4,0.511,0.4,0.911
112,18,CA,Nick Moutrey,0,0,F,68,15,26,41,82,13,1,0,1,0.221,0.382,0.603
113,19,CA,Brett Gustavsen,0,0,F,64,14,27,41,81,-16,3,0,1,0.219,0.422,0.641
114,16,CA,Blake Speers,0,1,F,62,19,21,40,12,1,3,0,6,0.306,0.339,0.645
115,18,CA,Hunter Smith,0,0,F,64,16,24,40,100,11,7,0,4,0.25,0.375,0.625
116,19,CA,Luke Cairns,0,0,F,61,16,24,40,16,-16,4,0,1,0.262,0.393,0.656
117,18,CA,Jordan Maletta,0,0,F,59,12,28,40,58,-4,5,0,1,0.203,0.475,0.678
118,20,CA,Alex Basso,0,0,D,63,10,30,40,61,13,7,0,3,0.159,0.476,0.635
119,20,CA,Steven Trojanovic,0,0,D,65,7,33,40,47,43,3,0,1,0.108,0.508,0.615
120,20,CA,Matt MacLeod,0,0,F,63,15,24,39,42,19,1,0,1,0.238,0.381,0.619
121,19,CA,Brandon Devlin,0,0,D,66,14,25,39,85,1,8,0,2,0.212,0.379,0.591
122,18,CA,Josh Burnside,0,0,F,62,12,27,39,35,-28,3,1,0,0.194,0.435,0.629
123,18,CA,Corey Pawley,0,0,F,56,12,27,39,25,18,4,0,0,0.214,0.482,0.696
124,16,CA,Dylan Strome,0,1,F,60,10,29,39,11,17,2,0,4,0.167,0.483,0.65
125,19,CA,Luke Mercer,0,0,D,61,5,34,39,49,-19,3,0,0,0.082,0.557,0.639
126,19,CA,Robert Polesello,0,0,F,48,18,20,38,20,-9,4,0,5,0.375,0.417,0.792
127,16,RU,Nikita Korostelev,0,0,F,60,17,21,38,23,-35,8,0,3,0.283,0.35,0.633
128,17,CA,Francesco Vilardi,0,0,F,68,13,25,38,22,-15,3,0,0,0.191,0.368,0.559
129,20,US,Jimmy McDowell,0,0,D,68,13,25,38,42,-54,7,0,1,0.191,0.368,0.559
130,17,CA,Mike Amadio,0,0,F,64,12,26,38,14,15,3,0,0,0.188,0.406,0.594
131,18,SE,Viktor Crus-Rydberg,0,0,F,62,12,26,38,20,-22,6,0,3,0.194,0.419,0.613
132,17,CA,David Miller,0,0,F,63,18,19,37,27,-4,4,0,4,0.286,0.302,0.587
133,18,CA,Matt Mistele,0,0,F,55,18,19,37,59,-4,5,0,4,0.327,0.345,0.673
134,20,CA,Justin Sefton,0,0,D,68,16,21,37,92,4,11,0,1,0.235,0.309,0.544
135,17,US,Ryan MacInnis,0,0,F,66,16,21,37,18,-28,6,0,1,0.242,0.318,0.561
136,19,CA,Curtis Meighan,0,0,F,68,11,26,37,16,-3,3,2,2,0.162,0.382,0.544
137,17,CA,Dylan Sadowy,0,0,F,68,27,9,36,69,14,0,3,2,0.397,0.132,0.529
138,17,US,Darby Llewellyn,0,0,F,66,25,11,36,43,-13,4,0,6,0.379,0.167,0.545
139,18,CA,Kyle Platzer,0,0,F,66,22,14,36,26,-14,9,1,1,0.333,0.212,0.545
140,19,CA,Jake Dotchin,0,0,D,63,11,25,36,121,20,6,2,1,0.175,0.397,0.571
141,19,US,Cody Payne,0,0,F,57,26,9,35,35,-1,7,0,3,0.456,0.158,0.614
142,17,CA,Anthony Stefano,0,0,F,65,15,20,35,22,3,0,1,3,0.231,0.308,0.538
143,18,FI,Jonatan Tanus,0,0,F,55,13,22,35,45,-9,2,0,1,0.236,0.4,0.636
144,18,US,Kevin Labanc,0,1,F,65,11,24,35,30,3,3,0,2,0.169,0.369,0.538
145,18,CA,Tyler Bertuzzi,0,1,F,29,9,26,35,49,9,4,0,2,0.31,0.897,1.207
146,20,CA,Spencer Abraham,0,0,D,68,8,27,35,24,29,7,1,0,0.118,0.397,0.515
147,18,CA,Nevin Guy,0,0,D,66,8,27,35,28,-33,6,0,0,0.121,0.409,0.53
148,18,US,Michael McCarron,0,1,F,66,14,20,34,120,11,1,0,1,0.212,0.303,0.515
149,19,CA,Andrew Goldberg,0,0,F,60,17,16,33,21,-14,3,1,2,0.283,0.267,0.55
150,20,CA,Brady Austin,0,0,D,67,9,24,33,42,51,4,0,1,0.134,0.358,0.493
151,17,CA,Vince Dunn,0,0,D,63,5,28,33,45,-8,2,0,0,0.079,0.444,0.524
152,19,CA,Matia Marcantuoni,0,0,F,54,15,17,32,29,-30,6,1,1,0.278,0.315,0.593
153,17,CA,Ryan Foss,0,0,F,58,13,19,32,10,7,2,0,2,0.224,0.328,0.552
154,18,CA,Jake Marchment,0,0,F,57,10,22,32,53,4,0,0,1,0.175,0.386,0.561
155,19,CA,Billy Jenkins,0,0,F,42,10,22,32,24,-7,4,0,0,0.238,0.524,0.762
156,19,CA,Brenden Miller,0,0,D,63,8,24,32,97,14,6,0,1,0.127,0.381,0.508
157,19,CA,Terry Trafford,0,0,F,54,8,24,32,70,-3,0,0,1,0.148,0.444,0.593
158,18,CA,Brent Pedersen,0,0,F,67,18,13,31,48,-30,2,1,0,0.269,0.194,0.463
159,18,US,Connor Chatham,0,0,F,54,13,18,31,51,-17,2,0,1,0.241,0.333,0.574
160,18,DE,Dominik Kahun,0,0,F,43,9,22,31,8,-14,1,0,1,0.209,0.512,0.721
161,18,CA,Brody Milne,0,0,F,68,17,13,30,39,1,0,0,2,0.25,0.191,0.441
162,20,CA,Steven Janes,0,0,F,60,12,18,30,58,4,1,1,2,0.2,0.3,0.5
163,17,CA,Zach Bratina,0,0,F,58,12,18,30,75,8,1,0,1,0.207,0.31,0.517
164,18,RU,Nikita Zadorov,1,1,D,36,11,19,30,43,30,5,1,2,0.306,0.528,0.833
165,20,CA,Scott Simmonds,0,0,F,63,10,20,30,42,-22,3,0,0,0.159,0.317,0.476
166,19,US,Max Iafrate,0,0,D,57,8,22,30,124,-22,6,0,1,0.14,0.386,0.526
167,17,US,Blake Siebenaler,0,0,D,68,6,24,30,24,-16,3,0,0,0.088,0.353,0.441
168,19,US,Dylan Blujus,0,0,D,55,4,26,30,56,13,1,0,0,0.073,0.473,0.545
169,18,CZ,Dominik Kubalik,0,0,F,59,18,11,29,46,-16,4,0,3,0.305,0.186,0.492
170,20,CA,Ryan Horvat,0,0,F,59,15,14,29,50,8,1,1,2,0.254,0.237,0.492
171,18,US,Greg Betzold,0,0,F,63,12,17,29,37,-4,2,0,2,0.19,0.27,0.46
172,18,CA,Trevor Murphy,0,0,D,51,8,21,29,57,16,2,0,1,0.157,0.412,0.569
173,20,CA,Eric Diodati,0,0,D,67,7,22,29,70,8,1,0,2,0.104,0.328,0.433
174,20,US,Craig Duininck,0,0,D,59,7,22,29,33,-12,2,1,0,0.119,0.373,0.492
175,20,CA,Brayden Rose,0,0,D,58,3,26,29,43,-6,2,0,1,0.052,0.448,0.5
176,17,CA,Cristiano DiGiacinto,0,0,F,50,17,11,28,101,8,2,0,1,0.34,0.22,0.56
177,18,SE,Alexander Henriksson,0,0,F,68,11,17,28,47,-7,1,0,0,0.162,0.25,0.412
178,17,BY,Vladislav Kodola,0,0,F,67,7,21,28,10,-42,1,0,0,0.104,0.313,0.418
179,19,CA,Gianluca Curcuruto,0,0,D,57,7,21,28,16,-14,2,1,0,0.123,0.368,0.491
180,17,CA,Stefan LeBlanc,0,0,D,64,5,23,28,26,-14,1,0,0,0.078,0.359,0.438
181,17,CA,Travis Dermott,0,0,D,67,3,25,28,45,35,1,0,1,0.045,0.373,0.418
182,19,CA,Stephen Pierog,0,0,F,67,15,12,27,83,-12,0,0,2,0.224,0.179,0.403
183,16,CA,Lawson Crouse,0,1,F,63,15,12,27,64,10,3,0,3,0.238,0.19,0.429
184,17,CZ,David Tomasek,0,0,F,58,13,14,27,8,-18,6,0,2,0.224,0.241,0.466
185,18,CA,Aaron Berisha,0,0,F,67,12,15,27,8,-24,4,0,1,0.179,0.224,0.403
186,19,CA,Slater Doggett,0,0,F,65,7,20,27,51,13,1,0,0,0.108,0.308,0.415
187,19,US,Chris Carlisle,0,0,D,67,6,21,27,58,-7,3,0,0,0.09,0.313,0.403
188,18,CA,Chris Bigras,0,1,D,55,4,23,27,46,-11,2,0,0,0.073,0.418,0.491
189,20,CA,Brett Foy,0,0,F,68,11,15,26,53,-31,5,2,1,0.162,0.221,0.382
190,19,CA,Ray Huether,0,0,F,68,9,17,26,35,-3,1,0,1,0.132,0.25,0.382
191,19,RU,Semyon Babintsev,0,0,F,61,12,13,25,24,-25,2,0,3,0.197,0.213,0.41
192,19,NO,J?rgen Karterud,0,0,F,45,11,14,25,19,3,4,0,1,0.244,0.311,0.556
193,18,CA,Tyler Hill,0,0,F,67,10,15,25,58,-26,2,0,1,0.149,0.224,0.373
194,18,CA,Jacob Harris,0,0,F,58,10,15,25,22,9,1,1,2,0.172,0.259,0.431
195,18,CA,Daniel Nikandrov,0,0,F,53,9,16,25,10,-28,1,2,0,0.17,0.302,0.472
196,19,CA,Jamie Lewis,0,0,F,67,8,17,25,40,8,0,1,1,0.119,0.254,0.373
197,19,CA,Dylan Corson,0,0,F,64,7,18,25,39,8,0,0,0,0.109,0.281,0.391
198,17,CA,Kyle Jenkins,0,0,D,63,7,18,25,28,6,5,0,1,0.111,0.286,0.397
199,19,US,Dakota Mermis,0,0,D,66,5,20,25,76,40,0,2,2,0.076,0.303,0.379
200,17,CA,Logan Schmidt,0,0,D,58,2,23,25,12,-17,1,0,0,0.034,0.397,0.431
201,18,RU,Andrei Alexeyev,0,0,F,59,12,12,24,18,14,0,0,2,0.203,0.203,0.407
202,17,CA,Ryan Verbeek,0,0,F,43,12,12,24,29,1,2,0,0,0.279,0.279,0.558
203,17,CH,Pius Suter,0,0,F,66,9,15,24,16,16,0,3,3,0.136,0.227,0.364
204,19,CA,Marcus McIvor,0,0,D,68,2,22,24,44,30,0,1,0,0.029,0.324,0.353
205,16,CA,Brett McKenzie,0,0,F,63,13,10,23,25,0,0,0,3,0.206,0.159,0.365
206,17,CA,Niki Petti,0,0,F,59,12,11,23,17,-20,2,0,1,0.203,0.186,0.39
207,19,CA,Justin Auger,0,0,F,53,11,12,23,61,8,1,0,0,0.208,0.226,0.434
208,18,CA,Sam Studnicka,0,0,F,67,8,15,23,57,-23,1,0,0,0.119,0.224,0.343
209,20,CA,Clark Seymour,0,0,D,61,7,16,23,85,-8,4,0,0,0.115,0.262,0.377
210,19,CA,Jeff Corbett,0,0,D,57,4,19,23,29,-1,1,0,1,0.07,0.333,0.404
211,20,US,Colin Suellentrop,0,0,D,67,3,20,23,98,18,1,0,1,0.045,0.299,0.343
212,19,CA,Jonathan Laser,0,0,D,61,3,20,23,90,31,0,0,1,0.049,0.328,0.377
213,17,CA,Jacob Middleton,0,0,D,65,2,21,23,64,-21,1,0,1,0.031,0.323,0.354
214,18,CA,Davis Brown,0,0,F,59,14,8,22,41,-34,4,0,1,0.237,0.136,0.373
215,16,US,Mason Kohn,0,0,F,61,9,13,22,21,-15,4,0,1,0.148,0.213,0.361
216,18,CA,Stephen Nosad,0,0,F,49,9,13,22,8,6,0,1,2,0.184,0.265,0.449
217,16,CA,Graham Knott,0,0,F,64,8,14,22,18,-18,1,0,0,0.125,0.219,0.344
218,17,CA,Kevin Spinozzi,0,0,D,69,5,17,22,60,-4,0,0,0,0.072,0.246,0.319
219,19,CA,Warren Steele,0,0,D,65,4,18,22,42,-8,1,0,0,0.062,0.277,0.338
220,16,CA,Mitchell Stephens,0,0,F,57,9,12,21,8,-3,1,0,1,0.158,0.211,0.368
221,18,CH,Yannick Rathgeb,0,0,D,57,7,14,21,48,-14,3,0,1,0.123,0.246,0.368
222,17,RU,Nikita Yazkov,0,0,F,66,6,15,21,25,-5,0,0,1,0.091,0.227,0.318
223,17,CA,Jared Walsh,0,0,D,66,5,16,21,14,-38,2,0,0,0.076,0.242,0.318
224,18,FI,Alex Lintuniemi,0,0,D,68,4,17,21,26,-38,1,0,0,0.059,0.25,0.309
225,20,CA,Kevin Raine,0,0,D,57,4,17,21,44,19,0,0,1,0.07,0.298,0.368
226,18,CA,Tyler Ganly,0,0,D,67,3,18,21,62,34,0,0,2,0.045,0.269,0.313
227,18,CA,Conor McGlynn,0,0,F,68,12,8,20,77,-13,0,2,1,0.176,0.118,0.294
228,17,CA,Bobby MacIntyre,0,0,F,61,12,8,20,38,-21,3,2,1,0.197,0.131,0.328
229,19,CA,Kurtis MacDermid,0,0,D,66,7,13,20,165,23,2,0,2,0.106,0.197,0.303
230,18,CA,Tyler Hore,0,0,D,63,7,13,20,40,-9,2,0,1,0.111,0.206,0.317
231,18,CA,Justin Scott,0,0,F,61,7,13,20,29,8,0,0,1,0.115,0.213,0.328
232,18,CA,Mitchell Fitzmorris,0,0,F,61,7,13,20,51,-11,0,0,1,0.115,0.213,0.328
233,16,CA,Mitchell Vande Sompel,0,0,D,47,5,15,20,18,3,3,0,0,0.106,0.319,0.426
234,17,CA,Brook Hiddink,0,0,F,45,2,18,20,16,-10,2,0,0,0.044,0.4,0.444
235,17,US,Frank Hora,0,0,D,65,1,19,20,53,-18,1,0,0,0.015,0.292,0.308
236,19,CA,Sean Callaghan,0,0,D,66,8,11,19,127,12,0,0,0,0.121,0.167,0.288
237,17,CA,Jeff King,0,0,D,61,4,15,19,32,-17,1,0,1,0.066,0.246,0.311
238,19,CA,Jacob Ringuette,0,0,D,68,3,16,19,65,4,2,0,1,0.044,0.235,0.279
239,16,CA,Matthew Kreis,0,0,F,57,3,16,19,10,2,1,0,0,0.053,0.281,0.333
240,19,US,Troy Donnay,0,0,D,66,2,17,19,92,40,0,1,1,0.03,0.258,0.288
241,17,CA,Brandon Prophet,0,0,D,65,2,17,19,72,4,1,0,0,0.031,0.262,0.292
242,18,CA,Jake Evans,0,0,F,57,11,7,18,53,13,0,0,1,0.193,0.123,0.316
243,19,CA,Jean Dupuy,0,0,F,48,10,8,18,46,1,1,0,0,0.208,0.167,0.375
244,17,CA,Hayden Hodgson,0,0,F,52,9,9,18,64,-20,1,0,0,0.173,0.173,0.346
245,17,CA,Jaden Lindo,0,0,F,40,9,9,18,41,-9,2,0,2,0.225,0.225,0.45
246,17,CA,Joe Manchurek,0,0,F,64,8,10,18,8,4,0,0,2,0.125,0.156,0.281
247,17,CA,Steven Lorentz,0,0,F,64,7,11,18,18,-4,0,1,2,0.109,0.172,0.281
248,17,CA,Mathieu Henderson,0,0,D,60,6,12,18,31,-15,4,0,1,0.1,0.2,0.3
249,18,US,Nick Betz,0,0,F,66,5,13,18,60,13,0,0,0,0.076,0.197,0.273
250,19,FI,Mikko Vainonen,0,0,D,57,4,14,18,73,7,1,0,1,0.07,0.246,0.316
251,17,CA,Santino Centorame,0,0,D,61,3,15,18,50,2,1,0,1,0.049,0.246,0.295
252,17,CA,Michael Cramarossa,0,0,F,66,7,10,17,24,-21,0,0,1,0.106,0.152,0.258
253,17,CA,Jeremiah Addison,0,0,F,61,7,10,17,52,2,0,0,1,0.115,0.164,0.279
254,17,CA,Thomas Schemitsch,0,0,D,63,6,11,17,26,-16,3,0,2,0.095,0.175,0.27
255,16,CA,Jesse Barwell,0,0,F,60,4,13,17,8,-20,2,0,0,0.067,0.217,0.283
256,18,CA,Michael Webster,0,0,D,65,3,14,17,51,5,1,0,1,0.046,0.215,0.262
257,20,CA,Zach Bell,0,0,D,40,3,14,17,53,29,0,0,0,0.075,0.35,0.425
258,18,CA,Will Petschenig,0,0,D,68,2,15,17,56,20,0,0,0,0.029,0.221,0.25
259,17,CA,Chad Heffernan,0,0,F,53,10,6,16,94,-8,0,0,0,0.189,0.113,0.302
260,17,CA,Jacob Busch,0,0,F,53,9,7,16,72,-3,2,0,1,0.17,0.132,0.302
261,18,CA,Brandon Robinson,0,0,F,40,7,9,16,28,-13,4,0,1,0.175,0.225,0.4
262,15,CA,Sean Day,0,0,D,60,6,10,16,34,-35,1,0,3,0.1,0.167,0.267
263,17,RU,Damir Sharipzyanov,0,0,D,67,5,11,16,65,2,0,1,0,0.075,0.164,0.239
264,19,CA,Taylor Fielding,0,0,F,65,5,11,16,62,-11,1,0,0,0.077,0.169,0.246
265,17,US,Aaron Haydon,0,0,D,61,5,11,16,112,-39,4,0,0,0.082,0.18,0.262
