rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,19,US,Vincent Trocheck,F,63,50,59,109,58,49,10,5,5,0.794,0.937,1.73
2,20,CA,Charles Sarault,F,68,22,86,108,28,16,6,5,1,0.324,1.265,1.588
3,19,CA,Nick Cousins,F,64,27,76,103,83,19,6,3,4,0.422,1.188,1.609
4,19,CA,Eric Locke,F,68,44,53,97,84,37,8,3,4,0.647,0.779,1.426
5,19,US,Reid Boucher,F,68,62,33,95,53,13,21,1,9,0.912,0.485,1.397
6,19,CA,Ryan Strome,F,53,34,60,94,59,43,5,2,3,0.642,1.132,1.774
7,20,US,Garret Ross,F,61,44,46,90,114,31,12,4,5,0.721,0.754,1.475
8,18,CA,Kerby Rychel,F,68,40,47,87,94,-21,16,0,4,0.588,0.691,1.279
9,17,CA,Max Domi,F,64,39,48,87,71,33,14,1,3,0.609,0.75,1.359
10,19,CA,Boone Jenner,F,56,45,37,82,58,23,12,0,8,0.804,0.661,1.464
11,19,CA,Seth Griffith,F,54,33,48,81,52,18,10,3,5,0.611,0.889,1.5
12,19,CA,Zach Hall,F,63,24,57,81,38,9,12,1,2,0.381,0.905,1.286
13,19,CA,Mark Scheifele,F,45,39,40,79,30,27,14,2,5,0.867,0.889,1.756
14,19,CA,Dan Catenacci,F,67,38,41,79,115,31,11,4,5,0.567,0.612,1.179
15,18,CA,Sean Monahan,F,58,31,47,78,24,-18,15,1,1,0.534,0.81,1.345
16,19,CA,Brett Ritchie,F,53,41,35,76,40,35,12,3,5,0.774,0.66,1.434
17,19,CA,Cameron Brace,F,66,35,39,74,74,32,7,5,8,0.53,0.591,1.121
18,19,CA,Tyler Graovac,F,60,38,35,73,18,7,10,2,8,0.633,0.583,1.217
19,19,CA,Josh Leivo,F,63,29,44,73,52,20,5,1,5,0.46,0.698,1.159
20,20,CA,Riley Brace,F,66,21,52,73,89,0,7,1,1,0.318,0.788,1.106
21,20,US,Alex Aleardi,F,67,27,44,71,64,0,7,1,1,0.403,0.657,1.06
22,18,CA,Connor Brown,F,63,28,41,69,39,-11,15,1,3,0.444,0.651,1.095
23,20,CA,Steven Beyers,F,66,16,53,69,22,21,2,1,3,0.242,0.803,1.045
24,17,RU,Nikolai Goldobin,F,68,30,38,68,12,-7,13,0,3,0.441,0.559,1
25,18,CA,Mathew Campagna,F,66,24,44,68,46,2,6,0,1,0.364,0.667,1.03
26,20,CA,Steven Shipley,F,66,32,35,67,18,2,16,0,2,0.485,0.53,1.015
27,18,CA,Andreas Athanasiou,F,66,29,38,67,30,13,8,0,10,0.439,0.576,1.015
28,17,US,Jimmy Lodge,F,64,28,39,67,28,4,13,0,2,0.438,0.609,1.047
29,19,CA,Alan Quine,F,54,23,44,67,20,15,6,0,2,0.426,0.815,1.241
30,15,CA,Connor McDavid,F,63,25,41,66,36,-24,2,1,2,0.397,0.651,1.048
31,19,CA,Ryan Sproul,D,50,20,46,66,45,0,11,0,5,0.4,0.92,1.32
32,18,CA,Scott Kosmachuk,F,68,35,30,65,105,3,11,1,3,0.515,0.441,0.956
33,19,CA,Garrett Meurs,F,68,32,33,65,66,18,13,0,6,0.471,0.485,0.956
34,20,CA,Brandon Alderson,F,67,28,36,64,64,13,6,3,3,0.418,0.537,0.955
35,19,CA,Cody Ceci,D,69,19,45,64,12,-8,13,0,5,0.275,0.652,0.928
36,19,US,Alex Broadhurst,F,65,23,40,63,36,30,4,0,9,0.354,0.615,0.969
37,20,CA,Joseph Cramarossa,F,68,19,44,63,89,19,4,2,3,0.279,0.647,0.926
38,20,CA,J.P. Labardo,F,67,24,38,62,36,-31,5,2,0,0.358,0.567,0.925
39,19,CH,Tanner Richard,F,52,11,51,62,94,18,2,3,1,0.212,0.981,1.192
40,17,CA,Bo Horvat,F,67,33,28,61,29,3,17,1,5,0.493,0.418,0.91
41,18,US,Alex Galchenyuk,F,33,27,34,61,22,16,7,1,2,0.818,1.03,1.848
42,19,CA,Anthony Camara,F,50,36,24,60,91,17,15,0,5,0.72,0.48,1.2
43,17,CA,Matt Mistele,F,68,34,26,60,69,32,5,0,4,0.5,0.382,0.882
44,18,CA,Brendan Gaunce,F,60,33,27,60,44,10,10,1,1,0.55,0.45,1
