@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,22-23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
0,EURO,0.470588,0.477477,C,?,0.21,0.012821,0.027273,0.021277,0.045929,0.496403,?,?,?,?,?,?,no
0,EURO,0.411765,0.378378,L,0.060484,0.12,0.025641,0.018182,0.021277,0.008351,0.496403,?,?,?,?,?,?,no
0,EURO,0.470588,0.396396,L,0.040323,0.28,0.064103,0.027273,0.042553,0.029228,0.496403,?,?,?,?,?,?,no
0.142857,CAN,0.470588,0.594595,R,?,0.5,0.128205,0.072727,0.095745,0.361169,0.496403,0.448276,0.181818,0.066667,0.130435,0.4,0.344828,no
0,CAN,0.705882,0.459459,D,?,0.68,0.025641,0.118182,0.079787,0.150313,0.52518,0.137931,0,0,0,0.016667,0.275862,no
0.142857,CAN,0.470588,0.441441,R,?,0.52,0.615385,0.290909,0.425532,0.25261,0.496403,?,?,?,?,?,?,no
0,CAN,0.529412,0.522523,L,?,0.56,0.128205,0.054545,0.085106,0.467641,0.496403,?,?,?,?,?,?,no
0.142857,USA,0.764706,0.576577,D,?,0.36,0.012821,0.009091,0.010638,0.11691,0.496403,?,?,?,?,?,?,no
0,CAN,0.764706,0.675676,R,?,0.7,0.064103,0.072727,0.069149,0.509395,0.309353,?,?,?,?,?,?,no
0,EURO,0.470588,0.378378,C,0.197581,0.56,0.166667,0.245455,0.212766,0.210856,0.496403,?,?,?,?,?,?,no
0,CAN,0.764706,0.63964,D,?,0.5,0.012821,0.018182,0.015957,0.377871,0.460432,0.068966,0,0,0,0.058333,0.310345,no
0,CAN,0.588235,0.558559,L,?,0.42,0.012821,0.072727,0.047872,0.150313,0.496403,0.172414,0.045455,0.1,0.086957,0.158333,0.275862,no
0,EURO,0.470588,0.63964,D,0.028226,0.59,0.153846,0.163636,0.159574,0.100209,0.503597,?,?,?,?,?,?,no
0,EURO,0.470588,0.378378,C,0.116935,0.32,0.102564,0.054545,0.074468,0.029228,0.496403,0.068966,0,0,0,0.033333,0.241379,no
0.142857,EURO,0.647059,0.279279,C,?,0.45,0.230769,0.136364,0.175532,0.112735,0.438849,?,?,?,?,?,?,no
0.071429,CAN,0.647059,0.576577,L,?,0.68,0.038462,0.009091,0.021277,0.519833,0.496403,0.275862,0,0,0,0.125,0.310345,no
0,CAN,0.705882,0.279279,L,0.145161,0.68,0.217949,0.081818,0.138298,0.087683,0.539568,0.37931,0.045455,0.066667,0.065217,0.016667,0.241379,no
0,CAN,0.647059,0.423423,D,?,0.58,0.038462,0.036364,0.037234,0.206681,0.323741,0.103448,0,0.033333,0.021739,0.05,0.103448,no
0.142857,USA,0.647059,0.558559,R,?,0.33,0.141026,0.154545,0.148936,0.258873,0.496403,0.344828,0.272727,0.433333,0.413043,0.166667,0.310345,no
0,CAN,0.529412,0.36036,D,?,0.68,0.012821,0.109091,0.069149,0.319415,0.57554,0.137931,0,0.033333,0.021739,0.066667,0.275862,no
0.142857,EURO,0.647059,0.540541,R,?,0.48,0.320513,0.154545,0.223404,0.004175,0.47482,0,0,0,0,0,0.310345,no
0,CAN,0.529412,0.396396,L,?,0.69,0.192308,0.236364,0.218085,0.164927,0.496403,0.103448,0.090909,0.1,0.108696,0.1,0.275862,no
0.071429,USA,0.588235,0.459459,C,?,0.3,0.051282,0.054545,0.053191,0.016701,0.467626,?,?,?,?,?,?,no
0.071429,CAN,0.588235,0.441441,D,?,0.61,0,0.090909,0.053191,0.227557,0.381295,?,?,?,?,?,?,no
0.071429,CAN,0.411765,0.279279,D,?,0.68,0.179487,0.272727,0.234043,0.133612,0.568345,0.137931,0,0,0,0.15,0.310345,no
0.142857,EURO,0.529412,0.378378,D,?,0.5,0,0.054545,0.031915,0.156576,0.539568,?,?,?,?,?,?,no
0,EURO,0.470588,0.324324,R,0.092742,0.52,0.282051,0.172727,0.218085,0.041754,0.532374,0.206897,0.045455,0.066667,0.065217,0.033333,0.310345,no
0.071429,EURO,0.529412,0.423423,R,0.169355,0.46,0.064103,0.027273,0.042553,0.058455,0.467626,0.310345,0,0.066667,0.043478,0.05,0.206897,no
0.071429,CAN,0.705882,0.558559,R,?,0.62,0.102564,0.1,0.101064,0.141962,0.280576,?,?,?,?,?,?,no
0,CAN,0.588235,0.477477,C,?,0.08,0.025641,0.045455,0.037234,0.004175,0.532374,0.517241,0.090909,0.1,0.108696,0.033333,0.344828,no
0.071429,CAN,0.352941,0.423423,L,?,0.69,0.294872,0.445455,0.382979,0.169102,0.654676,0.586207,0.227273,0.366667,0.347826,0.291667,0.62069,no
0,CAN,0.705882,0.693694,D,?,0.69,0.051282,0.054545,0.053191,0.162839,0.482014,?,?,?,?,?,?,no
0.071429,USA,0.529412,0.378378,R,?,0.41,0.153846,0.127273,0.138298,0.187891,0.496403,0.344828,0.090909,0.166667,0.152174,0.5,0.310345,no
0.142857,USA,0.470588,0.243243,C,?,0.38,0.064103,0.109091,0.090426,0.037578,0.496403,?,?,?,?,?,?,no
0.071429,CAN,0.470588,0.18018,L,?,0.57,0.576923,0.472727,0.515957,0.104384,0.496403,?,?,?,?,?,?,no
0,EURO,0.470588,0.621622,R,?,0.73,0.307692,0.363636,0.340426,0.158664,0.446043,?,?,?,?,?,?,no
0,CAN,0.705882,0.720721,D,?,0.61,0.089744,0.072727,0.079787,0.048017,0.532374,0.310345,0,0,0,0.033333,0.241379,no
0.142857,USA,0.647059,0.36036,C,?,0.39,0.089744,0.118182,0.106383,0.045929,0.496403,?,?,?,?,?,?,no
0.142857,CAN,0.588235,0.297297,R,?,0.7,0.448718,0.481818,0.468085,0.183716,0.741007,0.448276,0.318182,0.266667,0.326087,0.008333,0.310345,no
0,CAN,0.647059,0.558559,D,?,0.63,0,0.054545,0.031915,0.202505,0.52518,0.37931,0,0,0,0.108333,0.137931,no
0.071429,CAN,0.470588,0.297297,C,?,0.45,0.179487,0.290909,0.244681,0.037578,0.582734,?,?,?,?,?,?,no
0.142857,CAN,0.764706,0.558559,D,?,0.08,0,0,0,0.037578,0.496403,?,?,?,?,?,?,no
0,CAN,0.529412,0.36036,C,?,0.67,0.205128,0.163636,0.180851,0.202505,0.467626,?,?,?,?,?,?,no
0,CAN,0.823529,0.540541,D,?,0.52,0,0.018182,0.010638,0.150313,0.410072,0.137931,0,0,0,0,0.172414,no
0.071429,USA,0.588235,0.324324,C,?,0.37,0.435897,0.336364,0.37766,0,0.496403,?,?,?,?,?,?,no
0.071429,USA,0.764706,0.324324,L,?,0.38,0.089744,0.072727,0.079787,0.070981,0.496403,?,?,?,?,?,?,no
0,CAN,0.647059,0.324324,D,?,0.7,0.038462,0.127273,0.090426,0.066806,0.489209,0.37931,0,0.066667,0.043478,0.016667,0.517241,no
0,EURO,0.588235,0.396396,L,0.193548,0.55,0.205128,0.318182,0.271277,0.125261,0.496403,?,?,?,?,?,?,no
0.071429,EURO,0.411765,0.297297,R,?,0.22,0.038462,0.018182,0.026596,0.079332,0.496403,?,?,?,?,?,?,no
0.071429,EURO,0.411765,0.225225,L,?,0.29,0.076923,0.054545,0.06383,0.033403,0.496403,0.068966,0,0,0,0,0.310345,no
0.285714,EURO,0.529412,0.477477,D,?,0.47,0.076923,0.090909,0.085106,0.187891,0.546763,0.137931,0.090909,0.066667,0.086957,0.116667,0.344828,no
0,EURO,0.294118,0.36036,L,0.334677,0.55,0.512821,0.281818,0.37766,0.162839,0.489209,?,?,?,?,?,?,no
0,EURO,0.529412,0.558559,L,0.262097,0.49,0.269231,0.2,0.228723,0.004175,0.496403,?,?,?,?,?,?,no
0,CAN,0.588235,0.459459,D,?,0.65,0.025641,0.136364,0.090426,0.208768,0.561151,0.172414,0,0.033333,0.021739,0.1,0.37931,no
0,EURO,0.411765,0.297297,C,0.137097,0.48,0.102564,0.090909,0.095745,0.073069,0.467626,0.206897,0,0.033333,0.021739,0.05,0.310345,no
