@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,22-23'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R,W,F}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
18,CAN,73,201,D,125,68,5,27,32,33,33,21,0,4,4,10,15,no
19,USA,71,205,R,80,40,6,6,12,58,0,?,?,?,?,?,?,no
18,CAN,74,196,L,58,66,16,28,44,10,20,6,1,0,1,2,-1,no
20,CAN,72,163,R,?,79,39,40,79,40,-35,?,?,?,?,?,?,no
19,CAN,74,231,D,50,59,15,33,48,139,-24,6,1,2,3,8,-5,no
19,USA,79,236,D,123,0,0,0,0,0,0,?,?,?,?,?,?,no
18,EURO,69,201,L,21,48,14,10,24,58,-1,?,?,?,?,?,?,no
19,USA,77,234,D,76,23,0,0,0,28,-15,?,?,?,?,?,?,no
19,USA,75,201,D,63,25,9,19,28,22,0,?,?,?,?,?,?,no
18,EURO,74,209,R,22,52,22,13,35,46,11,?,?,?,?,?,?,no
18,CAN,72,187,R,32,67,45,58,103,16,-1,6,5,3,8,4,4,no
19,CAN,71,187,D,?,68,14,69,83,16,50,21,7,23,30,8,14,no
18,EURO,72,181,L,?,35,1,3,4,45,0,?,?,?,?,?,?,no
19,USA,74,201,D,77,49,4,22,26,34,0,11,0,1,1,12,0,no
18,EURO,75,214,D,10,51,3,10,13,4,1,?,?,?,?,?,?,no
20,USA,77,220,D,79,33,0,10,10,22,0,?,?,?,?,?,?,no
18,CAN,72,201,L,73,68,21,26,47,81,-20,5,5,3,8,8,3,no
20,EURO,73,198,R,?,68,33,58,91,14,4,23,8,8,16,8,-3,no
19,EURO,74,205,D,?,47,6,3,9,70,0,?,?,?,?,?,?,no
18,EURO,75,203,C,66,4,1,1,2,0,-2,?,?,?,?,?,?,no
20,EURO,72,187,L,18,57,16,7,23,86,4,?,?,?,?,?,?,no
18,EURO,69,176,L,?,28,15,9,24,67,0,?,?,?,?,?,?,no
19,EURO,72,205,F,78,47,10,11,21,14,7,?,?,?,?,?,?,no
18,CAN,72,198,R,69,68,25,34,59,24,20,5,1,2,3,2,-1,no
18,CAN,74,185,D,37,55,2,12,14,57,-6,?,?,?,?,?,?,no
19,EURO,74,209,D,75,32,3,10,13,46,0,?,?,?,?,?,?,no
18,CAN,76,201,D,?,58,1,5,6,42,-43,?,?,?,?,?,?,no
19,CAN,73,190,C,182,52,38,40,78,6,0,?,?,?,?,?,?,no
20,CAN,74,205,D,?,54,16,38,54,110,0,?,?,?,?,?,?,no
21,EURO,72,196,D,?,47,2,7,9,18,7,?,?,?,?,?,?,no
19,USA,78,209,R,100,20,0,2,2,30,0,?,?,?,?,?,?,no
19,USA,74,196,L,103,36,4,4,8,18,0,?,?,?,?,?,?,no
19,USA,75,190,C,118,26,23,36,59,32,0,?,?,?,?,?,?,no
18,CAN,72,207,R,147,63,24,33,57,106,-7,4,0,2,2,2,-1,no
24,EURO,75,207,C,?,55,10,13,23,20,-5,4,2,3,5,0,3,no
18,CAN,72,185,C,?,72,9,13,22,51,-10,7,1,0,1,13,-4,no
18,CAN,72,187,F,42,66,10,32,42,14,23,12,2,2,4,2,4,no
18,CAN,72,179,L,?,58,7,10,17,48,10,15,1,1,2,8,0,no
18,EURO,69,176,W,87,51,39,25,64,12,-1,?,?,?,?,?,?,no
19,USA,77,229,R,?,55,23,24,47,83,0,6,1,1,2,4,0,no
19,CAN,75,225,D,137,62,12,19,31,140,-18,5,2,0,2,14,-9,no
18,EURO,73,198,D,?,55,9,6,15,44,0,?,?,?,?,?,?,no
20,CAN,72,192,R,?,68,44,37,81,66,32,12,12,5,17,12,14,no
18,EURO,72,192,L,32,58,22,17,39,84,0,?,?,?,?,?,?,no
19,EURO,75,196,R,93,37,10,12,22,34,0,?,?,?,?,?,?,no
19,EURO,71,183,D,34,73,1,16,17,48,3,5,1,3,4,2,1,no
18,CAN,76,194,R,?,48,1,9,10,66,-2,5,0,0,0,8,-3,no
19,CAN,71,205,D,84,62,2,14,16,71,-22,?,?,?,?,?,?,no
20,EURO,74,214,C,25,51,20,23,43,0,0,?,?,?,?,?,?,no
21,EURO,76,183,R,?,49,13,8,21,38,6,4,0,0,0,2,-2,no
20,CAN,75,236,D,?,66,22,52,74,20,8,14,4,8,12,4,-2,no
19,CAN,71,190,R,?,72,57,43,100,81,26,11,1,4,5,21,-3,no
19,CAN,72,192,R,?,0,0,0,0,0,0,?,?,?,?,?,?,no
19,USA,72,201,C,109,34,6,4,10,60,0,?,?,?,?,?,?,no
21,EURO,74,212,L,?,28,2,2,4,10,1,?,?,?,?,?,?,no
19,EURO,72,218,D,71,74,1,2,3,105,-3,3,0,0,0,0,0,no
18,EURO,72,209,C,54,9,3,2,5,6,1,1,0,0,0,0,0,no
18,EURO,77,220,D,?,56,1,9,10,66,0,?,?,?,?,?,?,no
18,CAN,74,209,D,44,65,2,15,17,104,0,23,0,1,1,22,0,no
19,EURO,72,187,R,91,49,19,16,35,22,0,2,0,0,0,0,0,no
18,EURO,72,194,C,51,26,10,13,23,12,0,?,?,?,?,?,?,no
18,EURO,78,209,L,73,42,12,3,15,28,0,?,?,?,?,?,?,no
18,CAN,73,198,C,46,70,16,29,45,57,3,23,2,6,8,18,1,no
19,USA,74,201,L,91,33,6,10,16,6,2,?,?,?,?,?,?,no
18,CAN,76,238,D,74,48,3,6,9,86,-9,?,?,?,?,?,?,no
18,CAN,71,194,C,?,48,17,12,29,8,14,5,1,0,1,4,-2,no
18,EURO,71,194,L,131,71,8,29,37,98,2,12,0,1,1,8,-2,no
19,USA,75,220,R,169,27,20,17,37,20,0,?,?,?,?,?,?,no
22,EURO,75,220,D,?,55,0,5,5,89,-1,?,?,?,?,?,?,no
20,USA,74,225,D,?,35,4,8,12,12,0,?,?,?,?,?,?,no
19,EURO,75,207,D,?,39,2,9,11,15,0,?,?,?,?,?,?,no
19,EURO,72,198,L,?,34,13,14,27,38,0,?,?,?,?,?,?,no
20,EURO,71,196,R,58,44,7,9,16,28,5,?,?,?,?,?,?,no
18,CAN,73,194,L,95,52,8,15,23,48,12,12,0,4,4,13,0,no
21,EURO,74,203,F,?,48,21,16,37,24,0,?,?,?,?,?,?,no
19,USA,73,203,C,158,38,4,6,10,30,-4,?,?,?,?,?,?,no
19,EURO,75,209,L,?,34,11,10,21,39,-3,?,?,?,?,?,?,no
19,USA,79,218,C,187,34,10,11,21,20,0,?,?,?,?,?,?,no
20,EURO,71,172,C,?,48,12,14,26,20,-5,?,?,?,?,?,?,no
20,CAN,76,207,D,?,26,0,1,1,12,0,?,?,?,?,?,?,no
20,CAN,72,190,C,?,29,5,4,9,12,0,?,?,?,?,?,?,no
19,EURO,77,223,D,?,41,3,5,8,85,-6,?,?,?,?,?,?,no
18,EURO,73,216,D,?,21,2,12,14,22,12,?,?,?,?,?,?,no
18,CAN,73,190,R,64,68,15,24,39,26,-1,4,0,1,1,4,-1,no
18,CAN,76,214,R,96,72,13,14,27,76,-18,4,0,1,1,11,-5,no
20,USA,72,201,D,?,33,6,17,23,34,0,?,?,?,?,?,?,no
19,USA,72,201,D,?,0,0,0,0,0,0,?,?,?,?,?,?,no
22,EURO,72,176,C,?,64,16,17,33,18,0,?,?,?,?,?,?,no
20,CAN,70,174,C,?,66,62,73,135,127,44,11,6,7,13,14,-3,no
19,CAN,72,201,D,157,72,13,49,62,87,27,12,2,10,12,22,5,no
20,EURO,71,203,D,?,50,2,4,6,16,1,?,?,?,?,?,?,no
18,EURO,76,220,C,14,18,4,5,9,18,0,?,?,?,?,?,?,no
18,EURO,75,223,D,5,49,6,8,14,104,2,?,?,?,?,?,?,no
18,EURO,74,225,R,8,38,22,9,31,26,11,?,?,?,?,?,?,no
18,EURO,72,209,R,21,61,18,18,36,103,1,7,1,1,2,22,0,no
18,EURO,72,203,L,16,68,13,18,31,84,5,10,5,4,9,10,0,no
18,EURO,74,247,D,13,38,6,6,12,61,1,11,1,3,4,6,0,no
18,EURO,78,265,D,17,68,0,15,15,208,24,23,0,3,3,29,10,no
20,CAN,72,185,D,?,66,6,46,52,34,-2,22,1,14,15,24,7,no
18,EURO,72,207,C,12,38,8,9,17,34,12,?,?,?,?,?,?,no
18,EURO,71,216,R,23,45,14,12,26,105,6,?,?,?,?,?,?,no
19,EURO,75,190,D,28,39,1,6,7,82,0,?,?,?,?,?,?,no
18,EURO,74,209,D,24,4,0,0,0,6,0,?,?,?,?,?,?,no
18,EURO,74,201,D,38,75,9,27,36,70,7,?,?,?,?,?,?,no
18,EURO,75,225,D,31,44,3,6,9,44,3,2,0,0,0,0,0,no
20,EURO,75,220,L,41,51,56,38,94,58,12,?,?,?,?,?,?,no
18,CAN,72,179,F,42,72,30,30,60,101,-4,4,2,2,4,4,-3,no
18,CAN,72,187,C,23,53,26,43,69,61,13,5,0,0,0,15,0,no
18,EURO,76,203,D,71,55,6,6,12,94,2,8,0,1,1,10,0,no
19,USA,75,212,F,61,0,0,0,0,0,0,?,?,?,?,?,?,no
18,CAN,75,234,D,83,58,0,8,8,81,-3,6,0,0,0,8,0,no
19,CAN,75,223,R,84,51,5,8,13,166,-2,2,0,0,0,2,-1,no
20,EURO,75,223,D,28,34,4,4,8,24,7,7,0,1,1,2,0,no
18,EURO,75,201,C,25,60,9,12,21,12,6,7,0,1,1,4,0,no
20,EURO,70,185,C,22,35,4,6,10,12,6,16,1,1,2,8,0,no
18,EURO,75,194,L,38,37,5,3,8,16,0,?,?,?,?,?,?,no
19,USA,74,194,D,129,60,8,27,35,78,16,25,4,7,11,17,8,no
19,EURO,73,174,R,51,35,6,1,7,12,0,4,0,0,0,0,0,no
19,CAN,74,212,D,122,32,5,9,14,40,0,?,?,?,?,?,?,no
19,USA,72,196,C,50,33,12,18,30,26,0,?,?,?,?,?,?,no
18,CAN,73,201,R,59,54,20,29,49,73,13,11,4,1,5,28,-1,no
19,EURO,72,190,D,72,81,12,11,23,66,-10,3,0,0,0,0,-3,no
19,USA,75,196,F,22,33,6,12,18,22,-2,?,?,?,?,?,?,no
18,EURO,73,198,C,?,49,20,12,32,42,0,?,?,?,?,?,?,no
18,CAN,75,205,D,45,67,3,11,14,157,-4,7,0,1,1,17,-2,no
19,CAN,73,194,C,37,69,49,76,125,97,3,6,6,3,9,28,-1,no
18,CAN,72,203,L,93,70,20,27,47,96,-26,?,?,?,?,?,?,no
18,EURO,72,198,C,32,59,16,24,40,60,2,7,1,1,2,28,0,no
18,USA,74,198,D,55,50,1,15,16,123,11,23,0,5,5,34,9,no
19,EURO,75,216,D,77,46,4,3,7,46,11,11,0,1,1,4,0,no
18,CAN,74,194,L,32,66,21,25,46,46,-69,?,?,?,?,?,?,no
18,CAN,75,214,C,138,69,8,15,23,18,0,?,?,?,?,?,?,no
18,CAN,74,201,D,49,58,5,25,30,64,-18,3,0,0,0,4,3,no
20,USA,73,196,D,126,50,5,11,16,106,0,?,?,?,?,?,?,no
18,EURO,73,198,D,?,35,1,1,2,57,0,?,?,?,?,?,?,no
18,CAN,76,196,D,69,51,1,6,7,112,-3,?,?,?,?,?,?,no
18,EURO,74,201,C,42,59,11,13,24,89,2,8,2,1,3,6,0,no
18,EURO,70,198,R,?,21,4,5,9,79,0,?,?,?,?,?,?,no
18,EURO,74,190,D,34,37,4,7,11,18,2,?,?,?,?,?,?,no
19,USA,70,174,C,110,53,36,30,66,95,0,8,2,2,4,31,0,no
19,CAN,72,194,R,91,57,17,20,37,24,-5,6,2,1,3,6,1,no
21,EURO,74,203,D,?,49,4,12,16,77,-4,8,1,0,1,2,0,no
22,EURO,73,203,C,?,43,20,10,30,66,7,5,1,1,2,4,0,no
18,CAN,77,212,D,114,55,5,10,15,24,8,7,0,1,1,4,-2,no
23,EURO,74,225,L,?,27,5,7,12,16,0,5,3,1,4,2,0,no
19,EURO,74,190,C,136,59,35,75,110,97,0,?,?,?,?,?,?,no
18,CAN,77,216,D,51,61,3,15,18,59,32,13,0,2,2,15,8,no
19,EURO,71,176,C,74,58,19,43,62,131,5,11,0,5,5,18,-6,no
19,EURO,74,198,D,?,44,3,8,11,20,9,7,0,0,0,2,0,no
