id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
8467545,Michael Ryder,0.0,CAN,0.42857142857142855,0.375,R,1998,216,999999999,0.7666666666666667,0.4657534246575342,0.27450980392156865,0.3924050632911392,0.08559498956158663,0.552,0.3333333333333333,0.19047619047619047,0.07692307692307693,0.13043478260869565,0.03333333333333333,0.375,81,1296,yes
8467550,David Moravec,0.5,EURO,0.35714285714285715,0.18269230769230768,R,1998,218,999999999,0.6333333333333333,0.5205479452054794,0.2647058823529412,0.41139240506329117,0.06263048016701461,0.552,0.36666666666666664,0.2857142857142857,0.34615384615384615,0.32608695652173914,0.06666666666666667,0.375,1,15,yes
8467553,Michael Farrell,0.14285714285714285,USA,0.35714285714285715,0.5673076923076923,R,1998,220,999999999,0.36666666666666664,0.0684931506849315,0.0784313725490196,0.08227848101265822,0.06680584551148225,0.552,0.0,0.0,0.0,0.0,0.0,0.375,13,61,yes
8467558,Bruno St. Jacques,0.0,CAN,0.5,0.47115384615384615,D,1998,253,999999999,0.7,0.0136986301369863,0.10784313725490197,0.0759493670886076,0.29227557411273486,0.552,0.0,0.0,0.0,0.0,0.0,0.375,66,927,yes
8467564,Matt Hussey,0.07142857142857142,USA,0.5,0.49038461538461536,C,1998,254,999999999,0.28888888888888886,0.3561643835616438,0.22549019607843138,0.310126582278481,0.04175365344467641,0.552,0.0,0.0,0.0,0.0,0.0,0.375,3,41,yes
8467565,John Pohl,0.07142857142857142,USA,0.42857142857142855,0.33653846153846156,C,1998,255,999999999,0.4222222222222222,0.4794520547945205,0.7843137254901961,0.7278481012658228,0.05845511482254697,0.552,0.0,0.0,0.0,0.0,0.0,0.375,1,8,yes
8467594,Jeff MacMillan,0.14285714285714285,CAN,0.5714285714285714,0.47115384615384615,D,1999,215,999999999,0.7222222222222222,0.0410958904109589,0.17647058823529413,0.13291139240506328,0.22755741127348644,0.552,0.5,0.14285714285714285,0.23076923076923078,0.1956521739130435,0.23333333333333334,0.375,4,33,yes
8467904,Charlie Stephens,0.14285714285714285,CAN,0.6428571428571429,0.6153846153846154,C,2001,196,999999999,0.7444444444444445,0.5205479452054794,0.37254901960784315,0.4810126582278481,0.11064718162839249,0.544,0.13333333333333333,0.0,0.07692307692307693,0.043478260869565216,0.016666666666666666,0.375,8,48,yes
8467937,Michael Zigomanis,0.14285714285714285,CAN,0.35714285714285715,0.375,C,2001,46,999999999,0.6555555555555556,0.5753424657534246,0.38235294117647056,0.5126582278481012,0.0918580375782881,0.72,0.0,0.0,0.0,0.0,0.0,0.375,167,2068,yes
8467949,Frantisek Kaberle,0.5714285714285714,EURO,0.35714285714285715,0.27884615384615385,D,1999,76,999999999,0.6333333333333333,0.2465753424657534,0.20588235294117646,0.2468354430379747,0.008350730688935281,0.552,0.43333333333333335,0.09523809523809523,0.19230769230769232,0.15217391304347827,0.06666666666666667,0.375,386,8232,yes
8467956,Niclas Havelid,0.5714285714285714,EURO,0.35714285714285715,0.375,D,1999,83,999999999,0.5555555555555556,0.136986301369863,0.11764705882352941,0.13924050632911392,0.08768267223382047,0.552,0.26666666666666666,0.0,0.15384615384615385,0.08695652173913043,0.08333333333333333,0.375,392,8503,yes
8467962,Kyle Wanvig,0.14285714285714285,CAN,0.5,0.47115384615384615,R,2001,36,999999999,0.8111111111111111,0.7808219178082192,0.49019607843137253,0.6772151898734177,0.430062630480167,0.92,0.8666666666666667,0.5714285714285714,0.6153846153846154,0.6086956521739131,0.425,0.375,75,783,yes
8467969,Mathias Tjarnqvist,0.14285714285714285,EURO,0.5,0.33653846153846156,L,1999,96,999999999,0.4444444444444444,0.2602739726027397,0.19607843137254902,0.2468354430379747,0.10020876826722339,0.552,0.16666666666666666,0.19047619047619047,0.038461538461538464,0.10869565217391304,0.03333333333333333,0.375,51,444,yes
8468000,Kaspars Astashenko,0.42857142857142855,EURO,0.42857142857142855,0.4326923076923077,D,1999,127,999999999,0.8444444444444444,0.0410958904109589,0.11764705882352941,0.0949367088607595,0.35490605427974947,0.552,0.1,0.0,0.07692307692307693,0.043478260869565216,0.05,0.375,23,237,yes
8468047,Damian Surma,0.0,USA,0.21428571428571427,0.375,L,1999,174,999999999,0.7222222222222222,0.2328767123287671,0.14705882352941177,0.20253164556962025,0.12943632567849686,0.552,0.36666666666666664,0.14285714285714285,0.23076923076923078,0.1956521739130435,0.125,0.375,2,16,yes
8468055,Fedor Fedorov,0.14285714285714285,EURO,0.6428571428571429,0.7596153846153846,L,2001,66,999999999,0.7444444444444445,0.4520547945205479,0.4411764705882353,0.4936708860759494,0.1837160751565762,0.752,0.4,0.19047619047619047,0.23076923076923078,0.21739130434782608,0.3,0.375,18,181,yes
8468094,Colin Hemingway,0.07142857142857142,CAN,0.35714285714285715,0.08653846153846154,L,1999,221,999999999,0.6555555555555556,0.547945205479452,0.6274509803921569,0.6582278481012658,0.10855949895615867,0.552,0.0,0.0,0.0,0.0,0.0,0.375,3,22,yes
8468101,Radek Martinek,0.35714285714285715,EURO,0.35714285714285715,0.4230769230769231,D,1999,228,999999999,0.5777777777777777,0.1643835616438356,0.12745098039215685,0.15822784810126583,0.10438413361169102,0.552,0.1,0.0,0.07692307692307693,0.043478260869565216,0.0,0.375,210,3587,yes
8468103,Petr Tenkrat,0.2857142857142857,EURO,0.35714285714285715,0.38461538461538464,R,1999,230,999999999,0.5555555555555556,0.2876712328767123,0.13725490196078433,0.22151898734177214,0.06680584551148225,0.552,0.0,0.0,0.0,0.0,0.0,0.375,113,1390,yes
8468105,Alexander Khavanov,0.6428571428571429,EURO,0.5,0.4230769230769231,D,1999,232,999999999,0.5666666666666667,0.0273972602739726,0.0784313725490196,0.06329113924050633,0.04592901878914405,0.552,0.7333333333333333,0.047619047619047616,0.19230769230769232,0.13043478260869565,0.325,0.375,348,6741,yes
