id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
9487,"John Lammers",18,Canada,CAN,70,183,L,2004,86,48,69,24,24,48,31,6,0,0,0,0,0,0,0,0,no
12277,"Luke Lynes",19,USA,USA,73,216,C,2006,122,48,65,34,28,62,61,10,11,2,6,8,10,-6,0,0,no
13659,"Stanislav Balan",18,"Czech Rep.",EURO,74,176,C,2004,209,48,80,25,39,64,128,5,5,2,0,2,31,0,0,0,no
14684,"Tim Kunes",18,USA,USA,72,187,D,2005,145,48,50,12,28,40,51,0,0,0,0,0,0,0,0,0,no
8474145,"Robert Bortuzzo",18,CAN,CAN,76,221,D,2007,78,48,63,2,12,14,67,15,9,1,2,3,8,-1,75,1099,yes
8474597,"Cody Goloubef",19,CAN,CAN,73,200,D,2008,37,48,40,4,6,10,36,0,0,0,0,0,0,0,53,778,yes
12171,"Matt Fillier",19,Canada,CAN,72,174,L,2007,188,49,63,18,18,36,118,-28,4,0,1,1,2,0,0,0,no
15653,"Jani Lajunen",18,Finland,EURO,74,214,C,2008,201,49,46,8,12,20,24,12,3,0,0,0,0,-2,0,0,no
8471392,"Roman Polak",18,CZE,EURO,74,235,D,2004,180,49,59,4,8,12,56,0,0,0,0,0,0,0,227,4468,yes
8471718,"Marc-Andre Cliche",18,CAN,CAN,72,202,C,2005,56,49,19,4,4,8,8,1,0,0,0,0,0,0,1,7,yes
8474629,"Shawn Lalonde",18,CAN,CAN,73,204,D,2008,68,49,66,9,22,31,67,28,25,2,10,12,35,7,1,15,yes
4407,"Mario Kempe",19,Sweden,EURO,72,185,R,2007,122,50,62,23,19,42,51,-19,4,0,0,0,2,-2,0,0,no
14866,"Aaron Marvin",18,USA,USA,74,192,C,2006,89,50,23,9,21,30,0,0,0,0,0,0,0,0,0,0,no
19044,"Matt Delahey",19,Canada,CAN,73,212,D,2008,112,50,68,3,16,19,68,7,6,0,3,3,6,-9,0,0,no
41103,"Valeri Klimov",18,Russia,EURO,75,227,D,2004,282,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
8471748,"Mark Fraser",19,CAN,CAN,76,220,D,2005,84,50,58,0,8,8,96,3,15,0,3,3,26,-3,98,1199,yes
2018,"David Fredriksson",19,Sweden,EURO,76,238,L,2004,211,51,27,9,3,12,44,0,8,1,0,1,2,0,0,0,no
11058,"Mitch Fadden",19,Canada,CAN,72,201,C,2007,107,51,71,36,48,84,54,9,0,0,0,0,0,0,0,0,no
