@relation 'AHL_NHL_BN_norm-weka.filters.unsupervised.attribute.Remove-R2-10,12,17-20'

@attribute AHL_GP numeric
@attribute AHL_passes numeric
@attribute AHL_ze_controlled_entry numeric
@attribute AHL_ze_uncontrolled_entry numeric
@attribute AHL_ze_controlled_exit numeric
@attribute AHL_ze_uncontrolled_exit numeric
@attribute NHL_GP numeric
@attribute NHL_G numeric
@attribute NHL_A numeric
@attribute NHL_P numeric
@attribute NHL_PlusMinus numeric
@attribute NHL_PIM numeric
@attribute NHL_PointPerGame numeric
@attribute NHL_PPG numeric
@attribute NHL_PPP numeric
@attribute NHL_SHG numeric
@attribute NHL_SHP numeric
@attribute NHL_GWG numeric
@attribute NHL_OTG numeric
@attribute NHL_S numeric
@attribute NHL_ShootingPercentage numeric
@attribute NHL_TOIPerGame_sec numeric
@attribute NHL_ShiftsPerGame numeric
@attribute NHL_FaceoffWinPercentage numeric

@data
0.46875,0.133401,0.330275,0.465649,0.219653,0.286957,0.222222,0.028571,0.025,0.030303,0.538462,0.030172,0.11,0,0,0,0,0,0,0.111588,0.038,0.301967,0.266212,0
0.46875,0.133401,0.330275,0.465649,0.219653,0.286957,0.222222,0.028571,0.025,0.030303,0.538462,0.030172,0.11,0,0,0,0,0,0,0.111588,0.038,0.301967,0.266212,0
0,0.044807,0.045872,0.007634,0.017341,0.008696,0.592593,0.142857,0.2,0.19697,0.384615,0.051724,0.27,0,0.115385,0,0,0.111111,0,0.283262,0.076,0.519247,0.474403,0.429
0,0.044807,0.045872,0.007634,0.017341,0.008696,0.592593,0.142857,0.2,0.19697,0.384615,0.051724,0.27,0,0.115385,0,0,0.111111,0,0.283262,0.076,0.519247,0.474403,0.429
0.84375,0.235234,0.284404,0.419847,0.236994,0.33913,0.012346,0,0,0,0.557692,0.021552,0,0,0,0,0,0,0,0,0,0.317365,0.249147,0.313
0.84375,0.235234,0.284404,0.419847,0.236994,0.33913,0.049383,0,0,0,0.576923,0.008621,0,0,0,0,0,0,0,0.012876,0,0.196749,0.194539,0.5
0.71875,0.51222,0.211009,0.679389,0.786127,0.8,0.049383,0,0.025,0.015152,0.596154,0.008621,0.2,0,0,0,0,0,0,0.012876,0,0.552609,0.433447,0
0.71875,0.51222,0.211009,0.679389,0.786127,0.8,0.098765,0,0.05,0.030303,0.519231,0.017241,0.22,0,0,0,0,0,0,0.034335,0,0.799829,0.764505,0
0.71875,0.51222,0.211009,0.679389,0.786127,0.8,0.061728,0,0,0,0.557692,0,0,0,0,0,0,0,0,0.012876,0,0.765612,0.699659,0
0.875,0.219959,0.275229,0.480916,0.248555,0.234783,0.024691,0,0,0,0.5,0.017241,0,0,0,0,0,0,0,0.030043,0,0.410607,0.375427,0
0.71875,0.51222,0.211009,0.679389,0.786127,0.8,0.098765,0,0.05,0.030303,0.519231,0.017241,0.22,0,0,0,0,0,0,0.034335,0,0.799829,0.764505,0
0.71875,0.51222,0.211009,0.679389,0.786127,0.8,0.061728,0,0,0,0.557692,0,0,0,0,0,0,0,0,0.012876,0,0.765612,0.699659,0
0.875,0.219959,0.275229,0.480916,0.248555,0.234783,0.024691,0,0,0,0.5,0.017241,0,0,0,0,0,0,0,0.030043,0,0.410607,0.375427,0
0.75,0.357434,0.46789,0.320611,0.294798,0.182609,0.074074,0.028571,0.025,0.030303,0.576923,0.008621,0.29,0,0,0,0,0,0,0.042918,0.1,0.469632,0.416382,0
0.6875,0.219959,0.449541,0.274809,0.346821,0.182609,0.271605,0.028571,0.025,0.030303,0.442308,0.116379,0.09,0,0,0,0,0,0,0.124464,0.034,0.510693,0.430034,0.425
0.75,0.357434,0.46789,0.320611,0.294798,0.182609,0.111111,0,0.025,0.015152,0.480769,0.017241,0.1,0,0,0,0,0,0,0.038627,0,0.520958,0.412969,0.511
