#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
1,Justin Feser(C/LW),Tri-City Americans,72,44,62,106,1.47,57,20
2,Curtis Valk(C),Medicine Hat Tigers,71,46,45,91,1.28,54,-6
3,Cody Sylvester(C/LW),Calgary Hitmen,68,41,49,90,1.32,49,27
4,Dylan Wruck(LW/C),Edmonton Oil Kings,68,22,63,85,1.25,14,23
5,Lane Scheidl(LW/D),Regina Pats,72,41,39,80,1.11,62,-8
6,Mitch Holmberg(RW),Spokane Chiefs,66,39,41,80,1.21,22,16
7,Brady Brassart(C/RW),Calgary Hitmen,65,35,43,78,1.2,88,40
8,Todd Fiddler(LW),Spokane Chiefs,70,42,35,77,1.1,39,20
9,Brenden Walker(RW),Saskatoon Blades,72,33,43,76,1.06,60,23
10,Sam Fioretti(C),Moose Jaw Warriors,72,32,43,75,1.04,69,-22
11,Elgin Pearce(C/D),totals,71,29,46,75,1.06,66,0
,,Kootenay Ice,3,0,1,1,0.33,0,-1
,,Medicine Hat Tigers,68,29,45,74,1.09,66,1
12,T.J. Foster(C/RW),Edmonton Oil Kings,69,27,47,74,1.07,22,34
13,Zach Franko(LW),Kelowna Rockets,69,24,48,72,1.04,11,20
14,Mike Aviani(C),Spokane Chiefs,71,30,38,68,0.96,90,37
15,Malte Strömwall(RW),Tri-City Americans,66,21,45,66,1,36,9
16,Alexander Gogolev(LW),Victoria Royals,49,20,45,65,1.33,36,7
17,Trevor Cheek(LW/C),totals,71,32,28,60,0.85,57,12
,,Calgary Hitmen,1,0,1,1,1,0,1
,,Vancouver Giants,39,18,14,32,0.82,35,-13
,,Edmonton Oil Kings,31,14,13,27,0.87,22,24
18,Brandon Magee(C/RW),Victoria Royals,72,30,30,60,0.83,79,-6
19,Dylan Walchuk(F),Spokane Chiefs,70,20,40,60,0.86,60,16
20,Rhyse Dieno(RW/C),Red Deer Rebels,48,27,32,59,1.23,8,17
21,Connor Rankin(C/LW),Tri-City Americans,71,32,26,58,0.82,34,9
22,Roberts Lipsbergs(W/C),Seattle Thunderbirds,64,30,28,58,0.91,24,-11
23,Turner Elson(LW/C),Red Deer Rebels,64,26,31,57,0.89,60,26
24,Anthony Bardaro(C),Prince Albert Raiders,70,25,32,57,0.81,48,-12
25,Tyson Baillie(C/RW),Kelowna Rockets,67,26,30,56,0.84,53,36
26,Dakota Conroy(RW),totals,68,21,35,56,0.82,42,11
,,Victoria Royals,1,0,0,0,0,0,0
,,Prince Albert Raiders,67,21,35,56,0.84,42,11
27,Russell Maxwell(C),Lethbridge Hurricanes,66,22,33,55,0.83,91,-3
28,Cain Franson(LW/C),Vancouver Giants,60,29,25,54,0.9,44,-16
29,Connor Honey(RW),Seattle Thunderbirds,57,16,38,54,0.95,58,-9
30,Jamie Crooks(LW),Victoria Royals,69,33,20,53,0.77,26,-15
31,Alessio Bertaggia(LW/RW),totals,46,29,24,53,1.15,34,11
,,Brandon Wheat Kings,30,16,18,34,1.13,30,2
,,Spokane Chiefs,16,13,6,19,1.19,4,9
32,Ben Walker(C/RW),Victoria Royals,59,19,33,52,0.88,54,18
33,Boston Leier(LW),Medicine Hat Tigers,72,18,34,52,0.72,56,3
34,Joshua Winquist(LW),Everett Silvertips,51,24,27,51,1,61,7
35,Nathan Burns(LW/C),totals,70,20,31,51,0.73,63,-3
,,Vancouver Giants,15,6,3,9,0.6,18,-4
,,Saskatoon Blades,55,14,28,42,0.76,45,1
36,Brendan Rouse(C),totals,71,14,37,51,0.72,22,-14
,,Seattle Thunderbirds,42,6,25,31,0.74,14,4
,,Vancouver Giants,29,8,12,20,0.69,8,-18
37,Reid Gow(D),Spokane Chiefs,64,7,44,51,0.8,80,29
38,Jaimen Yakubowski(LW),Lethbridge Hurricanes,66,32,18,50,0.76,126,-6
39,Luke Lockhart(RW),Seattle Thunderbirds,72,25,24,49,0.68,19,-29
40,Alex Roach(D),Calgary Hitmen,62,15,34,49,0.79,72,42
41,Brock Montgomery(RW),Kootenay Ice,58,31,17,48,0.83,76,11
42,Landon Oslanski(D),Everett Silvertips,72,17,31,48,0.67,96,-22
43,Seth Swenson(RW),Seattle Thunderbirds,72,18,28,46,0.64,39,-6
44,Luke Philp(C),Kootenay Ice,66,20,25,45,0.68,24,3
45,Tim McGauley(C),Brandon Wheat Kings,66,17,28,45,0.68,6,-8
46,Zane Jones(LW),Calgary Hitmen,69,21,23,44,0.64,51,15
47,Parker Bowles(LW/C),Tri-City Americans,71,21,23,44,0.62,53,4
101,Sam McKechnie(RW/C),Lethbridge Hurricanes,72,26,17,43,0.6,44,-8
102,Logan McVeigh(C),totals,73,19,24,43,0.59,51,2
,,Prince Albert Raiders,38,9,14,23,0.61,23,3
,,Medicine Hat Tigers,35,10,10,20,0.57,28,-1
103,Dyson Stevenson(W/C),Regina Pats,62,16,27,43,0.69,120,-9
104,Matthew Pufahl(D),Saskatoon Blades,69,6,37,43,0.62,21,11
105,Justin Kirsch(LW),Moose Jaw Warriors,65,23,19,42,0.65,23,-19
106,Cody Fowlie(RW),totals,66,17,25,42,0.64,50,33
,,Everett Silvertips,7,0,2,2,0.29,12,-2
,,Kelowna Rockets,59,17,23,40,0.68,38,35
107,Taylor Peters(C/LW),Portland Winterhawks,68,15,27,42,0.62,61,27
108,Brady Ramsay(RW/C),Lethbridge Hurricanes,65,14,28,42,0.65,135,-7
109,Dylan Busenius(D),totals,71,8,34,42,0.59,45,-32
,,Medicine Hat Tigers,37,6,20,26,0.7,27,-22
,,Prince Albert Raiders,34,2,14,16,0.47,18,-10
110,Cody Corbett(D),Edmonton Oil Kings,71,7,35,42,0.59,48,38
111,Collin Valcourt(LW),totals,73,24,17,41,0.56,46,75
,,Saskatoon Blades,32,11,7,18,0.56,45,5
,,Spokane Chiefs,41,13,10,23,0.56,1,70
112,Colby Cave(C/LW),Swift Current Broncos,72,21,20,41,0.57,39,1
113,Jesse Mychan(LW),Tri-City Americans,60,19,22,41,0.68,111,-4
114,Blake Gal(RW),Spokane Chiefs,57,17,24,41,0.72,31,26
115,Stephane Legault(LW),Edmonton Oil Kings,57,12,29,41,0.72,39,21
116,Brett Cote(D),Victoria Royals,72,8,33,41,0.57,35,-5
117,Miles Koules(C/RW),Medicine Hat Tigers,69,19,21,40,0.58,18,-14
118,Ryon Moser(LW),Swift Current Broncos,72,18,22,40,0.56,13,11
119,Reid Petryk(C/RW),Everett Silvertips,70,16,24,40,0.57,61,-7
120,Manraj Singh Hayer(C),Everett Silvertips,61,15,25,40,0.66,40,-7
121,Riley Sheen(LW/D),Seattle Thunderbirds,71,13,27,40,0.56,30,-36
122,Dylan Bredo(D/C),Medicine Hat Tigers,72,11,29,40,0.56,28,-22
123,Tyson Ness(LW),Red Deer Rebels,72,19,20,39,0.54,28,-4
124,Trevor Cox(LW),Medicine Hat Tigers,72,16,23,39,0.54,26,-5
125,Adam Kambeitz(LW),totals,72,14,25,39,0.54,83,-22
,,Red Deer Rebels,9,0,4,4,0.44,10,-1
,,Saskatoon Blades,33,9,12,21,0.64,39,-4
,,Seattle Thunderbirds,30,5,9,14,0.47,34,-17
126,Mitch Topping(D),Tri-City Americans,62,13,26,39,0.63,39,-13
127,Brooks Maxwell(RW/D),Red Deer Rebels,71,10,29,39,0.55,24,8
128,Joel Hamilton(C/LW),Red Deer Rebels,70,9,30,39,0.56,45,1
129,Pavel Padakin(RW),Calgary Hitmen,70,22,16,38,0.54,85,13
130,Jamal Watson(LW/RW),Lethbridge Hurricanes,72,20,18,38,0.53,36,3
131,Spencer Humphries(D),Calgary Hitmen,70,5,33,38,0.54,86,30
132,Davis Vandane(D),totals,66,12,25,37,0.56,34,5
,,Spokane Chiefs,1,0,1,1,1,0,0
,,Prince Albert Raiders,65,12,24,36,0.55,34,5
133,Jagger Dirk(D),Kootenay Ice,72,3,34,37,0.51,87,-6
134,Levi Bews(RW),Swift Current Broncos,60,21,15,36,0.6,57,16
135,Kohl Bauml(C),Everett Silvertips,66,21,15,36,0.55,20,-14
136,Brian Williams(C),Tri-City Americans,66,20,16,36,0.55,43,0
137,Chase Witala(LW/C),Prince George Cougars,57,15,21,36,0.63,25,-22
138,Tanner Eberle(LW/C),Moose Jaw Warriors,65,15,21,36,0.55,77,-10
139,Matt Bellerive(RW),Red Deer Rebels,69,15,21,36,0.52,49,-6
140,Macoy Erkamps(D),Lethbridge Hurricanes,72,5,30,35,0.49,65,-5
141,Levi Cable(LW),Kootenay Ice,67,14,20,34,0.51,7,11
142,Nick Buonassisi(C),Brandon Wheat Kings,69,14,20,34,0.49,69,-28
143,Erik Benoit(C/LW),totals,64,12,22,34,0.53,19,3
,,Kootenay Ice,33,8,10,18,0.55,15,-3
