#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
448,Chad Labelle(C),Medicine Hat Tigers,11,2,1,3,0.27,0,3
449,Austin Adam(D),Everett Silvertips,46,2,1,3,0.07,4,-9
450,Matt Waseylenko(D),Prince Albert Raiders,4,1,2,3,0.75,0,-1
451,Zach Hodder(D),totals,12,1,2,3,0.25,4,-3
,,Saskatoon Blades,11,1,2,3,0.27,4,-4
,,Prince Albert Raiders,1,0,0,0,0,0,1
452,Scott Cooke(RW),Vancouver Giants,34,1,2,3,0.09,64,-3
453,Albin Blomqvist(D/F),Lethbridge Hurricanes,38,1,2,3,0.08,74,-8
454,Brett Brooks(LW/C),Moose Jaw Warriors,38,1,2,3,0.08,10,-4
455,Tyler King(D),Spokane Chiefs,42,1,2,3,0.07,16,0
456,Kayle Doetzel(D),Red Deer Rebels,43,1,2,3,0.07,33,-22
457,Riley Sheen(LW/D),Medicine Hat Tigers,46,1,2,3,0.07,13,-4
458,Aaron Borejko(D),Red Deer Rebels,32,0,3,3,0.09,22,1
459,Tommy Stipancik(D),Saskatoon Blades,34,0,3,3,0.09,13,-1
460,Eric Walker(D),totals,39,0,3,3,0.08,46,-5
,,Vancouver Giants,16,0,2,2,0.13,18,0
,,Swift Current Broncos,23,0,1,1,0.04,28,-5
461,Layne Viveiros(D),Portland Winterhawks,39,0,3,3,0.08,11,4
462,Michael Mylchreest(D),Prince George Cougars,64,0,3,3,0.05,4,-13
463,Mackenzie Royer(LW),Tri-City Americans,3,1,1,2,0.67,4,1
464,Kevin Pochuk(D),Red Deer Rebels,8,1,1,2,0.25,2,-1
465,Brock Hirsche(C),Prince George Cougars,8,1,1,2,0.25,7,0
466,Luke Philp(C),Kootenay Ice,17,1,1,2,0.12,2,-3
467,Dylan Kuczek(D),Brandon Wheat Kings,33,1,1,2,0.06,27,-5
468,Riley Guenther(D),totals,38,1,1,2,0.05,30,-14
,,Tri-City Americans,10,0,1,1,0.1,6,0
,,Prince Albert Raiders,28,1,0,1,0.04,24,-14
469,Lucas Nickles(LW),Tri-City Americans,44,1,1,2,0.05,32,-7
470,Greg Lamoureux(RW),Vancouver Giants,7,0,2,2,0.29,0,-4
471,Scott Feser(LW),Red Deer Rebels,9,0,2,2,0.22,0,2
472,Landon Peel(D),Regina Pats,19,0,2,2,0.11,13,-5
473,Nils Moser(RW),Regina Pats,23,0,2,2,0.09,15,-5
474,Carson Samoridny(RW),Everett Silvertips,33,0,2,2,0.06,15,-5
475,Taylor Crunk(LW),Victoria Royals,39,0,2,2,0.05,22,-13
476,Braiden Doucette(D),Moose Jaw Warriors,46,0,2,2,0.04,7,4
477,Lukas Walter(LW),Tri-City Americans,49,0,2,2,0.04,89,-2
478,Austin Bourhis(LW/D),Prince Albert Raiders,63,0,2,2,0.03,129,-19
479,Taylor Green(D),Seattle Thunderbirds,3,1,0,1,0.33,0,1
480,Jordan Thomson(D),Kamloops Blazers,4,1,0,1,0.25,0,0
481,Dalton Olsen(D),Vancouver Giants,4,1,0,1,0.25,6,-5
482,Ryan Graham(LW),Saskatoon Blades,5,1,0,1,0.2,0,-4
483,John Odgers(LW),Prince George Cougars,8,1,0,1,0.13,18,-1
484,Tyler Giebel(C/RW),totals,9,1,0,1,0.11,2,-3
,,Everett Silvertips,8,0,0,0,0,2,-3
,,Red Deer Rebels,1,1,0,1,1,0,0
485,Brendan Persley(LW/C),Victoria Royals,9,1,0,1,0.11,18,-7
486,Logan Harland(LW/C),Vancouver Giants,10,1,0,1,0.1,2,-1
487,Joey Santucci(RW),Prince Albert Raiders,11,1,0,1,0.09,14,-8
488,Brodyn Nielsen(LW/C),Vancouver Giants,14,1,0,1,0.07,14,-1
489,T.J. Constant(C),Prince Albert Raiders,15,1,0,1,0.07,5,-1
490,Pearce Eviston(RW),Portland Winterhawks,18,1,0,1,0.06,34,-5
491,Luke Mahura(RW/LW),Prince Albert Raiders,39,1,0,1,0.03,6,-11
