#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
240,Brad Deagle(D),Seattle Thunderbirds,67,3,18,21,0.31,65,-14
241,Chase Souto(RW),Kamloops Blazers,57,11,9,20,0.35,62,1
242,Jordan Tkatch(C),Prince George Cougars,63,11,9,20,0.32,29,-12
243,Levi Bews(RW),totals,68,10,10,20,0.29,53,-7
,,Saskatoon Blades,4,0,1,1,0.25,0,1
,,Vancouver Giants,34,3,5,8,0.24,22,-1
,,Swift Current Broncos,30,7,4,11,0.37,31,-7
244,Macoy Erkamps(D),Lethbridge Hurricanes,63,4,16,20,0.32,62,-23
245,Mitch Topping(D),Tri-City Americans,66,4,16,20,0.3,46,11
246,Tyler Yaworski(D),Prince Albert Raiders,71,3,17,20,0.28,188,-19
247,Jesse Mychan(LW),totals,44,10,9,19,0.43,126,1
,,Everett Silvertips,26,3,4,7,0.27,106,-6
,,Tri-City Americans,18,7,5,12,0.67,20,7
248,Brodie Melnychuk(D),Brandon Wheat Kings,59,8,11,19,0.32,31,16
249,Jari Erricson(LW/C),Everett Silvertips,69,6,13,19,0.28,60,-12
250,Dalton Reum(D),Swift Current Broncos,71,6,13,19,0.27,50,-6
251,Dave Sutter(D),Seattle Thunderbirds,66,5,14,19,0.29,40,-36
252,Dakota Conroy(RW),totals,67,11,7,18,0.27,33,-18
,,Brandon Wheat Kings,37,4,4,8,0.22,18,-5
,,Victoria Royals,30,7,3,10,0.33,15,-13
253,Sean Aschim(C),totals,37,9,9,18,0.49,27,2
,,Moose Jaw Warriors,13,4,5,9,0.69,4,2
,,Seattle Thunderbirds,24,5,4,9,0.38,23,0
254,Dominick Favreau(C),Brandon Wheat Kings,43,9,9,18,0.42,19,-6
255,J.T. Barnett(LW),totals,36,8,10,18,0.5,8,-9
,,Kamloops Blazers,16,4,2,6,0.38,2,1
,,Everett Silvertips,20,4,8,12,0.6,6,-10
256,Carter Hansen(D/RW),Moose Jaw Warriors,52,8,10,18,0.35,12,-6
257,Lyndon Martell(F),Regina Pats,53,6,12,18,0.34,26,10
258,Joel Hamilton(C/LW),Red Deer Rebels,44,5,13,18,0.41,26,6
259,Aspen Sterzer(LW),Kamloops Blazers,63,5,13,18,0.29,35,2
260,Alex Roach(D),Calgary Hitmen,61,4,14,18,0.3,78,8
261,Bruno Mráz(C),Brandon Wheat Kings,63,2,16,18,0.29,16,-12
262,Torrin White(RW),Moose Jaw Warriors,62,10,7,17,0.27,16,3
263,Connor Sanvido(RW/C),Seattle Thunderbirds,58,8,9,17,0.29,19,-23
264,Caleb Belter(RW),Prince George Cougars,60,7,10,17,0.28,7,-11
265,Austin Vetterl(RW),Vancouver Giants,60,7,10,17,0.28,27,0
266,Riley Kieser(C),Vancouver Giants,31,6,11,17,0.55,22,8
267,Dominik Bittner(D),Everett Silvertips,68,4,13,17,0.25,65,-3
268,Tyler Alos(C),Seattle Thunderbirds,59,3,14,17,0.29,28,-17
269,Shane Danyluk(C),Prince Albert Raiders,51,7,9,16,0.31,15,-15
270,Jason Swyripa(C),Brandon Wheat Kings,67,6,10,16,0.24,44,-14
271,Colby Cave(C/LW),Swift Current Broncos,70,6,10,16,0.23,36,-20
272,Jesse Lees(D),Kelowna Rockets,49,4,12,16,0.33,20,3
273,Brock Sutherland(D),totals,70,2,14,16,0.23,58,30
,,Tri-City Americans,2,0,0,0,0,2,5
,,Calgary Hitmen,68,2,14,16,0.24,56,25
274,Brady Gaudet(D),Kamloops Blazers,49,1,15,16,0.33,29,-5
301,Jake Mykitiuk(LW),Prince George Cougars,69,6,9,15,0.22,46,-14
302,Anthony Ast(C/RW),Vancouver Giants,42,5,10,15,0.36,19,-13
303,Jordan Wyton(LW),Moose Jaw Warriors,66,4,11,15,0.23,84,-1
304,Mike Forsyth(LW/C),Victoria Royals,72,3,12,15,0.21,22,-30
305,Luke Paulsen(D),Kootenay Ice,47,2,13,15,0.32,18,2
306,Cole Martin(D),Kelowna Rockets,67,1,14,15,0.22,39,-9
307,Trevor Cox(LW),Medicine Hat Tigers,57,10,4,14,0.25,14,5
308,Jordan DePape(RW),Kamloops Blazers,14,6,8,14,1,15,0
309,Matt Bellerive(RW),Vancouver Giants,46,6,8,14,0.3,27,-2
310,Tristan Sieben(LW),Edmonton Oil Kings,34,5,9,14,0.41,32,9
311,Jens Meilleur(RW),Brandon Wheat Kings,56,5,9,14,0.25,45,-15
312,Campbell Elynuik(LW),totals,60,5,9,14,0.23,156,-19
,,Regina Pats,8,1,2,3,0.38,24,0
,,Prince George Cougars,52,4,7,11,0.21,132,-19
313,Trent Ouellette(C),Regina Pats,70,5,9,14,0.2,64,-13
314,Connor Chartier(RW),Spokane Chiefs,60,4,10,14,0.23,21,9
315,Michal Hlinka(C/LW),Prince Albert Raiders,46,3,11,14,0.3,30,-4
316,John Neibrandt(D),Kootenay Ice,69,2,12,14,0.2,41,18
317,Drydn Dow(D),Tri-City Americans,72,2,12,14,0.19,73,24
318,Kevin Smith(D),Kelowna Rockets,27,1,13,14,0.52,16,-2
319,Brett Cote(D),Victoria Royals,65,1,13,14,0.22,12,-31
320,Dylan Busenius(D),Medicine Hat Tigers,72,1,13,14,0.19,44,-10
321,Josh Derko(LW),Swift Current Broncos,63,9,4,13,0.21,100,-19
322,Jesse Forsberg(D),Prince George Cougars,58,6,7,13,0.22,132,-8
323,Kade Pilton(D),Victoria Royals,43,5,8,13,0.3,52,-25
324,Dillon Wagner(RW/C),totals,51,5,8,13,0.25,49,-17
,,Swift Current Broncos,2,0,0,0,0,2,-1
,,Portland Winterhawks,17,3,4,7,0.41,23,0
,,Seattle Thunderbirds,32,2,4,6,0.19,24,-16
325,Michal Plutnar(D),Tri-City Americans,62,4,9,13,0.21,63,5
326,Daniel Asham(C),Brandon Wheat Kings,63,4,9,13,0.21,13,-4
327,Kyle Verdino(D/LW),Seattle Thunderbirds,28,3,10,13,0.46,68,-8
328,Ryan Dech(D),Edmonton Oil Kings,40,3,10,13,0.33,34,17
329,Brandon Underwood(D),Regina Pats,54,3,10,13,0.24,76,6
330,Reid Jackson(D),totals,55,3,10,13,0.24,67,-28
,,Lethbridge Hurricanes,7,0,1,1,0.14,10,-5
,,Prince George Cougars,48,3,9,12,0.25,57,-23
331,Alexander Kuvayev(RW),Vancouver Giants,34,2,11,13,0.38,16,-7
332,Peter Kosterman(D),Calgary Hitmen,70,2,11,13,0.19,65,7
333,Josh Caron(D/W),totals,63,1,12,13,0.21,159,0
,,Kamloops Blazers,20,0,6,6,0.3,88,9
,,Everett Silvertips,43,1,6,7,0.16,71,-9
334,Josh Hanson(D),Portland Winterhawks,72,0,13,13,0.18,25,6
335,Jonas Knutsen(C),Prince Albert Raiders,49,6,6,12,0.24,52,-21
336,Jack Rodewald(RW),Regina Pats,68,6,6,12,0.18,37,3
337,Craig Leverton(LW),Lethbridge Hurricanes,42,5,7,12,0.29,32,2
338,Ryley Miller(D),Brandon Wheat Kings,67,5,7,12,0.18,139,-20
339,Jesse Pauls(D),Victoria Royals,26,3,9,12,0.46,20,-15
340,Tim Traber(RW),Victoria Royals,69,3,9,12,0.17,141,-30
341,Derek Ryckman(D),totals,71,3,9,12,0.17,101,20
,,Lethbridge Hurricanes,11,1,1,2,0.18,21,-7
,,Tri-City Americans,60,2,8,10,0.17,80,27
342,Ashton Sautner(D),Edmonton Oil Kings,59,2,10,12,0.2,38,29
343,Jesse Zgraggen(D),Victoria Royals,62,2,10,12,0.19,54,-18
344,Tyler Bell(D),Kamloops Blazers,54,1,11,12,0.22,61,19
345,Filip Vasko(LW/RW),Kelowna Rockets,51,0,12,12,0.24,34,-1
346,Jordyn Boyd(LW),Everett Silvertips,53,7,4,11,0.21,26,-17
347,Travis McEvoy(RW),Saskatoon Blades,64,6,5,11,0.17,41,-2
348,Mitchell Chapman(D),Kelowna Rockets,57,5,6,11,0.19,119,-11
349,Nathan MacMaster(LW),totals,61,5,6,11,0.18,46,-12
,,Calgary Hitmen,3,0,0,0,0,5,-1
,,Tri-City Americans,58,5,6,11,0.19,41,-11
350,Jarid Hauptman(C),Spokane Chiefs,32,4,7,11,0.34,30,1
351,Rhyse Dieno(RW/C),Medicine Hat Tigers,50,4,7,11,0.22,29,-6
352,Jarrett Fontaine(LW/C),Prince George Cougars,64,4,7,11,0.17,16,-10
353,Nick Zajac(LW/C),Saskatoon Blades,64,4,7,11,0.17,67,-11
354,Andy Blanke(C),Swift Current Broncos,71,3,8,11,0.15,168,-12
355,Teal Burns(C),totals,31,2,9,11,0.35,20,-13
,,Vancouver Giants,10,0,4,4,0.4,2,0
,,Prince Albert Raiders,6,0,4,4,0.67,6,-5
,,Everett Silvertips,15,2,1,3,0.2,12,-8
