#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,#ERROR!
348,Maxwell James(LW),Tri-City Americans,64,3,7,10,0.16,139,-11
349,Aaron Macklin(LW),Regina Pats,62,2,8,10,0.16,109,-16
350,Igor Merezhko(D),Lethbridge Hurricanes,56,0,10,10,0.18,61,14
351,Owen Hardy(C/LW),Vancouver Giants,45,5,4,9,0.2,17,-3
352,Brett Davis(C),Lethbridge Hurricanes,53,5,4,9,0.17,17,-4
353,Gordon Ballhorn(D),Kelowna Rockets,59,3,6,9,0.15,56,16
354,Dawson Martin(LW),Calgary Hitmen,60,2,7,9,0.15,37,1
355,Dalton Hamaliuk(D),Spokane Chiefs,69,2,7,9,0.13,31,5
356,James Hilsendager(D),Regina Pats,64,0,9,9,0.14,56,-20
357,Yan Khomenko(RW),Everett Silvertips,46,5,3,8,0.17,14,-2
358,Brandon Ralph(LW),Everett Silvertips,55,5,3,8,0.15,23,-7
359,Jacob Christiansen(D),Everett Silvertips,48,4,4,8,0.17,10,1
360,Tyson Gruninger(RW),Edmonton Oil Kings,49,4,4,8,0.16,38,-5
361,Luc Smith(C/RW),Regina Pats,57,4,4,8,0.14,95,-3
362,Jared Legien(LW),Kootenay Ice,69,4,4,8,0.12,37,-23
363,James Shearer(D),Brandon Wheat Kings,58,3,5,8,0.14,20,7
364,Riley Stadel(D),Kelowna Rockets,56,2,6,8,0.14,108,-12
365,Anatoli Yelizarov(D),Edmonton Oil Kings,57,2,6,8,0.14,45,-11
366,Branden Klatt(LW),Edmonton Oil Kings,43,1,7,8,0.19,17,-11
367,Brendan De Jong(D),Portland Winterhawks,72,1,7,8,0.11,18,-13
368,Dawson Holt(RW/C),Vancouver Giants,40,0,8,8,0.2,20,-12
369,David Brumm(C),Vancouver Giants,42,5,2,7,0.17,20,-4
370,Bryce Platt(LW),Calgary Hitmen,34,4,3,7,0.21,32,2
371,Austyn Playfair(C),Tri-City Americans,30,3,4,7,0.23,32,0
372,Linden McCorrister(LW),Brandon Wheat Kings,38,3,4,7,0.18,9,-3
373,Luke Gingras(C),Saskatoon Blades,44,3,4,7,0.16,72,-17
374,Jason Wenzel(D/F),Kootenay Ice,57,3,4,7,0.12,16,-30
375,Dylan Williamson(LW),Prince Albert Raiders,60,3,4,7,0.12,33,-8
376,Schael Higson(D),totals,63,3,4,7,0.11,87,-6
,,Saskatoon Blades,33,3,2,5,0.15,32,-16
,,Brandon Wheat Kings,30,0,2,2,0.07,55,10
377,Brady Pouteau(D),Regina Pats,43,2,5,7,0.16,6,2
378,Jonathan Smart(D),Kelowna Rockets,44,2,5,7,0.16,20,12
379,Joel Lakusta(D),Prince George Cougars,44,2,5,7,0.16,19,8
380,Andrew Fyten(C),Calgary Hitmen,52,2,5,7,0.13,87,-10
381,Nolan Kneen(D),Kamloops Blazers,52,1,6,7,0.13,33,-5
382,Garrett Armour(LW),Brandon Wheat Kings,56,1,6,7,0.13,59,-1
383,Kurtis Rutledge(D),Tri-City Americans,58,1,6,7,0.12,28,-9
384,Darian Skeoch(RW/D),Lethbridge Hurricanes,59,1,6,7,0.12,106,7
385,Marsel Ibragimov(D),Victoria Royals,66,1,6,7,0.11,32,31
386,Jake Toporowski(D),Spokane Chiefs,53,0,7,7,0.13,12,-9
387,Mario Grman(D),Kootenay Ice,68,0,7,7,0.1,54,-35
388,Patrik Maier(D),totals,48,4,2,6,0.13,61,-9
,,Kamloops Blazers,18,2,1,3,0.17,23,-1
,,Moose Jaw Warriors,30,2,1,3,0.1,38,-8
389,Kaden Elder(RW),totals,61,4,2,6,0.1,9,-13
,,Seattle Thunderbirds,14,2,0,2,0.14,0,1
,,Swift Current Broncos,47,2,2,4,0.09,9,-14
390,Reese Johnson(RW),Red Deer Rebels,36,3,3,6,0.17,31,-2
391,Jarret Tyszka(D),Seattle Thunderbirds,48,3,3,6,0.13,14,-1
392,Jesse Roach(RW),totals,54,3,3,6,0.11,17,-8
,,Vancouver Giants,6,1,0,1,0.17,4,-1
,,Edmonton Oil Kings,48,2,3,5,0.1,13,-7
393,Shane Allan(C/RW),Kootenay Ice,66,3,3,6,0.09,37,-21
394,Taylor Vickerman(LW/C),Tri-City Americans,15,2,4,6,0.4,4,-5
395,Elliott Peterson(LW/D),totals,19,2,4,6,0.32,9,-5
,,Calgary Hitmen,14,1,4,5,0.36,7,-4
,,Vancouver Giants,5,1,0,1,0.2,2,-1
396,Justin Almeida(C/LW),Prince George Cougars,48,2,4,6,0.13,0,-4
401,Connor Clouston(D),Medicine Hat Tigers,56,2,4,6,0.11,122,-3
402,Brandon Schuldhaus(D),Seattle Thunderbirds,57,2,4,6,0.11,28,-3
403,Keith Anderson(RW),Victoria Royals,33,1,5,6,0.18,37,3
404,Brendan O'Reilly(D),Tri-City Americans,37,1,5,6,0.16,32,-5
405,Brayden Pachal(D),Victoria Royals,40,1,5,6,0.15,29,11
406,Mark Matsuba(D/F),Brandon Wheat Kings,50,1,5,6,0.12,8,0
407,Jake Kustra(D),Saskatoon Blades,51,1,5,6,0.12,39,-22
408,Jaydan Gordon(D),Swift Current Broncos,67,1,5,6,0.09,8,-10
409,Liam Schioler(D),Regina Pats,35,0,6,6,0.17,28,-4
410,Tyler Brown(D),totals,50,0,6,6,0.12,32,1
,,Moose Jaw Warriors,35,0,5,5,0.14,28,10
,,Vancouver Giants,15,0,1,1,0.07,4,-9
411,Colin Paradis(D),Moose Jaw Warriors,61,0,6,6,0.1,12,-1
412,Nick Heid(D),totals,62,0,6,6,0.1,41,-22
,,Portland Winterhawks,2,0,1,1,0.5,0,1
,,Medicine Hat Tigers,60,0,5,5,0.08,41,-23
413,Taylor Ross(RW/C),Spokane Chiefs,38,3,2,5,0.13,4,-12
414,Drew Warkentine(C),Prince Albert Raiders,53,3,2,5,0.09,51,-8
415,Jeff Rayman(D),Tri-City Americans,54,3,2,5,0.09,46,3
416,Brayden Watts(RW),Moose Jaw Warriors,57,3,2,5,0.09,4,-1
417,Jordan Borstmayer(RW),Kelowna Rockets,61,3,2,5,0.08,4,-16
418,Braden Purtill(LW/C),totals,37,2,3,5,0.14,8,6
,,Tri-City Americans,2,0,0,0,0,0,-1
,,Red Deer Rebels,35,2,3,5,0.14,8,7
419,Dylan Plouffe(D),Vancouver Giants,59,2,3,5,0.08,20,-17
420,Austin Adamson(RW),totals,28,1,4,5,0.18,7,-2
,,Red Deer Rebels,5,0,0,0,0,0,-2
,,Swift Current Broncos,23,1,4,5,0.22,7,0
421,Mark Taraschuk(D),totals,37,1,4,5,0.14,30,-3
,,Brandon Wheat Kings,18,0,4,4,0.22,8,2
,,Swift Current Broncos,19,1,0,1,0.05,22,-5
422,Erik Miller(C),Kamloops Blazers,41,1,4,5,0.12,27,-5
423,Kyle Yewchuk(D),Edmonton Oil Kings,46,0,5,5,0.11,24,6
424,Cameron Reagan(D),Kamloops Blazers,61,0,5,5,0.08,9,7
425,Jordan Dawson(D),Edmonton Oil Kings,34,2,2,4,0.12,14,-15
426,Tate Coughlin(RW),Kelowna Rockets,49,2,2,4,0.08,21,-1
427,Jared McAmmond(C),Regina Pats,62,2,2,4,0.06,19,-10
428,Mackenzie Dwyer(D),Everett Silvertips,20,1,3,4,0.2,11,3
429,Garan Magnes(LW),totals,30,1,3,4,0.13,2,-4
,,Edmonton Oil Kings,18,1,1,2,0.11,0,-4
,,Seattle Thunderbirds,12,0,2,2,0.17,2,0
430,Riley Sutter(RW),Everett Silvertips,31,1,3,4,0.13,12,-3
431,Kolby Johnson(LW),Prince George Cougars,37,1,3,4,0.11,64,-1
432,Jaeger White(C),totals,39,1,3,4,0.1,7,3
,,Lethbridge Hurricanes,23,1,2,3,0.13,7,2
,,Everett Silvertips,3,0,0,0,0,0,0
,,Brandon Wheat Kings,13,0,1,1,0.08,0,1
433,Conner McDonald(D),Kamloops Blazers,48,1,3,4,0.08,23,-3
434,Connor Chaulk(C),Swift Current Broncos,55,1,3,4,0.07,32,-9
435,Josh Curtis(RW),Prince George Cougars,15,0,4,4,0.27,2,2
436,Dylan Overdyk(D),Kootenay Ice,33,0,4,4,0.12,12,-16
437,Carter Czaikowski(D),Portland Winterhawks,37,0,4,4,0.11,11,5
438,Brandon Kennedy(D),totals,38,0,4,4,0.11,12,-13
,,Lethbridge Hurricanes,18,0,2,2,0.11,8,-4
,,Moose Jaw Warriors,20,0,2,2,0.1,4,-9
439,Ryan Pouliot(D),totals,39,0,4,4,0.1,28,-14
,,Red Deer Rebels,14,0,2,2,0.14,2,5
,,Kootenay Ice,25,0,2,2,0.08,26,-19
440,Jakob Lapointe(D),Calgary Hitmen,42,0,4,4,0.1,37,5
