#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
1,Tyler Johnson(C),Spokane Chiefs,71,53,62,115,1.62,48,27
2,Brendan Shinnimin(C),Tri-City Americans,60,34,62,96,1.6,84,20
3,Jonathan Parker(RW),Prince Albert Raiders,71,45,41,86,1.21,45,-8
4,Dylan Hood(C),Moose Jaw Warriors,71,33,50,83,1.17,61,8
5,Andrej Kudrna(LW),Red Deer Rebels,65,29,53,82,1.26,26,24
6,Adam Hughesman(LW),Tri-City Americans,60,39,42,81,1.35,59,20
7,Matt MacKay(C),totals,71,29,51,80,1.13,44,18
,,Vancouver Giants,40,12,16,28,0.7,32,-2
,,Brandon Wheat Kings,31,17,35,52,1.68,12,20
8,Dylan Wruck(LW/C),Edmonton Oil Kings,71,38,40,78,1.1,44,25
9,Kevin King(RW),Kootenay Ice,68,33,43,76,1.12,88,26
10,Matt Fraser(LW/RW),Kootenay Ice,66,36,38,74,1.12,115,24
11,Wacey Hamilton(C),Medicine Hat Tigers,67,20,53,73,1.09,113,16
12,Thomas Frazee(C),totals,70,31,41,72,1.03,100,-18
,,Regina Pats,33,13,24,37,1.12,41,-12
,,Kamloops Blazers,37,18,17,35,0.95,59,-6
13,Burke Gallimore(RW),Seattle Thunderbirds,71,34,36,70,0.99,35,-26
14,Justin Maylan(C),Prince Albert Raiders,66,21,48,69,1.05,49,13
15,Brandon Herrod(RW),Prince Albert Raiders,71,28,40,68,0.96,26,-14
16,Kruise Reddick(C/RW),Tri-City Americans,63,20,48,68,1.08,61,9
17,Justin Dowling(C),Swift Current Broncos,63,20,47,67,1.06,18,-11
18,Tyler Maxwell(C/D),Everett Silvertips,68,41,25,66,0.97,59,8
19,Jordan Hickmott(C),Edmonton Oil Kings,72,28,38,66,0.92,58,0
20,Spencer Edwards(RW),Moose Jaw Warriors,63,27,39,66,1.05,62,24
21,Shayne Wiebe(C),Brandon Wheat Kings,72,44,21,65,0.9,60,6
22,Kellan Tochkin(RW),totals,70,29,35,64,0.91,68,7
,,Everett Silvertips,38,17,19,36,0.95,30,8
,,Medicine Hat Tigers,32,12,16,28,0.88,38,-1
23,Jake Trask(C),totals,70,30,33,63,0.9,18,22
,,Kamloops Blazers,9,0,2,2,0.22,2,2
,,Saskatoon Blades,61,30,31,61,1,16,20
24,Justin Feser(C/LW),Tri-City Americans,72,26,37,63,0.88,34,22
25,Sena Acolatse(D/RW),totals,67,15,48,63,0.94,130,0
,,Saskatoon Blades,1,0,0,0,0,2,0
,,Prince George Cougars,66,15,48,63,0.95,128,0
26,Cameron Braes(C),Lethbridge Hurricanes,71,31,30,61,0.86,109,-3
27,Brett Ferguson(LW),Red Deer Rebels,72,23,38,61,0.85,111,29
28,Charles Inglis(C),Prince George Cougars,69,32,28,60,0.87,141,6
29,Brenden Dillon(D),Seattle Thunderbirds,72,8,51,59,0.82,139,-25
30,Robin Soudek(RW),Chilliwack Bruins,61,25,32,57,0.93,70,-11
31,Sebastian Svendsen(C/W),totals,74,27,29,56,0.76,62,-12
,,Prince Albert Raiders,44,17,17,34,0.77,52,-3
,,Moose Jaw Warriors,30,10,12,22,0.73,10,-9
32,T.J. Foster(C/RW),Edmonton Oil Kings,66,25,29,54,0.82,22,11
33,Austin Fyten(LW/C),Lethbridge Hurricanes,52,24,30,54,1.04,103,9
34,Zach Franko(LW),Kelowna Rockets,72,22,31,53,0.74,22,7
35,Brandon Manning(D),Chilliwack Bruins,53,21,32,53,1,129,-4
36,Nick Buonassisi(C),Prince George Cougars,71,18,35,53,0.75,66,-6
37,Tyler Schmidt(D),Tri-City Americans,70,11,42,53,0.76,159,28
38,Brenden Walker(RW),Brandon Wheat Kings,70,25,27,52,0.74,43,-9
39,Ryan Harrison(C),totals,69,21,31,52,0.75,102,8
,,Medicine Hat Tigers,40,13,20,33,0.83,47,10
,,Everett Silvertips,29,8,11,19,0.66,55,-2
40,Mitch Maxwell(LW),Lethbridge Hurricanes,72,19,33,52,0.72,88,-18
41,James Dobrowolski(LW),Prince George Cougars,72,18,34,52,0.72,48,-3
42,Brad Hoban(RW),Swift Current Broncos,71,25,26,51,0.72,34,-24
43,Igor Revenko(RW),Prince Albert Raiders,57,23,28,51,0.89,36,1
