@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
0.642857,EURO,0.5,0.129412,L,?,0.633333,0.219178,0.244444,0.242038,0.129436,0.220588,?,?,?,?,?,?,32
0,CAN,0.666667,0.470588,C,0.081731,0.8,0.479452,0.444444,0.477707,0.079332,0.220588,0.344828,0.190476,0.230769,0.217391,0.066667,0,35
0.142857,EURO,0.5,0.517647,D,?,0.683333,0.123288,0.333333,0.248408,0.156576,0,0.482759,0.095238,0.269231,0.195652,0.241667,0,42
0,CAN,0.75,0.823529,L,0.129808,0.616667,0.150685,0.066667,0.10828,0.45929,0.220588,0.206897,0.095238,0,0.043478,0.158333,0,42
0,CAN,0.75,0.705882,L,?,0.416667,0,0.1,0.057325,0.392484,0.220588,?,?,?,?,?,?,46
0,EURO,0.583333,0.517647,R,0.120192,0.75,0.30137,0.311111,0.318471,0.064718,0.220588,0.586207,0.095238,0.153846,0.130435,0.083333,0,52
0,CAN,0.833333,0.588235,L,?,0.65,0.123288,0.133333,0.133758,0.08977,0.220588,0.551724,0.142857,0.153846,0.152174,0.066667,0,53
0.571429,EURO,0.5,0.329412,L,?,0.4,0.205479,0.033333,0.11465,0.075157,0.220588,0.034483,0,0,0,0.016667,0,54
0.071429,USA,0.416667,0.411765,D,?,0.016667,0.164384,0.344444,0.273885,0.058455,0.220588,?,?,?,?,?,?,58
0,CAN,0.583333,0.470588,D,?,0.666667,0.013699,0.111111,0.070064,0.292276,0.220588,?,?,?,?,?,?,66
0.142857,CAN,0.583333,0.411765,C,0.110577,0.166667,0.136986,0.244444,0.203822,0.096033,0.220588,?,?,?,?,?,?,69
0,CAN,0.583333,0.529412,D,?,0.6,0,0.111111,0.063694,0.417537,0.220588,?,?,?,?,?,?,70
0,EURO,0.75,0.470588,D,0.014423,0.25,0.150685,0.222222,0.197452,0.033403,0.220588,0.206897,0.095238,0.115385,0.108696,0.05,0,70
0.857143,EURO,0.75,0.611765,C,?,0.816667,0.369863,0.444444,0.426752,0.154489,0.220588,0.310345,0.571429,0.230769,0.391304,0.033333,0,73
0,CAN,0.416667,0.305882,L,?,0.7,0.150685,0.277778,0.229299,0.187891,0.220588,0.344828,0.047619,0,0.021739,0.175,0,73
0,CAN,0.5,0.352941,R,?,0.766667,0.465753,0.3,0.388535,0.085595,0.220588,0.310345,0.190476,0.076923,0.130435,0.033333,0,81
0,CAN,0.75,0.588235,D,0.134615,0.533333,0,0.088889,0.050955,0.427975,0.220588,0.517241,0,0.192308,0.108696,0.208333,0,81
0,CAN,0.666667,0.552941,R,?,0.616667,0.178082,0.144444,0.165605,0.070981,0.220588,0.241379,0.047619,0,0.021739,0.033333,0,85
0,EURO,0.583333,0.458824,L,0.043269,0.416667,0.191781,0.066667,0.127389,0.041754,0.220588,?,?,?,?,?,?,85
0,EURO,0.333333,0.294118,L,0.028846,0.116667,0.315068,0.2,0.261146,0.183716,0.220588,0.034483,0,0,0,0,0,86
0,USA,0.666667,0.529412,C,0.086538,0.816667,0.616438,0.477778,0.56051,0.045929,0.220588,0.448276,0.333333,0.384615,0.369565,0.05,0,89
0,EURO,0.5,0.388235,C,0.221154,0.783333,0.438356,0.255556,0.350318,0.020877,0.220588,?,?,?,?,?,?,89
0.142857,USA,0.25,0.294118,C,?,0.4,0.219178,0.2,0.216561,0.070981,0.220588,?,?,?,?,?,?,91
0,EURO,0.666667,0.364706,L,0.259615,0.433333,0.191781,0.233333,0.22293,0,0.220588,?,?,?,?,?,?,91
0.142857,CAN,0.666667,0.376471,L,?,0.6,0.246575,0.288889,0.280255,0.762004,0.308824,0.448276,0.190476,0.346154,0.282609,0.558333,0,108
0.142857,CAN,0.833333,0.564706,R,?,0.616667,0.90411,0.733333,0.840764,0.104384,0.808824,0.172414,0.285714,0.076923,0.173913,0.016667,0,110
0.071429,CAN,0.916667,0.717647,D,0.144231,0.65,0.068493,0.088889,0.082803,0.202505,0.220588,0.517241,0,0.115385,0.065217,0.116667,0,112
0,EURO,0.75,0.647059,L,0.432692,0.016667,0.013699,0.011111,0.012739,0.06263,0.220588,?,?,?,?,?,?,116
0.071429,EURO,0.5,0.4,L,?,0.466667,0.205479,0.088889,0.146497,0.070981,0.220588,?,?,?,?,?,?,129
0,CAN,0.583333,0.764706,R,0.139423,0.666667,0.082192,0.122222,0.10828,0.394572,0.220588,0.137931,0,0,0,0.066667,0,129
0,CAN,0.833333,0.623529,D,0.009615,0.416667,0.082192,0.133333,0.11465,0.263048,0.220588,0.137931,0,0.192308,0.108696,0.15,0,139
0,EURO,0.666667,0.764706,D,0.379808,0.333333,0.013699,0.088889,0.057325,0,0.220588,?,?,?,?,?,?,140
0.142857,EURO,0.5,0.647059,R,0.158654,0.4,0.123288,0.066667,0.095541,0.029228,0.220588,?,?,?,?,?,?,143
0,CAN,0.5,0.423529,R,0.096154,0.683333,0.424658,0.488889,0.477707,0.129436,0.220588,0.310345,0.190476,0.076923,0.130435,0.083333,0,147
0.071429,CAN,0.5,0.505882,D,0.067308,0.366667,0.054795,0.144444,0.10828,0.100209,0.220588,?,?,?,?,?,?,148
0,CAN,0.333333,0.258824,D,0.197115,0.683333,0.273973,0.511111,0.420382,0.091858,0.220588,0.517241,0.095238,0.615385,0.391304,0.108333,0,150
0.142857,EURO,0.083333,0.117647,C,?,0.566667,0.150685,0.255556,0.216561,0.096033,0.220588,?,?,?,?,?,?,158
0.071429,USA,0,0.094118,R,?,0.283333,0.410959,0.344444,0.388535,0.091858,0.220588,?,?,?,?,?,?,166
0,CAN,0.416667,0.517647,L,0.043269,0.683333,0.589041,0.355556,0.477707,0.229645,0.220588,0.517241,0.428571,0.192308,0.304348,0.408333,0,173
0.071429,USA,0.333333,0.4,C,?,0.483333,0.506849,0.488889,0.515924,0.033403,0.220588,0.103448,0.047619,0.038462,0.043478,0.016667,0,185
0.357143,EURO,0.5,0.4,L,?,0.4,0.150685,0.1,0.127389,0.379958,0.220588,0.275862,0.333333,0.153846,0.23913,0.083333,0,185
0.285714,EURO,0.583333,0.564706,R,?,0.466667,0.219178,0.1,0.159236,0.167015,0.220588,?,?,?,?,?,?,188
0,CAN,0.416667,0.105882,C,?,0.733333,0.547945,0.933333,0.789809,0.114823,0.220588,0.172414,0.142857,0.038462,0.086957,0,0,197
0,CAN,0.916667,0.741176,D,0.028846,0.6,0.109589,0.3,0.22293,0.125261,0.220588,0.172414,0,0.038462,0.021739,0.083333,0,201
0.428571,EURO,0.416667,0.376471,L,?,0.383333,0.39726,0.088889,0.235669,0.093946,0.220588,0.068966,0,0.038462,0.021739,0,0,203
0,EURO,0.75,0.494118,C,0.024038,0.283333,0.30137,0.277778,0.299363,0.025052,0.220588,0,0,0,0,0,0,207
0.142857,CAN,0.666667,0.517647,R,?,0.8,0.109589,0.266667,0.203822,0.48643,0.117647,0.137931,0,0,0,0.133333,0,209
0.142857,EURO,0.333333,0.282353,C,?,0.383333,0.136986,0.133333,0.140127,0.016701,0.220588,?,?,?,?,?,?,209
0.142857,USA,0.583333,0.411765,L,0.1875,0.183333,0.150685,0.211111,0.191083,0.114823,0.220588,?,?,?,?,?,?,214
0.071429,CAN,0.5,0.458824,R,?,0.6,0.356164,0.311111,0.343949,0.482255,0.220588,?,?,?,?,?,?,222
0.071429,EURO,0.5,0.411765,C,0.009615,0.233333,0.054795,0.055556,0.057325,0.008351,0.220588,?,?,?,?,?,?,228
0,CAN,0.5,0.541176,C,0.192308,0.716667,0.328767,0.266667,0.305732,0.135699,0.220588,0.275862,0.095238,0.076923,0.086957,0.108333,0,248
0.142857,USA,0.833333,0.823529,R,?,0.8,0.410959,0.233333,0.324841,0.507307,0.161765,0.206897,0.285714,0,0.130435,0.191667,0,252
0,CAN,0.75,0.588235,C,0.072115,0.533333,0.465753,0.277778,0.375796,0.181628,0.220588,0.413793,0.285714,0.192308,0.23913,0.116667,0,257
0,EURO,0.916667,0.882353,C,0.076923,0.516667,0.520548,0.666667,0.624204,0.146138,0.220588,?,?,?,?,?,?,263
0.142857,EURO,0.416667,0.352941,D,0.216346,0.45,0.178082,0.066667,0.121019,0.185804,0.220588,?,?,?,?,?,?,267
0.142857,CAN,0.5,0.470588,C,?,0.183333,0.191781,0.133333,0.165605,0.104384,0.220588,?,?,?,?,?,?,268
0.071429,EURO,0.666667,0.529412,C,0.254808,0.1,0.027397,0.011111,0.019108,0.004175,0.220588,?,?,?,?,?,?,273
0,EURO,0.666667,0.470588,D,0,0.15,0,0.033333,0.019108,0.06263,0.220588,?,?,?,?,?,?,283
0,EURO,0.833333,0.694118,D,0.038462,0.783333,0.041096,0.2,0.133758,0.23382,0.220588,0.344828,0.047619,0.153846,0.108696,0.133333,0,283
0,EURO,0.833333,0.517647,C,0.096154,0.183333,0.178082,0.211111,0.203822,0,0.220588,?,?,?,?,?,?,293
0,EURO,0.75,0.529412,D,0.057692,0.35,0.041096,0.088889,0.070064,0.108559,0.220588,0.206897,0,0.076923,0.043478,0.133333,0,303
0,CAN,0.416667,0.341176,C,?,0.75,0.452055,0.9,0.726115,0.091858,0.220588,0.62069,0.380952,0.923077,0.695652,0.016667,0,326
0,EURO,0.583333,0.529412,D,0.004808,0.616667,0.150685,0.177778,0.171975,0.40501,0.220588,?,?,?,?,?,?,334
0,CAN,0.583333,0.435294,C,0.024038,0.65,0.232877,0.444444,0.363057,0.064718,0.220588,0.551724,0.380952,0.461538,0.434783,0.083333,0,346
0.071429,CAN,0.583333,0.529412,D,0.014423,0.816667,0.273973,0.488889,0.407643,0.17119,0.220588,0.275862,0.142857,0.153846,0.152174,0.083333,0,354
0,CAN,0.5,0.294118,L,0.076923,0.5,0.410959,0.422222,0.433121,0.05428,0.220588,0.37931,0.52381,0.192308,0.347826,0.191667,0,354
0,USA,0.583333,0.435294,C,0.004808,0.716667,0.739726,0.555556,0.66242,0.121086,0.220588,0.482759,0.380952,0.461538,0.434783,0.2,0,362
0,EURO,0.666667,0.611765,D,0.052885,0.7,0.054795,0.1,0.082803,0.250522,0.220588,0.137931,0,0.115385,0.065217,0.066667,0,363
0.071429,CAN,0.5,0.282353,L,0.0625,0.583333,0.671233,0.422222,0.55414,0.070981,0.220588,0.137931,0.333333,0.230769,0.282609,0.033333,0,379
0.428571,EURO,0.583333,0.447059,D,?,0.516667,0.054795,0.166667,0.121019,0.152401,0.220588,0.103448,0,0,0,0,0,389
0.071429,USA,0.333333,0.352941,C,0.091346,0.483333,0.178082,0.4,0.312102,0.123173,0.220588,?,?,?,?,?,?,394
