@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
24,EURO,72,202,L,?,46,29,9,38,45,0,3,0,1,1,0,0,203
18,EURO,76,212,C,6,40,22,26,48,12,0,1,0,0,0,0,0,207
20,CAN,75,214,R,?,71,8,25,33,233,-7,5,0,0,0,16,0,209
20,EURO,71,194,C,?,46,10,13,23,8,0,?,?,?,?,?,?,209
20,USA,74,205,L,40,34,11,20,31,55,0,?,?,?,?,?,?,214
19,CAN,73,209,R,?,59,26,29,55,231,0,?,?,?,?,?,?,222
19,EURO,73,205,C,3,37,4,6,10,4,0,?,?,?,?,?,?,228
18,CAN,73,216,C,41,66,24,25,49,65,0,9,2,2,4,13,0,248
20,USA,77,240,R,?,71,30,22,52,243,-4,7,6,0,6,23,0,252
18,CAN,76,220,C,16,55,34,26,60,87,0,13,6,5,11,14,0,257
18,EURO,78,245,C,17,54,38,61,99,70,0,?,?,?,?,?,?,263
20,EURO,72,200,D,46,50,13,7,20,89,0,?,?,?,?,?,?,267
20,CAN,73,210,C,?,34,14,13,27,50,0,?,?,?,?,?,?,268
19,EURO,75,215,C,54,29,2,2,4,2,0,?,?,?,?,?,?,273
18,EURO,75,210,D,1,32,0,4,4,30,0,?,?,?,?,?,?,283
18,EURO,77,229,D,9,70,3,19,22,112,0,11,1,4,5,16,0,283
18,EURO,77,214,C,21,34,13,20,33,0,0,?,?,?,?,?,?,293
18,EURO,76,215,D,13,44,3,9,12,52,0,7,0,2,2,16,0,303
18,CAN,72,199,C,?,68,33,82,115,44,0,19,8,24,32,2,0,326
18,EURO,74,215,D,2,60,11,17,28,194,0,?,?,?,?,?,?,334
18,CAN,74,207,C,6,62,17,41,58,31,0,17,8,12,20,10,0,346
19,CAN,74,215,D,4,72,20,45,65,82,0,9,3,4,7,10,0,354
18,CAN,73,195,L,17,53,30,39,69,26,0,12,11,5,16,23,0,354
18,USA,74,207,C,2,66,54,51,105,58,0,15,8,12,20,24,0,362
18,EURO,75,222,D,12,65,4,10,14,120,0,5,0,3,3,8,0,363
19,CAN,73,194,L,14,58,49,39,88,34,0,5,7,6,13,4,0,379
24,EURO,74,208,D,?,54,4,16,20,73,0,4,0,0,0,0,0,389
19,USA,71,200,C,20,52,13,37,50,59,0,?,?,?,?,?,?,394
19,EURO,75,226,D,8,66,8,36,44,36,0,6,1,3,4,4,0,404
24,EURO,72,210,D,?,57,12,19,31,69,0,12,2,5,7,14,0,420
18,CAN,76,215,C,1,65,45,72,117,121,0,18,15,26,41,46,0,467
19,CAN,72,193,C,60,72,40,35,75,34,0,6,2,1,3,4,0,1
19,CAN,72,185,D,191,59,27,46,73,0,0,?,?,?,?,?,?,1
19,CAN,77,229,D,25,60,2,16,18,173,0,5,0,0,0,20,0,1
19,CAN,74,198,L,33,67,31,44,75,93,0,14,7,7,14,10,0,1
20,EURO,71,182,L,56,26,17,6,23,26,0,10,2,1,3,0,0,1
18,CAN,73,210,D,21,60,5,19,24,93,0,13,2,2,4,13,0,1
18,CAN,75,208,L,108,67,15,22,37,124,0,22,2,2,4,8,0,1
19,CAN,72,190,C,12,61,39,49,88,84,0,?,?,?,?,?,?,2
18,CAN,75,222,D,43,68,2,12,14,115,0,25,1,7,8,24,0,2
