#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,#ERROR!,contract
,,Saskatoon Blades,31,3,2,5,0.16,6,-14,0
,,Red Deer Rebels,22,2,3,5,0.23,11,-1,0
351,Maxwell James(LW),Tri-City Americans,58,5,5,10,0.17,66,-8,0
352,Linden Penner(RW),totals,61,5,5,10,0.16,48,-4,0
,,Calgary Hitmen,1,0,0,0,0,0,-1,0
,,Moose Jaw Warriors,24,1,3,4,0.17,22,-1,0
,,Swift Current Broncos,36,4,2,6,0.17,26,-2,0
353,Patrik Maier(D),Kamloops Blazers,65,5,5,10,0.15,89,-19,0
354,Devan Fafard(D),totals,68,5,5,10,0.15,123,-17,0
,,Red Deer Rebels,26,2,2,4,0.15,38,2,0
,,Lethbridge Hurricanes,42,3,3,6,0.14,85,-19,0
355,Tanner LeSann(C),Swift Current Broncos,71,5,5,10,0.14,116,-19,0
356,Zach Fischer(RW),Medicine Hat Tigers,54,4,6,10,0.19,23,0,0
357,Jack Palmer(LW/C),Victoria Royals,58,4,6,10,0.17,18,-10,0
358,Ralph Jarratt(D),Victoria Royals,49,2,8,10,0.2,11,4,0
359,Marshall Donald(D),totals,54,2,8,10,0.19,71,6,0
,,Calgary Hitmen,32,1,7,8,0.25,42,9,0
,,Edmonton Oil Kings,22,1,1,2,0.09,29,-3,0
360,Matt Staples(D),Medicine Hat Tigers,63,2,8,10,0.16,75,6,0
361,Brady Reagan(D),totals,66,2,8,10,0.15,45,-10,0
,,Regina Pats,32,1,4,5,0.16,20,5,0
,,Lethbridge Hurricanes,34,1,4,5,0.15,25,-15,0
362,Josh Hanson(D),Portland Winterhawks,62,1,9,10,0.16,15,8,0
363,Blair Oneschuk(C),Spokane Chiefs,40,6,3,9,0.23,12,-2,0
364,Pavel Skumatov(RW),Lethbridge Hurricanes,51,6,3,9,0.18,14,-14,0
365,Vince Loschiavo(C),Kootenay Ice,58,6,3,9,0.16,10,-26,0
366,Landon Welykholowa(C),totals,32,5,4,9,0.28,8,-7,0
,,Calgary Hitmen,1,0,0,0,0,0,-1,0
,,Saskatoon Blades,31,5,4,9,0.29,8,-6,0
367,River Beattie(RW),Kootenay Ice,63,5,4,9,0.14,41,-17,0
368,Nicholas Holowko(LW),Seattle Thunderbirds,63,5,4,9,0.14,25,-4,0
369,Ethan Price(RW),Portland Winterhawks,38,4,5,9,0.24,16,-6,0
370,Loch Morrison(D),Calgary Hitmen,52,4,5,9,0.17,51,15,0
371,Mason Shaw(C),Medicine Hat Tigers,23,3,6,9,0.39,13,4,0
372,Dawson Davidson(D),Kamloops Blazers,33,3,6,9,0.27,13,-3,0
373,Kolton Dixon(D),totals,60,3,6,9,0.15,76,-14,0
,,Red Deer Rebels,32,1,2,3,0.09,36,-3,0
,,Saskatoon Blades,28,2,4,6,0.21,40,-11,0
374,Tristen Pfeifer(D),Everett Silvertips,49,2,7,9,0.18,48,5,0
375,Nolan Reid(D),Saskatoon Blades,54,2,7,9,0.17,14,-15,0
376,Aaron Boyd(C),Prince George Cougars,52,6,2,8,0.15,6,-8,0
377,Devon McAndrews(LW),totals,38,5,3,8,0.21,37,-7,0
,,Tri-City Americans,2,0,0,0,0,0,0,0
,,Spokane Chiefs,36,5,3,8,0.22,37,-7,0
378,Brayden Brown(C),Edmonton Oil Kings,61,5,3,8,0.13,2,-4,0
379,Jayden Halbgewachs(C),Moose Jaw Warriors,59,4,4,8,0.14,6,-19,0
380,Tyson Predinchuk(RW/D),Portland Winterhawks,33,2,6,8,0.24,0,-8,0
381,Tate Coughlin(RW),Kelowna Rockets,53,2,6,8,0.15,14,-4,0
382,Dalton Yorke(D),totals,56,1,7,8,0.14,75,5,0
,,Kelowna Rockets,26,0,2,2,0.08,34,2,0
,,Prince Albert Raiders,30,1,5,6,0.2,41,3,0
383,Isaac Schacher(D),Saskatoon Blades,69,1,7,8,0.12,51,-18,0
384,Dylan Stewart(LW),Prince Albert Raiders,68,6,1,7,0.1,11,-14,0
385,Jake Mykitiuk(LW),Everett Silvertips,40,4,3,7,0.18,28,-5,0
386,Jared McAmmond(C),Regina Pats,54,4,3,7,0.13,11,-1,0
387,Bryan Allbee(D),Kootenay Ice,48,3,4,7,0.15,14,-3,0
388,Schael Higson(D),Saskatoon Blades,57,3,4,7,0.12,48,-32,0
389,Haydn Hopkins(C),Prince George Cougars,31,2,5,7,0.23,31,-6,0
401,Braden Purtill(LW/C),Tri-City Americans,43,2,5,7,0.16,17,-9,0
402,Luc Smith(C/RW),Regina Pats,68,2,5,7,0.1,68,-8,0
403,Mitch Skapski(LW),totals,59,1,6,7,0.12,29,-10,0
,,Victoria Royals,34,1,3,4,0.12,12,-6,0
,,Saskatoon Blades,25,0,3,3,0.12,17,-4,0
404,Anthony Ast(C/RW),Medicine Hat Tigers,21,4,2,6,0.29,0,-2,0
405,Jared Dmytriw(RW),Victoria Royals,49,3,3,6,0.12,13,-9,0
406,Colton Kroeker(C),Regina Pats,52,3,3,6,0.12,6,-18,0
407,Ryan Coghlan(D),totals,24,2,4,6,0.25,13,-3,0
,,Prince Albert Raiders,2,0,0,0,0,2,2,0
,,Saskatoon Blades,22,2,4,6,0.27,11,-5,0
408,Jordan Harris(D),Swift Current Broncos,29,2,4,6,0.21,14,-5,0
409,Carter Hansen(D/RW),Regina Pats,59,2,4,6,0.1,16,-2,0
410,Garrett Armour(LW),Saskatoon Blades,45,1,5,6,0.13,60,-6,0
411,James Hilsendager(D),Regina Pats,53,1,5,6,0.11,54,2,0
412,Blake Bargar(F),Moose Jaw Warriors,59,1,5,6,0.1,31,-7,0
413,Lenny Hackman(D),totals,62,1,5,6,0.1,4,-21,0
,,Lethbridge Hurricanes,31,1,2,3,0.1,0,-19,0
,,Kootenay Ice,31,0,3,3,0.1,4,-2,0
414,Mark Taraschuk(D),Brandon Wheat Kings,32,0,6,6,0.19,8,14,0
415,Brennan Riddle(D),Prince Albert Raiders,58,0,6,6,0.1,24,-7,0
416,Tamas Laday(D),Spokane Chiefs,60,0,6,6,0.1,104,-14,0
417,Tyson Gruninger(RW),Edmonton Oil Kings,28,3,2,5,0.18,10,3,0
418,Jacob Cardiff(LW/RW),Spokane Chiefs,48,3,2,5,0.1,18,-1,0
419,Austyn Playfair(C),Tri-City Americans,58,3,2,5,0.09,20,-20,0
420,Brendan De Jong(D),Portland Winterhawks,54,2,3,5,0.09,10,8,0
421,Dylan Coghlan(D),Tri-City Americans,55,2,3,5,0.09,16,-9,0
422,Mitchell Walter(RW),totals,57,2,3,5,0.09,43,1,0
,,Edmonton Oil Kings,38,2,3,5,0.13,30,4,0
,,Portland Winterhawks,19,0,0,0,0,13,-3,0
423,Jordan Ross(RW/C),Prince George Cougars,25,1,4,5,0.2,20,-6,0
424,Ben Duperreault(C/LW),Moose Jaw Warriors,34,1,4,5,0.15,4,-3,0
425,Shane Collins(D),Prince George Cougars,40,1,4,5,0.13,18,-2,0
426,Tanner Jeannot(LW),Moose Jaw Warriors,52,1,4,5,0.1,8,-13,0
427,Jordan Henderson(D),Spokane Chiefs,54,1,4,5,0.09,19,-14,0
428,Griffin Foulk(D),totals,63,1,4,5,0.08,70,-23,0
,,Lethbridge Hurricanes,27,0,1,1,0.04,38,-13,0
,,Swift Current Broncos,36,1,3,4,0.11,32,-10,0
429,Jeff Rayman(D),Spokane Chiefs,50,0,5,5,0.1,18,-4,0
430,Dexter Bricker(LW),Lethbridge Hurricanes,38,3,1,4,0.11,44,-19,0
431,Ryan Vandervlis(C),Lethbridge Hurricanes,19,2,2,4,0.21,13,-7,0
432,Ryely McKinstry(D),Vancouver Giants,30,2,2,4,0.13,13,-1,0
433,Jordan Wharrie(D),Everett Silvertips,50,2,2,4,0.08,39,-11,0
434,Nikita Milyokhin(RW),Lethbridge Hurricanes,16,1,3,4,0.25,2,-6,0
435,Mark Matsuba(D/F),Brandon Wheat Kings,36,1,3,4,0.11,8,4,0
436,Garan Magnes(LW),Edmonton Oil Kings,38,1,3,4,0.11,20,5,0
437,Chaseton Braid(C),Saskatoon Blades,57,1,3,4,0.07,51,-26,0
438,Scott Allan(D),totals,59,1,3,4,0.07,58,-17,0
,,Medicine Hat Tigers,3,0,0,0,0,5,-1,0
,,Seattle Thunderbirds,25,1,2,3,0.12,20,-1,0
,,Lethbridge Hurricanes,31,0,1,1,0.03,33,-15,0
439,Travis Verveda(D),Kamloops Blazers,28,0,4,4,0.14,10,-7,0
440,Jesse Mills(D),Edmonton Oil Kings,29,0,4,4,0.14,27,2,0
441,Matt Sozanski(D),Spokane Chiefs,33,0,4,4,0.12,20,-12,0
442,Carter Cochrane(D),totals,40,0,4,4,0.1,17,-3,0
,,Everett Silvertips,31,0,1,1,0.03,15,-8,0
,,Tri-City Americans,9,0,3,3,0.33,2,5,0
443,Jake Leschyshyn(C),Regina Pats,12,3,0,3,0.25,0,2,0
444,Gage Ramsay(LW),Vancouver Giants,37,3,0,3,0.08,4,-10,0
445,Miles Warkentine(RW/C),totals,32,2,1,3,0.09,9,-9,0
