id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,GP_greater_than_0,wx_sum,lmt_prob,LeafNode
9,David Bornhammar,0.0,EURO,0.42857142857142855,0.3557692307692308,D,1999,192,1,0.6111111111111112,0.1232876712328767,0.058823529411764705,0.0949367088607595,0.0918580375782881,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,1.659360479908317,0.1598478635872185,3
27,Yared Hagos,0.0,EURO,0.42857142857142855,0.5480769230769231,C,2001,70,0.11004784688995216,0.4777777777777778,0.1506849315068493,0.2549019607843137,0.23417721518987342,0.05010438413361169,0.56,0.3333333333333333,0.19047619047619047,0.038461538461538464,0.10869565217391304,0.03333333333333333,0.2916666666666667,no,2.3996335041452825,0.083200647904674144,1
30,Andreas Jamtin,0.0,EURO,0.35714285714285715,0.3173076923076923,L,2001,157,0.1674641148325359,0.4111111111111111,0.2465753424657534,0.20588235294117646,0.2468354430379747,0.3235908141962422,0.568,0.0,0.0,0.0,0.0,0.0,0.375,no,3.345037019212702,0.034058059814795781,4
58,Per Mars,0.07142857142857142,EURO,0.5714285714285714,0.5288461538461539,C,2001,87,1,0.32222222222222224,0.0821917808219178,0.058823529411764705,0.0759493670886076,0.12526096033402923,0.536,0.16666666666666666,0.047619047619047616,0.038461538461538464,0.043478260869565216,0.03333333333333333,0.375,no,3.4626127385372243,0.030394938474023043,2
67,Daniel Fernholm,0.07142857142857142,EURO,0.6428571428571429,0.6538461538461539,D,2002,101,0.11961722488038277,0.13333333333333333,0.0684931506849315,0.12745098039215685,0.11392405063291139,0.025052192066805846,0.784,0.0,0.0,0.0,0.0,0.0,0.375,no,2.8263272683875487,0.055917969723496379,4
71,Bjorn Nord,0.7142857142857143,EURO,0.35714285714285715,0.27884615384615385,D,2000,289,1,0.9,0.3150684931506849,0.21568627450980393,0.2848101265822785,0.1544885177453027,0.544,0.43333333333333335,0.19047619047619047,0.07692307692307693,0.13043478260869565,0.06666666666666667,0.5,no,3.5152529449650727,0.028881340222505703,5
74,Niklas Eckerblom,0.0,EURO,0.42857142857142855,0.46153846153846156,R,2002,204,0.430622009569378,0.35555555555555557,0.2054794520547945,0.058823529411764705,0.13291139240506328,0.0709812108559499,0.536,0.0,0.0,0.0,0.0,0.0,0.375,no,3.569782158688197,0.027390613725397847,2
85,Kristofer Ottosson,0.42857142857142855,EURO,0.21428571428571427,0.23076923076923078,C,2000,148,1,0.6111111111111112,0.3698630136986301,0.14705882352941177,0.26582278481012656,0.025052192066805846,0.712,0.43333333333333335,0.3333333333333333,0.07692307692307693,0.1956521739130435,0.016666666666666666,0.875,no,6.749202083919792,0.0011704427158379812,5
90,Matthias Trattnig,0.07142857142857142,EURO,0.42857142857142855,0.49038461538461536,D,1998,94,0.20095693779904306,0.37777777777777777,0.1095890410958904,0.08823529411764706,0.10759493670886076,0.06263048016701461,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,0.029413332662588054,0.49264719692958259,3
99,Erik Leverstrom,0.07142857142857142,EURO,0.5,0.46153846153846156,D,1999,168,0.35406698564593303,0.35555555555555557,0.0410958904109589,0.09803921568627451,0.08227848101265822,0.09603340292275574,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,0.5418121639887348,0.36776612752077098,3
102,Par Backer,0.0,EURO,0.42857142857142855,0.17307692307692307,C,2000,187,1,0.5111111111111111,0.1643835616438356,0.09803921568627451,0.13924050632911392,0.05010438413361169,0.44,0.0,0.0,0.0,0.0,0.0,0.375,no,4.845288259074783,0.0078039689237424312,2
118,Johan Halvardsson,0.14285714285714285,EURO,0.5714285714285714,0.4230769230769231,D,1999,102,0.3492822966507177,0.43333333333333335,0.0136986301369863,0.0196078431372549,0.0189873417721519,0.1524008350730689,0.6,0.0,0.0,0.0,0.0,0.0,0.375,no,3.2376859570414895,0.037771904934642622,4
137,Rastislav Pavlikovsky,0.21428571428571427,EURO,0.2857142857142857,0.3557692307692308,C,1998,246,1,0.8666666666666667,0.2602739726027397,0.29411764705882354,0.310126582278481,0.1127348643006263,0.672,0.06666666666666667,0.0,0.0,0.0,0.05,0.3333333333333333,no,3.4122702710881665,0.031914181364140898,1
151,David Ytfeldt,0.07142857142857142,EURO,0.35714285714285715,0.2980769230769231,D,1998,136,1,0.4888888888888889,0.1780821917808219,0.09803921568627451,0.14556962025316456,0.26931106471816285,0.544,0.0,0.0,0.0,0.0,0.0,0.375,no,4.314826270049507,0.013192502976064165,2
175,Jan Sandstrom,0.21428571428571427,EURO,0.35714285714285715,0.33653846153846156,D,1999,173,1,0.5222222222222223,0.0273972602739726,0.06862745098039216,0.056962025316455694,0.037578288100208766,0.608,0.0,0.0,0.0,0.0,0.0,0.375,no,3.822942368939472,0.021395596078627274,4
187,Andreas Lindstrom,0.0,EURO,0.7857142857142857,0.5288461538461539,L,2000,279,1,0.1,0.0273972602739726,0.0196078431372549,0.02531645569620253,0.029227557411273485,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,2.665541181590455,0.065037573779487337,3
