Overall,Round,Player,Nat.,Pos,Draft Year
44,2,Aaron Palushaj,US,F,2007
44,2,Drew Shore,US,C,2009
45,2,Mike Ribeiro,CA,C,1998
45,2,Patrice Bergeron,CA,C,2003
45,2,Ryan Garlock,CA,C,2004
45,2,Guillaume Latendresse,CA,F,2005
45,2,Zac Dalpe,CA,F,2008
45,2,Ryan Spooner,CA,C,2010
45,2,Martin Podlesak,EU,C,2001
45,2,Markus Granlund,SCN,C,2011
45,2,Nick Sorensen,SCN,F,2013
45,2,Jeremy Morin,US,F,2009
46,2,Justin Papineau,CA,C,1998
46,2,Mike Zigomanis,CA,C,2001
46,2,Raphael Bussieres,CA,F,2012
46,2,Dimitri Levinski,RU,F,1999
46,2,Dan Fritsche,US,C,2003
46,2,Adam Pineault,US,F,2004
47,2,Norm Milley,CA,F,1998
47,2,Sheldon Keefe,CA,F,1999
47,2,Jared Aulin,CA,F,2000
47,2,Blake Comeau,CA,F,2004
47,2,Shawn Matthias,CA,C,2006
47,2,Dana Tyrell,CA,F,2007
47,2,Ethan Werek,CA,C,2009
47,2,Tyler Toffoli,CA,C,2010
47,2,Brock McGinn,CA,F,2012
47,2,Max Sauve,EU,C,2008
47,2,Alexander Polushin,RU,C,2001
47,2,Alexei Kaigorodov,RU,C,2002
47,2,Tom Fritsche,US,F,2005
47,2,Matthew Nieto,US,F,2011
48,2,Dane Byers,CA,F,2004
48,2,Zach Nastasiuk,CA,F,2013
48,2,Philip Gogulla,EU,F,2005
48,2,Alexei Shkotov,RU,F,2002
48,2,Dmitri Chernykh,RU,F,2003
48,2,Tuomas Pihlman,SCN,F,2001
48,2,Mitch Wahl,US,C,2008
48,2,Curtis Hamilton,US,F,2010
49,2,Brett Lysak,CA,C,1999
49,2,Mike Cammalleri,CA,F,2001
49,2,Ben Maxwell,CA,C,2006
49,2,Jared Staal,CA,F,2008
49,2,Gabryel Boudreau,CA,F,2013
49,2,Martin Frk,EU,F,2012
49,2,Jonas Nordqvist,SCN,C,2000
49,2,Carl Soderberg,SCN,C,2004
50,2,Brett Clouthier,CA,F,1999
50,2,Chris Thorburn,CA,F,2001
50,2,Dany Roussin,CA,C,2005
50,2,Milan Lucic,CA,F,2006
50,2,Colton Sissons,CA,C,2012
50,2,Jaroslav Kristek,EU,F,1998
50,2,Sergei Soin,RU,C,2000
50,2,Sergei Anshakov,RU,F,2002
50,2,Enver Lisin,RU,F,2004
50,2,Johan Sundstrom,SCN,C,2011
50,2,Nico Sacchetti,US,C,2007
50,2,Kenny Ryan,US,F,2009
50,2,Connor Brickley,US,C,2010
51,2,Bruce Graham,CA,C,2004
51,2,Mason Raymond,CA,F,2005
51,2,Keven Veilleux,CA,C,2007
51,2,Jaroslav Bednar,EU,F,2001
51,2,Calle Jarnkrok,SCN,C,2010
51,2,Matt Murley,US,F,1999
51,2,Kris Vernarsky,US,C,2000
51,2,Colin McDonald,US,F,2003
51,2,Derek Stepan,US,C,2008
51,2,Alexander Ruuttu,US,C,2011
52,2,Shane Endicott,CA,C,2000
52,2,Raymond Sawada,CA,F,2004
52,2,Chris Durand,CA,C,2005
52,2,Richard Panik,EU,F,2009
52,2,Teddy Blueger,RU,C,2012
52,2,Oscar Moller,SCN,C,2007
52,2,Miikka Salomaki,SCN,F,2011
52,2,Adam Hall,US,F,1999
52,2,Ed Caron,US,C,2001
52,2,Phil Lane,US,F,2010
52,2,Justin Bailey,US,F,2013
53,2,Steve Moore,CA,C,1998
53,2,Brad Ralph,CA,F,1999
53,2,Kiel McLeod,CA,C,2001
53,2,Andrew Kozek,CA,F,2005
53,2,Alexander Tatarinov,RU,F,2000
53,2,Evgeny Tunik,RU,C,2003
53,2,Anton Rodin,SCN,F,2009
53,2,William Karlsson,SCN,C,2011
53,2,Barry Tallackson,US,F,2002
53,2,David Booth,US,F,2004
53,2,Brian Hart,US,F,2012
54,2,Dan Bertram,CA,F,2005
54,2,Patrice Cormier,CA,C,2008
54,2,Mike Winther,CA,C,2012
54,2,Jakub Sindel,EU,C,2004
54,2,Alexander Zevakhin,RU,F,1998
54,2,Artem Anisimov,RU,C,2006
54,2,B.J. Crombeen,US,F,2003
55,2,Ryan Barnes,CA,F,1998
55,2,Antoine Vermette,CA,C,2000
55,2,Jason Pominville,CA,F,2001
55,2,Stefan Meyer,CA,F,2003
55,2,Victor Oreskovich,CA,F,2004
55,2,T.J. Galiardi,CA,F,2007
55,2,Chris Tierney,CA,C,2012
55,2,Petr Straka,EU,F,2010
55,2,Artturi Lehkonen,SCN,F,2013
56,2,Matt Zultek,CA,F,1999
56,2,Patrick O'Sullivan,CA,C,2003
56,2,Marc-Andre Cliche,CA,C,2005
56,2,Lucas Lessio,CA,F,2011
56,2,Marc-Olivier Roy,CA,C,2013
56,2,Akim Aliu,CA,F,2007
56,2,Tomek Valtonen,EU,F,1998
56,2,Alexander Suglobov,RU,F,2000
56,2,Vladislav Yevseyev,RU,F,2002
56,2,Johan Larsson,SCN,F,2010
56,2,Blake Geoffrion,US,C,2006
56,2,Danny Kristo,US,F,2008
56,2,Kevin Lynch,US,C,2009
56,2,Sam Kurker,US,F,2012
57,2,Tyler Bouck,CA,C,1998
57,2,Jay McClement,CA,C,2001
57,2,Matt Stajan,CA,C,2002
57,2,Matt Kassian,CA,F,2005
57,2,Alexandre Mallet,CA,F,2012
57,2,William Carrier,CA,F,2013
57,2,Oscar Lindberg,SCN,C,2010
57,2,Geoff Paukovich,US,F,2004
57,2,Mike Hoeffel,US,F,2007
58,2,Jeremy Colliton,CA,C,2003
58,2,Nick Spaling,CA,C,2007
58,2,Jordan Martinook,CA,F,2012
58,2,Tyler Bertuzzi,CA,F,2013
58,2,Jiri Hudler,EU,C,2002
58,2,Alexander Vasyunov,RU,F,2006
58,2,Dmitry Kugryshev,RU,F,2008
58,2,Nikita Kucherov,RU,F,2011
58,2,Chris Bala,US,F,1998
59,3,Todd Hornung,CA,C,1998
59,2,Matt Keith,CA,F,2001
59,2,Codey Burki,CA,C,2006
59,2,Brandon Pirri,CA,C,2009
59,2,Ivan Huml,EU,F,2000
59,2,David Inman,US,C,1999
59,2,Jason Zucker,US,F,2010
59,2,Cristoval Nieves,US,C,2012
60,2,Adam Henrich,CA,F,2002
60,2,Marc-Andre Bernier,CA,F,2003
60,2,Tomas Tatar,EU,C,2009
60,3,Denis Arkhipov,RU,C,1998
60,2,Ruslan Bashkirov,RU,F,2007
60,2,Jesse Joensuu,SCN,F,2006
60,2,Brandon Dubinsky,US,C,2004
60,2,Jimmy Hayes,US,F,2008
60,2,Mario Lucia,US,F,2011
61,2,Maxim Lapierre,CA,C,2003
61,2,Wayne Simmonds,CA,F,2007
61,3,Ryan Martindale,CA,C,2010
61,2,Devin Shore,CA,C,2012
61,2,Michael Gergen,US,F,2005
61,2,Shane Prince,US,C,2011
61,2,Zachary Sanford,US,F,2013
62,3,Greg McKegg,CA,C,2010
62,3,Pavel Laplante,CA,C,2013
62,2,Igor Grigorenko,RU,F,2001
62,2,Andrei Mikhnov,RU,C,2002
62,2,Mikhail Yunkov,RU,C,2004
62,2,Teemu Sainomaa,SCN,F,1999
62,2,Dick Axelsson,SCN,F,2006
62,2,David Backes,US,C,2003
62,3,Justin Daniels,US,C,2008
63,3,Jason Bailey,CA,F,2005
63,3,Maxime Macenauer,CA,C,2007
63,3,Jujhar Khaira,CA,F,2012
63,2,Tomas Fleischmann,EU,F,2002
63,2,David Krejci,EU,C,2004
63,3,Robert Czarnik,US,C,2008
63,3,Ben Hanowski,US,F,2009
64,3,Brad Richards,CA,C,1998
64,3,Joe Barnes,CA,C,2005
64,3,Danick Paquette,CA,F,2008
64,3,Max Reinhart,CA,C,2010
64,2,Martins Karsums,RU,F,2004
64,3,Sergei Korostin,RU,F,2007
64,3,Jason Ryznar,US,F,2002
64,3,Vincent Trocheck,US,C,2011
64,3,Tim Bozon,US,F,2012
65,3,Eric Laplante,CA,F,1998
65,2,Dave Morisset,CA,F,2000
65,2,Mark Tobin,CA,F,2004
65,3,Olivier Fortier,CA,C,2007
65,3,Joseph Cramarossa,CA,C,2011
65,3,Adam Tambellini,CA,C,2013
65,2,Branislav Fabry,EU,F,2003
65,3,Kirill Kabanov,RU,F,2010
65,3,Jori Lehtera,SCN,C,2008
65,3,Joonas Nattinen,SCN,C,2009
66,3,Brodie Dupont,CA,C,2005
66,3,Ryan White,CA,C,2006
66,3,Garrett Klotz,CA,F,2007
66,3,David Toews,CA,C,2008
66,3,Petr Kanko,EU,F,2002
66,3,Fedor Fedorov,RU,C,2001
66,2,Masi Marjamaki,SCN,F,2003
66,3,T.J. Tynan,US,C,2011
66,3,Jimmy Vesey,US,F,2012
67,3,Gregory Campbell,CA,F,2002
67,3,Nick Johnson,CA,F,2004
67,3,Spencer Machacek,CA,F,2007
67,3,Robin Leblanc,EU,F,2001
67,3,Max Birbraer,RU,F,2000
67,2,Igor Mirnov,RU,F,2003
67,3,Josh Birkholz,US,F,2009
67,3,Adam Lowry,US,F,2011
67,3,Mackenzie MacEachern,US,F,2012
68,2,Jean-Francois Jacques,CA,F,2003
68,3,Adam Berti,CA,F,2004
68,3,Evan Brophey,CA,C,2005
68,3,Jamie Devane,CA,F,2009
68,3,Nick Cousins,CA,C,2011
68,3,Zdenek Blatny,EU,F,1999
68,3,Jarkko Ruutu,SCN,F,1998
68,3,Joel Lundqvist,SCN,C,2000
68,3,Jake Hansen,US,F,2007
69,3,Ben Knopp,CA,F,2000
69,3,Joel Stepp,CA,C,2001
69,3,Erik Christensen,CA,C,2002
69,3,Colin Fraser,CA,C,2003
69,3,Maxime Tanguay,CA,C,2007
69,3,Reilly Smith,CA,F,2009
69,3,Joe Basaraba,CA,F,2010
69,3,Nicholas Baptiste,CA,F,2013
70,3,Jonathan Filewich,CA,F,2003
70,3,Brandon Prust,CA,F,2004
70,3,James Livingston,CA,F,2008
70,3,Taylor Beck,CA,F,2009
70,3,Jordan Weal,CA,C,2010
70,3,Scott Kosmachuk,CA,F,2012
70,3,Niklas Hagman,SCN,F,1999
70,3,Yared Hagos,SCN,C,2001
70,3,Robin Figren,SCN,F,2006
71,3,Jason Jaspers,CA,C,1999
71,3,Thatcher Bell,CA,C,2000
71,3,Rich Clune,CA,F,2005
71,3,Brad Marchand,CA,F,2006
71,3,Josh Brittain,CA,F,2008
71,3,Michael Bournival,CA,F,2010
71,3,Tanner Richard,CA,C,2012
71,3,Connor Crisp,CA,F,2013
71,3,Tomas Plekanec,EU,F,2001
71,3,Evgeni Dadonov,RU,F,2007
71,3,Erik Cole,US,F,1998
72,3,Brandon Nolan,CA,F,2001
72,3,Cal Clutterbuck,CA,F,2006
72,3,Michael Latta,CA,C,2009
72,3,Troy Bourke,CA,F,2012
72,3,Tyrell Goulbourne,CA,F,2013
72,3,Dmitry Afanasenkov,RU,F,1998
72,3,Mikhail Zhukov,RU,F,2003
72,3,Denis Parshin,RU,F,2004
72,3,Mike Erickson,US,F,2002
72,3,Drayson Bowman,US,F,2007
72,3,Steven Fogarty,US,C,2011
73,3,Tim Preston,CA,F,1999
73,3,Daniel Carcillo,CA,F,2003
73,3,Brady Calla,CA,F,2006
73,3,Justin Kea,CA,C,2012
73,3,Ryan Kujawinski,CA,C,2013
73,3,Zdenek Bahensky,EU,F,2004
73,3,Radek Smolenak,EU,F,2005
73,3,Sergei Zinovjev,RU,F,2000
73,3,Kirill Petrov,RU,F,2008
73,3,Pat O'Leary,US,C,1998
74,3,Clarke MacArthur,CA,F,2003
74,3,Dan Ryder,CA,C,2005
74,3,Dale Mitchell,CA,F,2007
74,3,Ryan Howse,CA,F,2009
74,3,Travis Ewanyk,CA,F,2011
74,3,Igor Radulov,RU,F,2000
74,3,Max Gardiner,US,C,2010
74,3,John Hayden,US,C,2013
75,3,Kevin Sundher,CA,C,2010
75,3,Luca Cunti,EU,C,2007
75,3,Andrej Nestrasil,EU,F,2009
75,3,Denis Platonov,RU,F,2001
75,3,Evgeny Grachev,RU,C,2008
75,3,Pavel Buchnevich,RU,F,2013
75,3,Arttu Luttinen,SCN,C,2002
75,3,Perttu Lindgren,SCN,C,2005
75,3,Ken Roche,US,C,2003
75,3,Blake Coleman,US,C,2011
76,3,Michael Tessier,CA,F,2002
76,3,Shea Guthrie,CA,F,2005
76,3,Jason Gregoire,CA,F,2007
76,3,Logan Shaw,CA,F,2011
76,3,Oliver Setzinger,EU,C,2001
76,3,Jakub Culek,EU,F,2010
76,3,Tony Lagerstrom,SCN,C,2006
76,3,Taylor Cammarata,US,C,2013
77,3,Darren McLachlan,CA,F,2001
77,3,Tyler Redenbach,CA,C,2003
77,3,Alex Killorn,CA,C,2007
77,3,Alexander Guptill,CA,F,2010
77,3,Daniel Catenacci,CA,C,2011
77,3,Chandler Stephenson,CA,C,2012
77,3,Vladimir Zharkov,RU,F,2006
77,3,Mike Pandolfo,US,F,1998
77,3,Robert Fried,US,F,2000
77,3,Shawn Weller,US,F,2004
77,3,Jake Guentzel,US,C,2013
78,3,Lance Bouma,CA,C,2008
78,3,Jozef Balej,EU,F,2000
78,3,Peter Olvecky,EU,C,2004
78,3,Sergei Andronov,RU,F,2009
78,3,Peter Nordstrom,SCN,C,1998
78,3,Mattias Weinhandl,SCN,F,1999
78,3,Danny Irmen,US,C,2003
79,3,Garth Murray,CA,C,2001
79,3,Brock Radunske,CA,F,2002
79,3,Jon Matsumoto,CA,C,2006
79,3,Zack Smith,CA,C,2008
79,3,Evgeny Lazarev,RU,F,1998
79,3,Sondre Olden,SCN,C,2010
79,3,Mattias Janmark-Nylen,SCN,C,2013
79,3,Nick Palmieri,US,F,2007
79,3,Chris Calnan,US,F,2012
80,3,David Cameron,CA,C,1998
80,3,Ryan Bayda,CA,F,2000
80,3,Casey Pierro-Zabotel,CA,C,2007
80,3,Andy Andreoff,CA,F,2011
80,3,Anthony Duclair,CA,F,2013
80,3,Dmitri Pestunov,RU,C,2003
80,3,Christofer Lofberg,SCN,C,2005
80,3,Billy Ryan,US,C,2004
80,3,Michael Forney,US,F,2006
80,3,Ryan Bourque,US,C,2009
80,3,Bryan Rust,US,F,2010
81,3,Louis-Marc Aubry,CA,C,2010
81,3,Anthony Camara,CA,F,2011
81,3,Kurtis Gabriel,CA,F,2013
81,3,Stefan Ruzicka,EU,F,2003
81,3,Vaclav Meidl,EU,C,2004
81,3,Alexander Kharitonov,RU,F,2000
81,3,Marcus Jonasen,SCN,F,2002
81,3,Oskar Sundqvist,SCN,C,2012
81,3,Justin Morrison,US,F,1998
81,3,Mike Carman,US,C,2006
81,3,Ryan Thang,US,F,2007
82,3,Sean O'Connor,CA,F,2000
82,3,Bryan Cameron,CA,F,2007
82,3,Adam Henrique,CA,C,2008
82,3,Cameron Abney,CA,F,2009
82,3,Jarrod Maidens,CA,C,2012
82,3,Carter Verhaeghe,CA,C,2013
82,3,Sergei Ogorodnikov,RU,C,2004
82,3,Brian Gionta,US,F,1998
82,3,Mark Concannon,US,F,1999
82,3,Jason Clark,US,C,2010
82,3,Nick Shore,US,C,2011
83,3,Viktor Alexandrov,RU,F,2004
83,3,Bogdan Yakimov,RU,C,2013
83,3,Henrik Juntunen,SCN,F,2001
83,3,Mikko Lehtonen,SCN,D,2005
83,3,Steve Werner,US,F,2003
84,3,Ryan Hillier,CA,F,2006
84,3,Steven Hodges,CA,C,2012
84,3,Phil Desimone,US,C,2007
84,3,Jimmy Lodge,US,C,2013
85,3,Ahren Nittel,CA,F,2002
85,3,Brett Sonne,CA,C,2007
85,3,Brandon McMillan,CA,F,2008
85,3,Cody Eakin,CA,C,2009
85,3,Alan Quine,CA,C,2011
85,3,Geoff Koch,US,F,1998
85,3,Brian Gifford,US,C,2004
85,3,Tom Sestito,US,F,2006
85,3,Cole Cassels,US,C,2013
86,3,Yanick Lehoux,CA,C,2000
86,3,Shane Hynes,CA,F,2003
86,3,John Lammers,CA,F,2004
86,3,Bud Holloway,CA,F,2006
86,3,Josh Leivo,CA,F,2011
86,3,Jonas Fiedler,EU,F,2002
86,3,Sven Andrighetto,EU,F,2013
86,3,Stanislav Galiev,RU,F,2010
86,3,Gabriel Karlsson,SCN,C,1998
86,3,Robby Dee,US,C,2005
86,3,Steve Quailer,US,F,2008
87,3,John Armstrong,CA,C,2006
87,3,Ian Schultz,CA,F,2008
87,3,Jan Bohac,EU,C,2000
87,4,Alexei Ponikarovsky,RU,F,1998
87,3,Per Mars,SCN,C,2001
87,3,Frans Nielsen,SCN,C,2002
87,3,Peter Regin,SCN,C,2004
87,3,Brian Collins,US,C,1999
87,3,Ryan Potulny,US,C,2003
88,3,Nicolas Corbeil,CA,C,2001
88,3,Geordie Wudrick,CA,F,2008
88,3,Anton Slepyshev,RU,F,2013
88,3,Jimmie Olvestad,SCN,F,1999
88,3,Jonas Ahnelov,SCN,F,2006
88,3,Joakim Andersson,SCN,C,2007
88,3,Mattias Lindstrom,SCN,F,2009
88,3,T.J. Hensick,US,C,2005
88,3,Max Gaede,US,F,2010
89,4,Ryan Jardine,CA,F,1998
89,3,Paul Brown,CA,F,2003
89,3,Chris Lawrence,CA,C,2005
89,3,Michael Chaput,CA,C,2010
89,3,Brendan Leipsic,CA,F,2012
89,3,Libor Pivko,EU,F,2000
89,3,Tomas Troliga,EU,C,2002
89,3,Scott Winkler,SCN,C,2008
89,3,Oliver Bjorkstrand,SCN,F,2013
89,3,Aaron Marvin,US,F,2006
89,3,Corey Tropp,US,F,2007
89,3,Dan Delisle,US,C,2009
90,3,Owen Fussey,CA,F,2001
90,3,Matthew Lombardi,CA,C,2002
90,3,Aaron Snow,CA,F,2006
90,3,Louie Caporusso,CA,C,2007
90,3,Alexandre Grenier,CA,F,2011
90,3,Peter Cehlarik,EU,F,2013
90,3,Joakim Nordstrom,SCN,C,2010
90,3,Dan Collins,US,F,2005
90,3,Ben Johnson,US,C,2012
91,3,Mike Comrie,CA,C,1999
91,3,Kevin Estrada,CA,F,2001
91,3,J.C. Lipon,CA,F,2013
91,4,Josef Vasicek,EU,C,1998
91,3,Martin Sagat,EU,F,2003
91,3,Alexei Tereschenko,RU,C,2000
91,3,Kaspars Daugavins,RU,F,2006
91,3,Daniil Zharkov,RU,F,2012
91,3,Kyle Rau,US,C,2011
92,4,Eric Beaudoin,CA,F,1998
92,3,Anthony Aquino,CA,F,2001
92,3,Derek Krestanovich,CA,C,2002
92,4,Casey Cizikas,CA,C,2009
92,4,Matia Marcantuoni,CA,C,2012
92,4,Marek Bartanus,EU,F,2005
92,3,Sergei Klyazmin,RU,F,2000
92,3,Rob Bellamy,US,F,2004
92,4,Justin Vaive,US,F,2007
93,3,Stephane Veilleux,CA,F,2001
93,4,Olivier Legault,CA,F,2005
93,3,Harrison Reed,CA,C,2006
93,4,Alex Hutchings,CA,F,2009
93,3,Branko Radivojevic,EU,F,1999
93,3,Alexander Kojevnikov,RU,F,2002
93,3,Ivan Khomutov,RU,C,2003
93,4,Tommy Westlund,SCN,F,1998
93,4,Joachim Nermark,SCN,C,2011
94,3,Chris Kelly,CA,F,1999
94,3,Zack Stortini,CA,F,2003
94,4,Josh Shalla,CA,F,2011
94,4,Jackson Houck,CA,F,2013
94,4,Matthias Trattnig,EU,C,1998
94,3,Alexander Drozdetsky,RU,F,2000
94,3,Evgeny Artyukhin,RU,F,2001
94,4,Maksim Mayorov,RU,F,2007
94,4,Ryan Turek,US,C,2006
94,4,Vinny Saponari,US,F,2008
94,4,Brady Vail,US,C,2012
95,4,Andy Burnham,CA,F,1998
95,3,Dominic Moore,CA,C,2000
95,3,Patrick Sharp,CA,F,2001
95,3,Rick Kozak,CA,F,2003
95,4,Cody Bass,CA,C,2005
95,4,Josh Anderson,CA,F,2012
95,4,Felix Girard,CA,C,2013
95,3,Valtteri Filppula,SCN,C,2002
96,4,Linden Vey,CA,F,2009
96,4,Jean-Gabriel Pageau,CA,C,2011
96,4,Ben Thomson,CA,F,2012
96,4,Kyle Platzer,CA,C,2013
96,3,Mathias Tjarnqvist,SCN,F,1999
96,3,Jeff Genovy,US,F,2002
97,3,Danny Bois,CA,F,2001
97,4,Lance Monych,CA,F,2002
97,3,Ryan Donally,CA,F,2003
97,4,Jamie Arniel,CA,C,2008
97,4,Jordan Szwarz,CA,F,2009
97,4,Craig Cunningham,CA,F,2010
97,4,Kevin Roy,CA,C,2012
97,3,Johan Franzen,SCN,F,2004
97,4,Oskar Osala,SCN,F,2006
97,4,Linus Omark,SCN,F,2007
97,4,Chris VandeVelde,US,C,2005
98,4,David Kaczowka,CA,F,1999
98,4,Jordin Tootoo,CA,F,2001
98,3,Dustin Boyd,CA,C,2004
98,4,Steven Shipley,CA,C,2010
98,4,Matt Buckles,CA,C,2013
98,4,Ivan Tkachenko,RU,F,2002
98,3,Grigory Shafigulin,RU,C,2003
98,4,Ilya Zubov,RU,C,2005
98,4,Mikhail Stefanovich,RU,C,2008
98,4,Jonas Ronnqvist,SCN,F,2000
98,4,Craig Smith,US,C,2009
98,4,Adam Gilmour,US,C,2012
99,4,Shawn Horcoff,CA,C,1998
99,4,Michael Lambert,CA,F,2002
99,4,Tyler Kennedy,CA,C,2004
99,4,Matt Frattin,CA,F,2007
99,4,Joonas Donskoi,SCN,F,2010
99,4,Erik Karlsson2,SCN,C,2012
99,4,Marc Cavosie,US,C,2000
99,4,Patrick Davis,US,F,2005
99,4,Colin Long,US,C,2008
99,4,Reid Boucher,US,F,2011
100,4,Miguel Delisle,CA,F,2000
100,4,Dmitri Kazionov,RU,C,2002
100,4,J.T. Wyman,US,F,2004
100,4,Rhett Rakhshani,US,F,2006
100,4,Travis Erstad,US,C,2007
100,4,A.J. Jenks,US,F,2008
100,4,Andrew Yogan,US,C,2010
100,4,Thomas Di Pauli,US,C,2012
100,4,Miles Wood,US,F,2013
101,4,Cory Stillman,CA,C,2001
101,4,Cedric Paquette,CA,C,2012
101,4,Nicholas Paul,CA,F,2013
101,4,Juraj Kolnik,EU,F,1999
101,4,Petr Schastlivy,RU,F,1998
101,3,Konstantin Zakharov,RU,F,2003
101,4,Ivan Telegin,RU,F,2010
101,4,Toni Rajala,SCN,F,2009
101,4,Jared Boll,US,F,2005
101,4,Matt Rust,US,C,2007
101,4,Justin Jokinen,US,F,2008
101,4,Joseph Labate,US,C,2011
102,4,Shaun Sutter,CA,F,1998
102,4,Brandon Segal,CA,F,2002
102,4,Blair Jones,CA,C,2005
102,4,Justin McCrae,CA,C,2007
102,4,Yannick Veilleux,CA,F,2011
102,4,Timo Parssinen,SCN,F,2001
102,4,David Ullstrom,SCN,C,2008
102,4,Tobias Lindberg,SCN,F,2013
103,4,Kip Brennan,CA,F,1998
103,4,Morgan McCormick,CA,F,1999
103,4,Kevin Jarman,CA,F,2003
103,4,Kris Foucault,CA,F,2009
103,4,Justin Auger,CA,F,2013
103,4,Roman Tomanek,EU,F,2004
103,4,Vladimir Ruzicka,EU,C,2007
103,4,Gregory Hofmann,EU,C,2011
103,4,Tony Virta,SCN,F,2001
103,4,Joonas Vihko,SCN,C,2002
103,4,Mattias Ritola,SCN,F,2005
103,4,Brett Nowak,US,C,2000
104,4,Brian McGrattan,CA,F,1999
104,4,Philippe Dupuis,CA,C,2003
104,4,Ben Winnett,CA,F,2007
104,4,Gemel Smith,CA,C,2012
104,4,Miroslav Zalesak,EU,F,1998
104,4,David Kveton,EU,F,2006
104,4,Fredrik Naslund,SCN,F,2004
104,4,Jon DiSalvatore,US,F,2000
104,4,Marcus Foligno,US,F,2009
104,4,John Gaudreau,US,F,2011
104,4,Andrew Copp,US,C,2013
105,4,Pierre Dagenais,CA,F,1998
105,4,Brad Malone,CA,F,2007
105,4,Justin Shugg,CA,F,2010
105,4,Nick Moutrey,CA,C,2013
105,4,Alexandr Chagodayev,RU,C,1999
105,4,Vladimir Gorbunov,RU,F,2000
105,4,Niko Snellman,SCN,F,2006
105,4,Emil Molin,SCN,F,2011
106,4,Krys Barch,CA,F,1998
106,4,Chad Painchaud,CA,F,2004
106,4,Michael St. Croix,CA,C,2011
106,4,Vladimir Sobotka,EU,C,2005
106,4,Maxim Gratchev,RU,F,2007
106,4,Marcus Sorensen,SCN,F,2010
107,4,Carl Mallette,CA,C,2000
107,4,Byron Bitz,CA,F,2003
107,4,Nick Fugere,CA,F,2004
107,4,Tom Pyatt,CA,C,2005
107,4,Mitch Fadden,CA,C,2007
107,4,Garrett Wilson,CA,F,2009
107,4,Chris Corrinet,US,F,1998
107,4,Colin Jacobs,US,C,2011
107,4,Austin Wuthrich,US,F,2012
108,4,Mirko Murovic,CA,F,1999
108,4,Blake Robson,CA,C,2000
108,4,Ashton Rome,CA,F,2004
108,4,Tyler Shattock,CA,F,2009
108,4,Olivier Archambault,CA,F,2011
108,4,Jakub Hulva,EU,F,2002
108,4,Kevin Romy,EU,C,2003
108,4,Tomi Maki,SCN,F,2001
108,4,Brett Bruneteau,US,C,2007
108,4,Nicholas Larson,US,F,2008
108,4,Bill Arnold,US,C,2010
109,4,Jevon Desautels,CA,F,2002
109,4,Dwight King,CA,F,2007
109,4,Christophe Lalancette,CA,F,2012
109,4,David Pope,CA,F,2013
109,4,Alexander Avtsin,RU,F,2009
109,4,Maxim Shalunov,RU,F,2011
109,4,Johan Eneqvist,SCN,F,2000
109,4,Andreas Valdix,SCN,F,2003
109,4,Andre Petersson,SCN,F,2008
110,4,Kyle Bailey,CA,C,2005
110,4,Kelsey Tessier,CA,C,2008
110,4,Andreas Athanasiou,CA,C,2012
110,4,Ned Lukacevic,CA,F,2004
110,4,Tom Kuhnhackl,EU,C,2010
110,4,Jarkko A. Immonen,SCN,C,2002
110,4,Nick Oliver,US,C,2009
110,4,Michael Mersch,US,F,2011
111,4,Brent Hobday,CA,C,1998
111,4,Ryan Jones,CA,F,2004
111,4,J.D. Watt,CA,F,2005
111,4,Luca Caputi,CA,F,2007
111,4,Dale Weise,CA,F,2008
111,4,Kale Kessy,CA,F,2011
111,4,Jonas Almtorp,SCN,C,2002
111,4,Henrik Bjorklund,SCN,F,2009
111,4,Teemu Pulkkinen,SCN,F,2010
111,4,Willie Levesque,US,F,1999
112,4,Milan Gajic,CA,C,2001
112,4,Jamie Tardif,CA,F,2003
112,4,Liam Reddox,CA,F,2004
112,4,Matt Beleskey,CA,F,2006
112,4,Colton Sceviour,CA,F,2007
112,4,Yuri Artemenkov,RU,F,2002
112,4,Lane MacDermid,US,F,2009
112,4,Zach Stepan,US,C,2012
112,4,Zach Pochiro,US,F,2013
113,4,Lou Dickenson,CA,C,2000
113,4,Scott Dobben,CA,C,2002
113,4,Corey Locke,CA,C,2003
113,4,Mark MacMillan,CA,F,2010
113,4,Aidan Muir,CA,F,2013
113,4,Roman Kukumberg,EU,C,2004
113,4,Nathan Davis,US,C,2005
114,4,Boyd Kane,CA,F,1998
114,4,Christian Larrivee,CA,C,2000
114,4,Patrick Bordeleau,CA,F,2004
114,4,Tobias Rieder,EU,C,2011
114,4,Evgeny Gladskikh,RU,F,2001
114,4,Alexander Delnov,RU,F,2012
114,4,John Laliberte,US,F,2002
114,4,Ben Ryan,US,C,2007
115,4,Mark Rooneem,CA,F,2002
115,4,Liam Lindstrom,CA,C,2003
115,4,Tomas Marcinko,EU,C,2006
115,4,Marek Tvrdon,EU,F,2011
115,4,Janne Kolehmainen,SCN,F,2005
115,4,Niclas Lucenius,SCN,C,2007
115,4,Ryan Malone,US,F,1999
116,4,Ryan Lauzon,CA,C,1999
116,4,Guillaume Desbiens,CA,F,2003
116,4,Michal Birner,EU,F,2004
116,4,Martin Reway,EU,F,2013
116,4,Alex Fallstrom,SCN,F,2009
116,4,Patrick Dwyer,US,F,2002
116,4,Jordan Smotherman,US,F,2005
117,4,Matt Halischuk,CA,F,2007
117,4,James Wright,CA,C,2008
117,4,Taylor Leier,CA,F,2012
