name,Draft.Year,Overall,Round,Age,Draft_Age,D3_Nat,D4_Nat,D1_Pos,D2_Pos,CareerGP,Yr1GP,Yr1TOI,Yr1Pts,Yr2GP,Yr2TOI,Yr2Pts,Yr3GP,Yr3TOI,Yr3Pts,Yr4GP,Yr4TOI,Yr4Pts,Yr5GP,Yr5TOI,Yr5Pts,Yr6GP,Yr6TOI,Yr6Pts,Yr7GP,Yr7TOI,Yr7Pts,Great_160
Michael Latta,2009,72,3,24,18,1,0,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,17,131,4,53,444,6,NA,NA,NA,0
Mike Hoffman,2009,130,5,25,19,1,0,0,0,108,0,0,0,0,0,0,1,9,0,3,37,0,25,330,6,79,1150,48,NA,NA,NA,0
Nazem Kadri,2009,7,1,25,18,1,0,1,0,250,1,17,0,29,457,12,21,297,7,48,771,44,78,1356,50,73,1285,39,NA,NA,NA,1
Nicolas Deslauriers,2009,84,3,24,18,1,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,17,223,1,82,973,15,NA,NA,NA,0
Peter Holland,2009,15,1,24,18,1,0,1,0,130,0,0,0,0,0,0,4,31,1,21,243,5,43,488,11,62,900,25,NA,NA,NA,0
Philip Varone,2009,147,5,24,18,1,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,9,103,2,28,376,5,NA,NA,NA,0
Reilly Smith,2009,69,3,24,18,1,0,0,0,203,0,0,0,0,0,0,3,25,0,37,404,9,82,1206,51,81,1247,40,NA,NA,NA,1
Ryan Ellis,2009,11,1,24,18,1,0,0,1,202,0,0,0,0,0,0,32,474,11,32,524,6,80,1285,27,58,1101,27,NA,NA,NA,1
Ryan O'Reilly,2009,33,2,24,18,1,0,1,0,427,81,1358,26,74,1188,26,81,1582,55,29,537,20,80,1586,64,82,1617,55,NA,NA,NA,1
Scott Glennie,2009,8,1,24,18,1,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Scott Timmins,2009,165,6,26,20,1,0,1,0,24,0,0,0,19,206,1,5,53,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Simon Despres,2009,30,1,24,18,1,0,0,1,160,0,0,0,0,0,0,18,256,4,33,499,7,34,569,5,75,1265,23,NA,NA,NA,1
Stefan Elliott,2009,49,2,24,18,1,0,0,1,63,0,0,0,0,0,0,39,669,13,18,315,4,1,17,1,5,70,0,NA,NA,NA,0
Taylor Beck,2009,70,3,24,18,1,0,0,0,85,0,0,0,0,0,0,0,0,0,16,258,7,7,90,0,62,740,16,NA,NA,NA,0
Tyson Barrie,2009,64,3,24,18,1,0,0,1,186,0,0,0,0,0,0,10,176,0,32,691,13,64,1187,38,80,1709,53,NA,NA,NA,1
Zack Kassian,2009,13,1,24,18,1,0,0,0,198,0,0,0,0,0,0,44,497,10,39,526,11,73,944,29,42,530,16,NA,NA,NA,1
Adam Henrique,2008,82,3,25,18,1,0,1,0,269,0,0,0,0,0,0,1,13,0,74,1344,51,42,769,16,77,1390,43,75,1331,43,1
Alex Pietrangelo,2008,4,1,25,18,1,0,0,1,386,8,132,1,9,149,2,79,1738,43,81,2003,51,47,1180,24,81,2054,51,81,2058,46,1
Andrew Campbell,2008,74,3,27,20,1,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,33,579,1,0
Andrew MacWilliam,2008,188,7,25,18,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,185,2,0
Brandon McMillan,2008,85,3,25,18,1,0,0,0,171,0,0,0,0,0,0,60,844,21,25,280,4,6,52,1,22,277,6,58,607,4,1
