name,CareerGP,NumSeasons,AvgGP,CareerTOI,AvgTOI,CareerPts,Overall,Round,Age,D1_Pos,D2_Pos,Great_160,Great_120,Draft Year
Max Gordichuk,0,0,0,0,0,0,177,6,29,0,1,0,0,2004
Max McCormick,0,0,0,0,0,0,171,6,23,0,0,0,0,2011
Max Nicastro,0,0,0,0,0,0,91,3,25,0,1,0,0,2008
Max Pacioretty,399,7,57,6749,16.91478697,280,22,1,26,0,0,1,1,2007
Max Reinhart,23,3,7.666666667,277,12.04347826,5,64,3,23,1,0,0,0,2010
Max Sauve,1,1,1,4,4,0,47,2,25,1,0,0,0,2008
Max Tardy,0,0,0,0,0,0,202,,24,1,0,0,0,2009
Max Warn,0,0,0,0,0,0,150,5,27,0,0,0,0,2006
Maxim Chudinov,0,0,0,0,0,0,195,7,25,0,1,0,0,2010
Maxim Goncharov,0,0,0,0,0,0,123,5,26,0,1,0,0,2007
Maxim Gratchev,0,0,0,0,0,0,106,4,26,0,0,0,0,2007
Maxim Kitsyn,0,0,0,0,0,0,158,6,23,0,0,0,0,2010
Maxim Kondratiev,40,3,13.33333333,611,15.275,3,168,6,32,0,1,0,0,2001
Maxim Lapierre,614,10,61.4,7411,12.07003257,139,61,2,30,1,0,1,1,2003
Maxim Linnik,0,0,0,0,0,0,41,2,35,0,1,0,0,1998
Maxim Orlov,0,0,0,0,0,0,219,8,34,1,0,0,0,1999
Maxim Rybin,0,0,0,0,0,0,141,5,34,0,0,0,0,1999
Maxim Scheviev,0,0,0,0,0,0,178,,31,1,0,0,0,2002
Maxim Semenov,0,0,0,0,0,0,220,7,31,0,1,0,0,2004
Maxim Shalunov,0,0,0,0,0,0,109,4,22,0,0,0,0,2011
Maxim Spiridonov,0,0,0,0,0,0,241,9,37,0,0,0,0,1998
Maxim Sushinsky,30,1,30,420,14,11,132,5,41,0,0,0,0,2000
Maxim Trunev,0,0,0,0,0,0,138,5,24,0,0,0,0,2008
Maxime Frechette,0,0,0,0,0,0,142,5,27,0,1,0,0,2006
Maxime Lacroix,0,0,0,0,0,0,127,5,28,0,0,0,0,2006
Maxime Legault,0,0,0,0,0,0,194,7,26,0,0,0,0,2009
Maxime Macenauer,29,1,29,314,10.82758621,4,63,3,26,1,0,0,0,2007
Maxime Talbot,666,10,66.6,9635,14.46696697,197,234,8,31,1,0,1,1,2002
Maxime Tanguay,0,0,0,0,0,0,69,3,26,1,0,0,0,2007
Michael Bournival,89,2,44.5,848,9.528089888,19,71,3,23,0,0,0,0,2010
Michael Caruso,2,1,2,16,8,0,103,4,27,0,1,0,0,2006
Michael Chaput,50,2,25,488,9.76,6,89,3,23,1,0,0,0,2010
Michael Cichy,0,0,0,0,0,0,199,7,25,1,0,0,0,2009
Michael Del Zotto,381,6,63.5,7784,20.43044619,158,20,1,25,0,1,1,1,2008
Michael Forney,0,0,0,0,0,0,80,3,27,0,0,0,0,2006
Michael Frolik,512,7,73.14285714,8010,15.64453125,235,10,1,27,0,0,1,1,2006
Michael Funk,9,2,4.5,63,7,2,43,2,29,0,1,0,0,2004
Michael Gergen,0,0,0,0,0,0,61,2,28,0,0,0,0,2005
Michael Grabner,317,6,52.83333333,4650,14.66876972,155,14,1,28,0,0,1,1,2006
Michael Grenzy,0,0,0,0,0,0,275,9,31,0,1,0,0,2003
Michael Henrich,0,0,0,0,0,0,13,1,35,0,0,0,0,1998
Michael Hutchins,0,0,0,0,0,0,288,9,32,0,1,0,0,2002
Michael Jacobsen,0,0,0,0,0,0,134,5,34,0,1,0,0,1999
Michael Lambert,0,0,0,0,0,0,99,4,31,0,0,0,0,2002
Michael Latta,70,2,35,575,8.214285714,10,72,3,24,1,0,0,0,2009
Michael Mersch,0,0,0,0,0,0,110,4,22,0,0,0,0,2011
Michael Neal,0,0,0,0,0,0,149,5,26,0,0,0,0,2007
Michael Paliotta,1,1,1,13,13,1,70,3,22,0,1,0,0,2011
Michael Parks,0,0,0,0,0,0,149,5,23,0,0,0,0,2010
Michael Pelech,0,0,0,0,0,0,156,6,25,1,0,0,0,2009
Michael Ryan,83,3,27.66666667,863,10.39759036,15,32,2,35,1,0,0,0,1999
Michael Ryder,806,11,73.27272727,12508,15.51861042,484,216,8,35,0,0,1,1,1998
Michael Sauer,98,3,32.66666667,1715,17.5,18,40,2,28,0,1,0,0,2005
Michael Schumacher,0,0,0,0,0,0,200,7,22,0,0,0,0,2011
Michael Sdao,0,0,0,0,0,0,191,7,26,0,1,0,0,2009
