name,CareerGP,NumSeasons,AvgGP,CareerTOI,AvgTOI,CareerPts,Overall,Round,Age,D1_Pos,D2_Pos,Great_160,Great_120,Draft Year
Nicolas Deslauriers,99,2,49.5,1196,12.08080808,16,84,3,24,0,1,0,0,2009
Nigel Dawes,212,5,42.4,2782,13.12264151,84,149,5,30,0,0,1,1,2003
Nigel Williams,0,0,0,0,0,0,51,2,27,0,1,0,0,2006
Nik Antropov,788,13,60.61538462,12468,15.82233503,465,10,1,35,1,0,1,1,1998
Nikita Alexeev,159,3,53,2004,12.60377358,37,8,1,33,0,0,0,1,2000
Nikita Filatov,53,4,13.25,541,10.20754717,14,6,1,25,0,0,0,0,2008
Nikita Korovkin,0,0,0,0,0,0,192,6,31,0,1,0,0,2002
Nikita Kucherov,134,2,67,1908,14.23880597,83,58,2,22,0,0,0,1,2011
Nikita Nesterov,27,1,27,433,16.03703704,7,148,5,22,0,1,0,0,2011
Nikita Nikitin,248,5,49.6,4848,19.5483871,75,136,5,29,0,1,1,1,2004
Niklas Eckerblom,0,0,0,0,0,0,204,7,31,1,0,0,0,2002
Niklas Hagman,770,10,77,11195,14.53896104,301,70,3,35,0,0,1,1,1999
Niklas Hjalmarsson,469,8,58.625,9357,19.95095949,101,108,4,28,0,1,1,1,2005
Niklas Kronwall,674,11,61.27272727,15124,22.43916914,339,29,1,34,0,1,1,1,2000
Niko Dimitrakos,158,4,39.5,1990,12.59493671,62,155,5,36,0,0,0,1,1999
Niko Kapanen,397,6,66.16666667,5282,13.30478589,126,173,6,37,1,0,1,1,1998
Niko Snellman,0,0,0,0,0,0,105,4,27,0,0,0,0,2006
Niko Vainio,0,0,0,0,0,0,259,8,30,0,1,0,0,2003
Nikolai Kulemin,503,7,71.85714286,7930,15.76540755,226,44,2,29,0,0,1,1,2006
Nikolai Lemtyugov,0,0,0,0,0,0,219,7,29,0,0,0,0,2005
Nikolai Zherdev,421,6,70.16666667,7047,16.73871734,261,4,1,30,0,0,1,1,2003
Nils Backstrom,0,0,0,0,0,0,290,9,29,0,1,0,0,2004
Nino Niederreiter,225,4,56.25,2984,13.26222222,76,5,1,23,0,0,1,1,2010
Noah Clarke,21,4,5.25,179,8.523809524,4,250,9,36,0,0,0,0,1999
Noah Welch,75,5,15,927,12.36,9,54,2,33,0,1,0,0,2001
Nolan Yonkman,76,7,10.85714286,756,9.947368421,10,37,2,34,0,1,0,0,1999
Norm Milley,29,4,7.25,268,9.24137931,6,47,2,35,0,0,0,0,1998
Oak Hewer,0,0,0,0,0,0,194,7,35,1,0,0,0,1998
Oleg Minakov,0,0,0,0,0,0,216,7,32,0,0,0,0,2001
Oleg Saprykin,325,7,46.42857143,4181,12.86461538,137,11,1,34,0,0,1,1,1999
Oleg Smirnov,0,0,0,0,0,0,144,5,35,0,0,0,0,1998
Ole-Kristian Tollefsen,163,5,32.6,2079,12.75460123,12,65,3,31,0,1,1,1,2002
Oliver Ekman-Larsson,340,5,68,7879,23.17352941,154,6,1,24,0,1,1,1,2009
Oliver Lauridsen,16,2,8,237,14.8125,3,196,7,26,0,1,0,0,2009
Oliver Setzinger,0,0,0,0,0,0,76,3,32,1,0,0,0,2001
Olivier Archambault,0,0,0,0,0,0,108,4,22,0,0,0,0,2011
Olivier Fortier,0,0,0,0,0,0,65,3,26,1,0,0,0,2007
Olivier Legault,0,0,0,0,0,0,93,4,28,0,0,0,0,2005
Olivier Magnan,18,1,18,283,15.72222222,0,148,5,29,0,1,0,0,2006
Olli Malmivaara,2,1,2,18,9,0,117,4,33,0,1,0,0,2000
Ondrej Fiala,0,0,0,0,0,0,40,2,27,1,0,0,0,2006
Ondrej Nemec,0,0,0,0,0,0,35,2,31,0,1,0,0,2002
Ondrej Otcenas,0,0,0,0,0,0,123,4,28,1,0,0,0,2005
Ondrej Palat,170,3,56.66666667,2932,17.24705882,126,208,7,24,0,0,1,1,2011
Ondrej Roman,0,0,0,0,0,0,136,5,26,1,0,0,0,2007
Oscar Hedman,0,0,0,0,0,0,132,5,29,0,1,0,0,2004
Oscar Klefbom,77,2,38.5,1589,20.63636364,23,19,1,22,0,1,0,0,2011
Oscar Lindberg,1,1,1,8,8,0,57,2,23,1,0,0,0,2010
Oscar Moller,87,3,29,1017,11.68965517,26,52,2,26,1,0,0,0,2007
Oskar Osala,3,2,1.5,24,8,0,97,4,27,0,0,0,0,2006
Oskari Korpikari,0,0,0,0,0,0,217,7,31,0,1,0,0,2003
Oskars Bartulis,66,2,33,910,13.78787879,9,91,3,28,0,1,0,0,2005
Ossi Louhivaara,0,0,0,0,0,0,260,8,32,0,0,0,0,2003
Ossi Vaananen,479,7,68.42857143,8555,17.86012526,68,43,2,35,0,1,1,1,1998
Owen Fussey,4,1,4,33,8.25,1,90,3,32,0,0,0,0,2001
P.A. Parenteau,347,7,49.57142857,6014,17.3314121,227,264,9,32,0,0,1,1,2001
P.J. Atherton,0,0,0,0,0,0,170,6,33,0,1,0,0,2002
P.J. Fenton,0,0,0,0,0,0,162,,30,0,0,0,0,2005
P.K. Subban,366,6,61,8867,24.22677596,227,43,2,26,0,1,1,1,2007
Pasi Saarinen,0,0,0,0,0,0,256,8,38,0,1,0,0,2000
Pasi Salonen,0,0,0,0,0,0,138,5,29,0,0,0,0,2004
Pat Brosnihan,0,0,0,0,0,0,212,7,29,0,0,0,0,2005
Pat O'Leary,0,0,0,0,0,0,73,3,35,1,0,0,0,1998
Pathrik Westerholm,0,0,0,0,0,0,180,6,23,1,0,0,0,2011
Patric Blomdahl,0,0,0,0,0,0,272,9,31,0,0,0,0,2002
Patric Hornqvist,427,7,61,6781,15.88056206,267,230,7,28,0,0,1,1,2005
Patrice Bergeron,740,11,67.27272727,13799,18.6472973,550,45,2,30,1,0,1,1,2003
Patrice Cormier,50,5,10,367,7.34,5,54,2,25,1,0,0,0,2008
Patrick Aufiero,0,0,0,0,0,0,90,3,35,0,1,0,0,1999
Patrick Bordeleau,129,3,43,858,6.651162791,16,114,4,29,0,0,0,1,2004
Patrick Cehlin,0,0,0,0,0,0,126,5,24,0,0,0,0,2010
Patrick Daly,0,0,0,0,0,0,189,7,23,0,1,0,0,2011
Patrick Davis,9,2,4.5,106,11.77777778,1,99,4,28,0,0,0,0,2005
Patrick Dwyer,416,7,59.42857143,5680,13.65384615,93,116,4,32,0,0,1,1,2002
Patrick Eaves,491,10,49.1,6049,12.3197556,173,29,1,31,0,0,1,1,2003
Patrick Foley,0,0,0,0,0,0,185,6,34,0,0,0,0,2000
Patrick Holland,5,1,5,38,7.6,0,193,7,23,0,0,0,0,2010
Patrick Jarrett,0,0,0,0,0,0,138,5,31,1,0,0,0,2002
Patrick Johnson,0,0,0,0,0,0,206,7,26,0,0,0,0,2008
Patrick Kaleta,348,9,38.66666667,3444,9.896551724,54,176,6,29,0,0,1,1,2004
Patrick Kane,576,8,72,11144,19.34722222,557,1,1,26,0,0,1,1,2007
Patrick Koudys,0,0,0,0,0,0,147,5,22,0,1,0,0,2011
Patrick Leahy,50,3,16.66666667,430,8.6,8,122,5,36,0,0,0,0,1998
Patrick Maroon,148,4,37,1929,13.03378378,66,161,6,27,0,0,0,1,2007
Patrick McNally,0,0,0,0,0,0,115,4,23,0,1,0,0,2010
Patrick McNeill,0,0,0,0,0,0,118,4,28,0,1,0,0,2005
Patrick Murphy,0,0,0,0,0,0,211,7,32,0,0,0,0,2002
Patrick O'Sullivan,334,6,55.66666667,5615,16.81137725,161,56,2,30,1,0,1,1,2003
Patrick Sharp,745,12,62.08333333,12989,17.43489933,526,95,3,33,0,0,1,1,2001
Patrick Wellar,0,0,0,0,0,0,77,3,31,0,1,0,0,2002
Patrick Wey,9,1,9,131,14.55555556,3,115,4,24,0,1,0,0,2009
Patrick White,0,0,0,0,0,0,25,1,26,1,0,0,0,2007
Patrick Wiercioch,159,4,39.75,2649,16.66037736,57,42,2,25,0,1,0,1,2008
Patrik Baertschi,0,0,0,0,0,0,202,,31,1,0,0,0,2002
Patrik Berglund,513,7,73.28571429,8134,15.85575049,247,25,1,27,1,0,1,1,2006
Patrik Hersley,0,0,0,0,0,0,139,5,29,0,1,0,0,2005
Patrik Nemeth,30,2,15,467,15.56666667,3,41,2,23,0,1,0,0,2010
Patrik Stefan,455,7,65,6873,15.10549451,188,1,1,35,1,0,1,1,1999
Patrik Valcak,0,0,0,0,0,0,129,4,30,1,0,0,0,2003
Patrik Zackrisson,0,0,0,0,0,0,165,6,28,0,0,0,0,2007
Paul Baier,0,0,0,0,0,0,95,3,30,0,1,0,0,2004
Paul Ballantyne,0,0,0,0,0,0,196,6,33,0,1,0,0,2000
Paul Bissonnette,202,6,33.66666667,1070,5.297029703,22,121,4,30,0,0,1,1,2003
Paul Brown,0,0,0,0,0,0,89,3,31,0,0,0,0,2003
Paul Byron,138,5,27.6,1859,13.47101449,48,179,6,26,1,0,0,1,2007
Paul Cabana,0,0,0,0,0,0,149,6,36,0,0,0,0,1998
Paul Carey,22,2,11,156,7.090909091,1,135,5,27,1,0,0,0,2007
Paul Elliott,0,0,0,0,0,0,128,5,35,0,1,0,0,1998
Paul Flache,0,0,0,0,0,0,152,5,33,0,1,0,0,2000
Paul Gaustad,664,11,60.36363636,9654,14.53915663,225,220,7,33,1,0,1,1,2000
Paul Lynch,0,0,0,0,0,0,138,5,33,0,1,0,0,2001
Paul Manning,8,1,8,104,13,0,62,3,36,0,1,0,0,1998
Paul Martin,697,11,63.36363636,16367,23.482066,272,62,2,34,0,1,1,1,2000
Paul Phillips,0,0,0,0,0,0,195,7,24,0,1,0,0,2009
Paul Postma,100,5,20,1463,14.63,18,205,7,26,0,1,0,0,2007
Paul Ranger,323,6,53.83333333,6695,20.72755418,106,183,6,31,0,1,1,1,2002
Paul Stastny,612,9,68,11902,19.44771242,504,44,2,29,1,0,1,1,2005
Pauli Levokari,0,0,0,0,0,0,257,8,37,0,1,0,0,2002
Pavel Brendl,78,4,19.5,910,11.66666667,22,4,1,34,0,0,0,0,1999
Pavel Datsyuk,887,13,68.23076923,16683,18.80834273,869,171,6,37,1,0,1,1,1998
Pavel Duma,0,0,0,0,0,0,144,5,34,1,0,0,0,2000
Pavel Frolov,0,0,0,0,0,0,290,9,31,1,0,0,0,2002
Pavel Kasparik,0,0,0,0,0,0,200,7,35,1,0,0,0,1999
Pavel Kolarik,23,2,11.5,176,7.652173913,0,268,9,42,0,1,0,0,2000
Pavel Patera,32,2,16,458,14.3125,9,153,6,44,1,0,0,0,1998
Pavel Sedov,0,0,0,0,0,0,161,5,33,0,0,0,0,2000
Pavel Valentenko,0,0,0,0,0,0,139,5,27,0,1,0,0,2006
Pavel Vorobiev,57,2,28.5,788,13.8245614,25,11,1,33,0,0,0,0,2000
Pavel Voroshnin,0,0,0,0,0,0,172,6,31,0,1,0,0,2003
Pelle Prestberg,0,0,0,0,0,0,233,9,40,0,0,0,0,1998
Per Backer,0,0,0,0,0,0,187,6,33,0,0,0,0,2000
Per Braxenholm,0,0,0,0,0,0,283,9,31,0,1,0,0,2002
Per Jonsson,0,0,0,0,0,0,209,7,27,0,1,0,0,2006
Per Mars,0,0,0,0,0,0,87,3,32,1,0,0,0,2001
Perttu Lindgren,1,1,1,9,9,0,75,3,28,1,0,0,0,2005
Peter Andersson,0,0,0,0,0,0,143,5,24,0,1,0,0,2009
Peter Aston,0,0,0,0,0,0,155,6,29,0,1,0,0,2006
Peter Bartos,13,1,13,180,13.84615385,6,214,7,42,0,0,0,0,2000
Peter Ceresnak,0,0,0,0,0,0,172,6,22,0,1,0,0,2011
Peter Fabus,0,0,0,0,0,0,281,9,36,1,0,0,0,2000
Peter Flache,0,0,0,0,0,0,262,9,33,1,0,0,0,2000
Peter Guggisberg,0,0,0,0,0,0,166,6,30,0,0,0,0,2004
Peter Hafner,0,0,0,0,0,0,232,8,32,0,1,0,0,2002
Peter Holland,130,4,32.5,1662,12.78461538,42,15,1,24,1,0,0,1,2009
Peter LeBlanc,1,1,1,9,9,0,186,7,27,1,0,0,0,2006
Peter Metcalf,0,0,0,0,0,0,267,9,36,0,1,0,0,1999
Peter Mueller,297,5,59.4,4689,15.78787879,160,8,1,27,1,0,1,1,2006
Peter Nordstrom,2,1,2,16,8,0,78,3,41,1,0,0,0,1998
Peter Olvecky,32,2,16,285,8.90625,7,78,3,30,1,0,0,0,2004
Peter Podhradsky,0,0,0,0,0,0,134,5,35,0,1,0,0,2000
Peter Polcik,0,0,0,0,0,0,254,8,32,0,0,0,0,2001
Peter Regin,243,7,34.71428571,3002,12.35390947,67,87,3,29,1,0,1,1,2004
Peter Reynolds,0,0,0,0,0,0,60,9,34,0,1,0,0,1999
Peter Smrek,28,2,14,429,15.32142857,6,85,3,36,0,1,0,0,1999
Peter Stoykewych,0,0,0,0,0,0,199,7,23,0,1,0,0,2010
Peter Zingoni,0,0,0,0,0,0,231,8,34,1,0,0,0,2000
Petja Pietilainen,0,0,0,0,0,0,256,9,35,0,0,0,0,1998
Petr Cajanek,269,4,67.25,4649,17.28252788,153,253,8,40,0,0,1,1,2001
Petr Chvojka,0,0,0,0,0,0,182,6,33,0,1,0,0,2000
Petr Dvorak,0,0,0,0,0,0,118,4,31,1,0,0,0,2002
Petr Hubacek,6,1,6,68,11.33333333,1,243,9,36,1,0,0,0,1998
Petr Kadlec,0,0,0,0,0,0,234,8,38,0,1,0,0,2003
Petr Kalus,11,2,5.5,116,10.54545455,5,39,2,28,0,0,0,0,2005
Petr Kanko,10,1,10,47,4.7,1,66,3,31,0,0,0,0,2002
Petr Placek,0,0,0,0,0,0,176,6,22,0,0,0,0,2011
Petr Pohl,0,0,0,0,0,0,133,5,29,0,0,0,0,2004
Petr Preucil,0,0,0,0,0,0,206,7,32,1,0,0,0,2001
Petr Prucha,346,6,57.66666667,4605,13.30924855,146,240,8,33,0,0,1,1,2002
Petr Puncochar,0,0,0,0,0,0,186,6,32,0,1,0,0,2001
Petr Schastlivy,129,5,25.8,1456,11.28682171,40,101,4,36,0,0,0,1,1998
Petr Straka,3,1,3,28,9.333333333,2,55,2,23,0,0,0,0,2010
Petr Svoboda,18,1,18,269,14.94444444,3,35,2,35,0,1,0,0,1998
Petr Taticek,3,1,3,18,6,0,9,1,32,1,0,0,0,2002
Petr Tenkrat,177,3,59,2192,12.38418079,52,230,8,38,0,0,1,1,1999
Petr Vrana,16,1,16,110,6.875,1,42,2,30,1,0,0,0,2003
Petri Kontiola,12,1,12,175,14.58333333,5,196,7,31,1,0,0,0,2004
Petter Granberg,8,2,4,92,11.5,0,116,4,23,0,1,0,0,2010
Petter Henning,0,0,0,0,0,0,251,9,34,0,0,0,0,1999
Petteri Nokelainen,245,5,49,2468,10.07346939,41,16,1,29,1,0,1,1,2004
Petteri Nummelin,139,3,46.33333333,2500,17.98561151,45,133,5,42,0,1,0,1,2000
Petteri Wirtanen,3,1,3,13,4.333333333,1,172,6,29,1,0,0,0,2006
Phil Cole,0,0,0,0,0,0,125,4,32,0,1,0,0,2000
Phil Desimone,0,0,0,0,0,0,84,3,28,1,0,0,0,2007
Phil Kessel,668,9,74.22222222,12203,18.26796407,520,5,1,28,0,0,1,1,2006
Phil Lane,0,0,0,0,0,0,52,,23,0,0,0,0,2010
Phil Oreskovic,10,1,10,162,16.2,2,82,3,28,0,1,0,0,2005
Philip Gogulla,0,0,0,0,0,0,48,2,28,0,0,0,0,2005
Philip Larsen,125,5,25,2085,16.68,31,149,5,25,0,1,0,1,2008
Philip McRae,15,1,15,136,9.066666667,3,33,2,25,1,0,0,0,2008
Philip Samuelsson,9,2,4.5,146,16.22222222,0,61,2,24,0,1,0,0,2009
Philip Varone,37,2,18.5,479,12.94594595,7,147,5,24,1,0,0,0,2009
Philippe Cornet,2,1,2,21,10.5,1,133,5,25,0,0,0,0,2008
Philippe Dupuis,116,4,29,1098,9.465517241,18,104,4,30,1,0,0,0,2003
Philippe Furrer,0,0,0,0,0,0,179,6,30,0,1,0,0,2003
Philippe Hudon,0,0,0,0,0,0,145,5,22,1,0,0,0,2011
Philippe Paquet,0,0,0,0,0,0,229,,28,0,1,0,0,2005
Philippe Paradis,0,0,0,0,0,0,27,1,24,1,0,0,0,2009
Philippe Seydoux,0,0,0,0,0,0,100,3,30,0,1,0,0,2003
Phillip Danault,2,1,2,19,9.5,0,26,1,22,0,0,0,0,2011
Pierce Norton,0,0,0,0,0,0,285,9,30,0,0,0,0,2004
Pierre Dagenais,142,5,28.4,1638,11.53521127,58,105,4,37,0,0,0,1,1998
Pierre Hedin,3,1,3,58,19.33333333,1,239,8,37,0,1,0,0,1999
Pierre Johnsson,0,0,0,0,0,0,207,7,31,0,1,0,0,2002
Pierre-Luc Emond,0,0,0,0,0,0,165,5,32,1,0,0,0,2001
Pierre-Luc Lessard,0,0,0,0,0,0,121,4,27,0,1,0,0,2006
Pierre-Luc Letourneau-Leblond,41,5,8.2,215,5.243902439,3,216,7,30,0,0,0,0,2004
Pierre-Marc Bouchard,593,11,53.90909091,9151,15.4317032,356,8,1,31,1,0,1,1,2002
Pierre-Olivier Beaulieu,0,0,0,0,0,0,260,8,31,0,1,0,0,2002
Pontus Petterstrom,0,0,0,0,0,0,226,7,33,0,0,0,0,2001
Prab Rai,0,0,0,0,0,0,131,5,25,1,0,0,0,2008
Premysl Duben,0,0,0,0,0,0,112,,33,0,1,0,0,2000
Preston Mizzi,0,0,0,0,0,0,123,4,34,1,0,0,0,1999
Quinton Howden,34,2,17,408,12,6,25,1,23,1,0,0,0,2010
R.J. Anderson,0,0,0,0,0,0,101,4,29,0,1,0,0,2004
R.J. Boyd,0,0,0,0,0,0,183,,24,0,1,0,0,2010
R.J. Umberger,740,10,74,12564,16.97837838,381,16,1,33,1,0,1,1,2001
Radek Duda,0,0,0,0,0,0,192,7,36,0,0,0,0,1998
Radek Martinek,486,12,40.5,9367,19.27366255,110,228,8,39,0,1,1,1,1999
Radek Matejovsky,0,0,0,0,0,0,250,9,37,0,0,0,0,1998
Radek Smolenak,7,2,3.5,55,7.857142857,1,73,3,28,0,0,0,0,2005
Radim Ostrcil,0,0,0,0,0,0,169,6,26,0,1,0,0,2007
Radim Vrbata,871,13,67,14238,16.3467279,527,212,7,34,0,0,1,1,1999
Radko Gudas,126,3,42,2297,18.23015873,32,66,3,25,0,1,0,1,2010
Radoslav Hecl,14,1,14,140,10,0,208,7,41,0,1,0,0,2002
Radoslav Illo,0,0,0,0,0,0,136,5,25,1,0,0,0,2009
Raffaele Sannitz,0,0,0,0,0,0,204,7,32,1,0,0,0,2001
Raffi Torres,635,12,52.91666667,8150,12.83464567,260,5,1,34,0,0,1,1,2000
Raimonds Danilics,0,0,0,0,0,0,255,8,30,0,0,0,0,2003
Ramzi Abid,68,4,17,825,12.13235294,30,85,3,35,0,0,0,1,2000
Randall Gelech,0,0,0,0,0,0,208,7,31,1,0,0,0,2003
Randy Cameron,0,0,0,0,0,0,148,5,26,1,0,0,0,2007
Randy Copley,0,0,0,0,0,0,40,2,35,0,0,0,0,1998
Randy McNaught,0,0,0,0,0,0,190,7,25,0,0,0,0,2010
Rasmus Bengtsson,0,0,0,0,0,0,59,2,22,0,1,0,0,2011
Rasmus Rissanen,6,1,6,90,15,0,178,6,24,0,1,0,0,2009
Rastislav Pavlikovsky,0,0,0,0,0,0,246,9,38,0,0,0,0,1998
Ray Macias,8,2,4,138,17.25,1,124,4,29,0,1,0,0,2005
Raymond DiLauro,0,0,0,0,0,0,246,,36,0,1,0,0,1999
Raymond Sawada,11,3,3.666666667,90,8.181818182,1,52,2,30,0,0,0,0,2004
Reece Scarlett,0,0,0,0,0,0,159,6,22,0,1,0,0,2011
Regan Darby,0,0,0,0,0,0,90,4,35,0,1,0,0,1998
Regan Kelly,0,0,0,0,0,0,259,8,34,0,1,0,0,2000
Reid Boucher,34,2,17,384,11.29411765,8,99,4,22,0,0,0,0,2011
Reid McNeill,0,0,0,0,0,0,170,6,23,0,1,0,0,2010
Reilly Smith,203,4,50.75,2882,14.19704433,100,69,3,24,0,0,1,1,2009
Rene Vydareny,0,0,0,0,0,0,69,3,34,0,1,0,0,1999
Reto Von Arx,19,1,19,217,11.42105263,4,271,9,39,1,0,0,0,2000
Rhett Rakhshani,7,2,3.5,84,12,0,100,4,27,0,0,0,0,2006
Ricard Blidstrand,0,0,0,0,0,0,206,7,23,0,1,0,0,2010
Rich Clune,120,4,30,1041,8.675,18,71,3,28,0,0,0,1,2005
Richard Demen-Willaume,0,0,0,0,0,0,154,5,29,0,1,0,0,2004
Richard Greenop,0,0,0,0,0,0,156,6,26,1,0,0,0,2007
Richard Nedomlel,0,0,0,0,0,0,175,6,22,0,1,0,0,2011
Richard Panik,151,3,50.33333333,1803,11.94039735,39,52,2,24,0,0,0,1,2009
Richard Petiot,15,3,5,263,17.53333333,3,116,4,33,0,1,0,0,2001
Richard Stehlik,0,0,0,0,0,0,76,3,31,0,1,0,0,2003
Rick Bertran,0,0,0,0,0,0,140,5,35,0,1,0,0,1998
Rick Kozak,0,0,0,0,0,0,95,3,30,0,0,0,0,2003
Rick Nash,862,12,71.83333333,16097,18.67401392,697,1,1,31,0,0,1,1,2002
Rickard Rakell,93,3,31,1140,12.25806452,35,30,1,22,0,0,0,0,2011
Rickard Wallin,79,3,26.33333333,1005,12.72151899,19,160,6,35,1,0,0,0,1998
Rico Fata,230,8,28.75,2940,12.7826087,63,6,1,35,0,0,1,1,1998
Riku Hahl,92,3,30.66666667,1016,11.04347826,13,183,6,34,1,0,0,0,1999
Riley Boychuk,0,0,0,0,0,0,208,7,24,0,0,0,0,2010
Riley Emmerson,0,0,0,0,0,0,199,7,29,0,0,0,0,2005
Riley Holzapfel,0,0,0,0,0,0,43,2,27,1,0,0,0,2006
Riley Nash,178,4,44.5,2497,14.02808989,59,21,1,26,1,0,1,1,2007
Riley Sheahan,123,4,30.75,1856,15.08943089,60,21,1,23,1,0,0,1,2010
Risto Korhonen,0,0,0,0,0,0,159,5,28,0,1,0,0,2005
Rob Bellamy,0,0,0,0,0,0,92,3,30,0,0,0,0,2004
Rob Davison,219,7,31.28571429,2925,13.35616438,18,98,4,35,0,1,1,1,1998
Rob Flick,0,0,0,0,0,0,120,4,24,1,0,0,0,2010
Rob Flynn,0,0,0,0,0,0,270,9,32,0,0,0,0,2002
Rob Globke,46,3,15.33333333,316,6.869565217,2,40,2,32,1,0,0,0,2002
Rob O'Gara,0,0,0,0,0,0,151,5,22,0,1,0,0,2011
Rob Page,0,0,0,0,0,0,167,6,30,0,1,0,0,2004
Rob Schremp,114,5,22.8,1579,13.85087719,54,25,1,29,1,0,0,0,2004
Rob Scuderi,720,11,65.45454545,14145,19.64583333,100,134,5,36,0,1,1,1,1998
Robbie Earl,47,3,15.66666667,422,8.978723404,7,187,6,30,0,0,0,0,2004
Robbie Russo,0,0,0,0,0,0,95,4,22,0,1,0,0,2011
Robby Dee,0,0,0,0,0,0,86,3,28,1,0,0,0,2005
Robert Bortuzzo,126,4,31.5,1871,14.84920635,22,78,3,26,0,1,0,1,2007
Robert Czarnik,0,0,0,0,0,0,63,3,25,1,0,0,0,2008
Robert Dietrich,0,0,0,0,0,0,174,6,29,0,1,0,0,2007
Robert Fried,0,0,0,0,0,0,77,3,34,0,0,0,0,2000
Robert Mulick,0,0,0,0,0,0,185,7,35,0,1,0,0,1998
Robert Nilsson,252,5,50.4,3544,14.06349206,118,15,1,30,1,0,1,1,2003
Robert Nyholm,0,0,0,0,0,0,129,5,27,0,0,0,0,2006
Robert Schnabel,22,3,7.333333333,303,13.77272727,3,129,5,36,0,1,0,0,1998
Robin Figren,0,0,0,0,0,0,70,3,27,0,0,0,0,2006
Robin Jonsson,0,0,0,0,0,0,120,4,31,0,1,0,0,2002
Robin Leblanc,0,0,0,0,0,0,67,3,32,0,0,0,0,2001
Robyn Regehr,1089,15,72.6,22759,20.8989899,199,19,1,35,0,1,1,1,1998
Rocco Grimaldi,7,1,7,88,12.57142857,1,33,2,22,1,0,0,0,2011
Rod Sarich,0,0,0,0,0,0,109,4,34,0,1,0,0,1999
Roman Derlyuk,0,0,0,0,0,0,164,6,28,0,1,0,0,2005
Roman Horak,84,3,28,941,11.20238095,19,127,5,24,1,0,0,0,2009
Roman Josi,253,4,63.25,6131,24.23320158,129,38,2,25,0,1,1,1,2008
Roman Kuhtinov,0,0,0,0,0,0,280,9,39,0,1,0,0,2001
Roman Kukumberg,0,0,0,0,0,0,113,4,35,1,0,0,0,2004
Roman Polak,480,9,53.33333333,9236,19.24166667,88,180,6,29,0,1,1,1,2004
Roman Psurny,0,0,0,0,0,0,135,5,29,0,0,0,0,2004
Roman Rozakov,0,0,0,0,0,0,106,4,34,0,1,0,0,1999
Roman Simicek,63,2,31.5,709,11.25396825,17,273,9,43,1,0,0,0,2000
Roman Tesliuk,0,0,0,0,0,0,44,,29,0,1,0,0,2004
Roman Tomanek,0,0,0,0,0,0,103,4,29,0,0,0,0,2004
Roman Tvrdon,9,1,9,96,10.66666667,1,132,5,34,1,0,0,0,1999
Roman Voloshenko,0,0,0,0,0,0,42,2,29,0,0,0,0,2004
Roman Wick,7,1,7,60,8.571428571,0,156,5,29,0,0,0,0,2004
Ron Hainsey,754,12,62.83333333,15764,20.9071618,217,13,1,34,0,1,1,1,2000
Rosario Ruggeri,0,0,0,0,0,0,105,4,31,0,1,0,0,2002
Ross Lupaschuk,3,1,3,49,16.33333333,0,34,2,34,0,1,0,0,1999
Rostislav Klesla,659,13,50.69230769,13204,20.03641882,159,4,1,33,0,1,1,1,2000
Rostislav Olesz,365,8,45.625,5465,14.97260274,134,7,1,30,0,0,1,1,2004
Ruslan Bashkirov,0,0,0,0,0,0,60,2,26,0,0,0,0,2007
Ruslan Bernikov,0,0,0,0,0,0,139,5,37,0,0,0,0,2000
Ruslan Zainullin,0,0,0,0,0,0,34,2,33,0,0,0,0,2000
Russell Spence,0,0,0,0,0,0,280,9,33,1,0,0,0,2002
Ryan Barnes,2,1,2,5,2.5,0,55,2,35,0,0,0,0,1998
Ryan Bayda,179,5,35.8,2114,11.81005587,40,80,3,34,0,0,1,1,2000
Ryan Bourque,1,1,1,12,12,0,80,3,24,1,0,0,0,2009
Ryan Bowness,0,0,0,0,0,0,236,8,32,0,0,0,0,2001
Ryan Button,0,0,0,0,0,0,86,3,24,0,1,0,0,2009
Ryan Caldwell,4,2,2,45,11.25,0,202,7,34,0,1,0,0,2000
Ryan Callahan,547,9,60.77777778,10005,18.29067642,319,127,4,30,0,0,1,1,2004
Ryan Courtney,0,0,0,0,0,0,277,9,33,0,0,0,0,2000
Ryan Craig,198,8,24.75,2632,13.29292929,63,255,8,33,1,0,1,1,2002
Ryan Donally,0,0,0,0,0,0,97,3,30,0,0,0,0,2003
Ryan Dzingel,0,0,0,0,0,0,204,7,23,1,0,0,0,2011
Ryan Ellis,202,4,50.5,3384,16.75247525,71,11,1,24,0,1,1,1,2009
Ryan Flinn,31,3,10.33333333,140,4.516129032,1,143,5,35,0,0,0,0,1998
Ryan Flynn,0,0,0,0,0,0,176,6,27,0,0,0,0,2006
Ryan Garlock,0,0,0,0,0,0,45,2,29,1,0,0,0,2004
Ryan Getzlaf,710,10,71,13837,19.48873239,678,19,1,30,1,0,1,1,2003
Ryan Gibbons,0,0,0,0,0,0,178,6,30,0,0,0,0,2003
Ryan Glenn,0,0,0,0,0,0,145,5,35,0,1,0,0,2000
Ryan Hegarty,0,0,0,0,0,0,113,4,25,0,1,0,0,2008
Ryan Held,0,0,0,0,0,0,257,9,35,1,0,0,0,1998
Ryan Hillier,0,0,0,0,0,0,84,3,27,0,0,0,0,2006
Ryan Hollweg,228,5,45.6,1783,7.820175439,14,238,8,32,1,0,1,1,2001
Ryan Howse,0,0,0,0,0,0,74,3,24,0,0,0,0,2009
