#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
127,Jamie Crooks(LW),Chilliwack Bruins,72,19,19,38,0.53,37,-1,0
128,Adam Kambeitz(LW),Red Deer Rebels,72,15,23,38,0.53,93,22,0
129,Steele Boomer(C),Kootenay Ice,56,14,22,36,0.64,52,13,0
130,Lane Scheidl(LW/D),totals,68,13,23,36,0.53,27,2,0
,,Red Deer Rebels,20,3,3,6,0.3,9,4,0
,,Regina Pats,48,10,20,30,0.63,18,-2,0
131,Mason Wilgosh(C),Tri-City Americans,48,12,24,36,0.75,28,19,0
132,Charles Wells(C),totals,63,12,24,36,0.57,28,8,0
,,Seattle Thunderbirds,41,11,16,27,0.66,22,10,0
,,Prince Albert Raiders,22,1,8,9,0.41,6,-2,0
133,Bronson Maschmeyer(D),Kamloops Blazers,72,8,27,35,0.49,59,-20,0
134,Parker Stanfield(RW),totals,64,13,21,34,0.53,57,-10,0
,,Prince George Cougars,4,1,3,4,1,5,0,0
,,Everett Silvertips,60,12,18,30,0.5,52,-10,0
135,Jacob Berglund(C/LW),Lethbridge Hurricanes,61,18,15,33,0.54,29,-15,0
136,Mitch Holmberg(RW),Spokane Chiefs,58,15,18,33,0.57,12,6,0
137,Cody Sylvester(C/LW),Calgary Hitmen,59,18,14,32,0.54,63,-20,0
138,Oliver Gabriel(LW),Portland Winterhawks,41,11,21,32,0.78,36,6,0
139,Brady Brassart(C/RW),Spokane Chiefs,65,8,24,32,0.49,70,14,0
140,Cody Carlson(D),totals,68,6,26,32,0.47,78,-12,0
,,Regina Pats,5,1,1,2,0.4,7,-7,0
,,Prince George Cougars,63,5,25,30,0.48,71,-5,0
141,Turner Elson(LW/C),Red Deer Rebels,68,16,15,31,0.46,124,27,0
142,Michael Piluso(C),Edmonton Oil Kings,65,14,17,31,0.48,51,-2,0
143,Elgin Pearce(C/D),Kootenay Ice,69,12,19,31,0.45,35,4,0
144,Jordan Peddle(C),Swift Current Broncos,70,11,20,31,0.44,132,15,0
145,Max Ross(D/LW),Lethbridge Hurricanes,70,15,15,30,0.43,128,-24,0
146,Cody Chikie(C),Kelowna Rockets,68,13,17,30,0.44,57,-3,0
147,Andrej Stastny(C),Vancouver Giants,32,10,20,30,0.94,40,2,0
148,Nathan MacMaster(LW),totals,69,10,20,30,0.43,55,-23,0
,,Moose Jaw Warriors,22,5,8,13,0.59,21,-6,0
,,Calgary Hitmen,47,5,12,17,0.36,34,-17,0
149,Colin Archer(D),Red Deer Rebels,68,6,24,30,0.44,138,40,0
150,Spencer Asuchak(C/LW),Prince George Cougars,59,17,12,29,0.49,36,-4,0
151,Greg Fraser(C),Prince George Cougars,72,16,13,29,0.4,43,-25,0
152,Brandon Magee(C/RW),Chilliwack Bruins,65,12,17,29,0.45,78,15,0
153,James Martin(D),Kootenay Ice,65,11,18,29,0.45,68,18,0
154,Brendan Rouse(C),Seattle Thunderbirds,72,11,18,29,0.4,24,-17,0
155,Antoine Corbin(D),totals,56,8,21,29,0.52,106,-18,0
,,Kelowna Rockets,11,2,2,4,0.36,25,-3,0
,,Prince Albert Raiders,45,6,19,25,0.56,81,-15,0
156,Michael Burns(RW),Vancouver Giants,65,15,13,28,0.43,55,10,0
157,Cole Grbavac(RW),Medicine Hat Tigers,67,13,15,28,0.42,148,1,0
158,Kenton Miller(C),Spokane Chiefs,55,10,18,28,0.51,44,5,0
159,Joshua Lazowski(C),Edmonton Oil Kings,32,9,19,28,0.88,10,2,0
160,Brodie Melnychuk(D),Brandon Wheat Kings,58,7,21,28,0.48,22,-9,0
161,Jace Coyle(D),Medicine Hat Tigers,49,6,22,28,0.57,42,18,0
162,Jordan Rowley(D),Prince Albert Raiders,55,5,23,28,0.51,53,-10,0
163,Darren Bestland(D),totals,68,5,23,28,0.41,137,-24,0
,,Brandon Wheat Kings,40,4,12,16,0.4,69,-24,0
,,Vancouver Giants,28,1,11,12,0.43,68,0,0
164,Kevin Smith(D),Kelowna Rockets,72,5,23,28,0.39,47,-8,0
165,Daulton Siwak(C/RW),Red Deer Rebels,72,13,14,27,0.38,49,4,0
166,Spencer Main(C),Kelowna Rockets,71,10,17,27,0.38,64,2,0
201,Brock Hirsche(C),Prince George Cougars,66,8,19,27,0.41,25,-7,0
202,Rhett Rachinski(LW),Edmonton Oil Kings,63,8,18,26,0.41,48,-5,0
203,Brennan Yadlowski(D),totals,73,6,20,26,0.36,90,4,0
,,Lethbridge Hurricanes,5,0,4,4,0.8,8,1,0
,,Everett Silvertips,68,6,16,22,0.32,82,3,0
204,Mark Reners(RW),totals,50,15,10,25,0.5,19,-4,0
,,Lethbridge Hurricanes,20,6,5,11,0.55,6,-3,0
,,Vancouver Giants,11,2,1,3,0.27,9,2,0
,,Edmonton Oil Kings,19,7,4,11,0.58,4,-3,0
205,Joey Kornelsen(C/RW),Moose Jaw Warriors,61,11,14,25,0.41,35,-9,0
206,Trevor Cheek(LW/C),Calgary Hitmen,57,10,15,25,0.44,37,-15,0
207,Jesse Paradis(LW),Moose Jaw Warriors,70,9,16,25,0.36,43,-9,0
208,Collin Valcourt(LW),Spokane Chiefs,53,8,17,25,0.47,95,18,0
209,Stephane Legault(LW),Edmonton Oil Kings,57,7,18,25,0.44,27,7,0
