#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
421,Tanner Sohn(D),totals,33,0,6,6,0.18,20,-8,0
,,Vancouver Giants,31,0,6,6,0.19,20,-6,0
,,Saskatoon Blades,2,0,0,0,0,0,-2,0
422,Tim Traber(RW),Chilliwack Bruins,45,0,6,6,0.13,88,-12,0
423,Cason Machacek(D),Lethbridge Hurricanes,65,0,6,6,0.09,183,-11,0
424,Chase Souto(RW),Kamloops Blazers,49,4,1,5,0.1,62,-5,0
425,T.C. Cratsenberg(C),totals,54,4,1,5,0.09,102,-1,0
,,Spokane Chiefs,5,0,0,0,0,12,1,0
,,Chilliwack Bruins,49,4,1,5,0.1,90,-2,0
426,Steve Oursov(C),Chilliwack Bruins,18,3,2,5,0.28,11,-2,0
427,Campbell Elynuik(LW),Everett Silvertips,28,3,2,5,0.18,54,-9,0
428,Locke Muller(RW),Red Deer Rebels,40,3,2,5,0.13,59,-2,0
429,Paul Sohor(D),totals,56,3,2,5,0.09,58,0,0
,,Everett Silvertips,13,0,0,0,0,20,-1,0
,,Tri-City Americans,43,3,2,5,0.12,38,1,0
430,Sam Dezman(LW),Medicine Hat Tigers,28,2,3,5,0.18,18,9,0
431,Tyler Kizuik(D),totals,37,2,3,5,0.14,13,-11,0
,,Saskatoon Blades,12,0,0,0,0,9,-2,0
,,Lethbridge Hurricanes,25,2,3,5,0.2,4,-9,0
432,Tanner Muth(D),Swift Current Broncos,42,2,3,5,0.12,47,-23,0
433,Cole Hamblin(D),Spokane Chiefs,12,1,4,5,0.42,6,6,0
434,Juraj Roznik(RW),totals,24,1,4,5,0.21,8,-6,0
,,Swift Current Broncos,5,0,2,2,0.4,2,-1,0
,,Regina Pats,19,1,2,3,0.16,6,-5,0
435,Evan Morden(D),Everett Silvertips,53,1,4,5,0.09,30,-1,0
436,John Neibrandt(D),Kootenay Ice,65,1,4,5,0.08,42,5,0
437,Daniel Gibb(D),Prince George Cougars,70,1,4,5,0.07,58,-16,0
438,Zach Habscheid(D),Chilliwack Bruins,45,0,5,5,0.11,68,-8,0
439,Neil Tarnasky(C),Lethbridge Hurricanes,55,3,1,4,0.07,65,-14,0
440,Jon Gaudet(RW),Brandon Wheat Kings,10,2,2,4,0.4,6,2,0
441,Vahe Zakaryan(RW),Medicine Hat Tigers,17,2,2,4,0.24,4,5,0
442,Brayden Cuthbert(C),Moose Jaw Warriors,39,2,2,4,0.1,2,-6,0
443,MacKenzie Johnston(D),Kelowna Rockets,58,2,2,4,0.07,14,-10,0
444,Brendon Wall(D),Kelowna Rockets,20,1,3,4,0.2,10,-3,0
445,Riley Reinbolt(C),Calgary Hitmen,21,1,3,4,0.19,23,-5,0
446,Matthew Pufahl(D),Red Deer Rebels,31,1,3,4,0.13,11,10,0
447,Josh Derko(LW),Swift Current Broncos,44,1,3,4,0.09,33,-12,0
448,Brady Ramsay(RW/C),Lethbridge Hurricanes,57,1,3,4,0.07,43,-18,0
449,Tyler Borstmayer(D),Regina Pats,42,0,4,4,0.1,20,-9,0
450,Josh Smith(D),Prince George Cougars,44,0,4,4,0.09,98,4,0
451,Max Moline(C),Tri-City Americans,53,0,4,4,0.08,42,-8,0
452,Jesse Sinatynski(C),totals,10,2,1,3,0.3,8,0,0
,,Brandon Wheat Kings,7,1,1,2,0.29,6,0,0
,,Kamloops Blazers,3,1,0,1,0.33,2,0,0
453,Jason Trott(C/LW),Portland Winterhawks,32,2,1,3,0.09,14,-2,0
454,Mathew Berry-Lamontagna(D),Prince Albert Raiders,34,2,1,3,0.09,14,-2,0
455,Carter Berg(D/F),Calgary Hitmen,36,2,1,3,0.08,46,-15,0
456,Taylor Cote(RW),Everett Silvertips,12,1,2,3,0.25,15,0,0
457,David Stephens(C),Edmonton Oil Kings,30,1,2,3,0.1,24,1,0
458,Gal Koren(C),Kelowna Rockets,36,1,2,3,0.08,24,-4,0
459,Josh Hanson(D),Portland Winterhawks,43,1,2,3,0.07,10,-1,0
460,Brock Balson(RW),Prince Albert Raiders,48,1,2,3,0.06,13,-16,0
461,Shea Howorko(F),Swift Current Broncos,61,1,2,3,0.05,61,-12,0
462,Jesse Zgraggen(D),Chilliwack Bruins,62,1,2,3,0.05,27,-9,0
463,Jason Siebert(LW),Kelowna Rockets,16,0,3,3,0.19,4,1,0
464,Scott Ramsay(D),totals,39,0,3,3,0.08,75,-9,0
,,Seattle Thunderbirds,26,0,1,1,0.04,57,-14,0
,,Medicine Hat Tigers,13,0,2,2,0.15,18,5,0
465,Erik Fleming(D),Seattle Thunderbirds,50,0,3,3,0.06,8,-20,0
466,Sam Grist(D),Tri-City Americans,56,0,3,3,0.05,107,-11,0
467,Brett Stovin(RW/LW),Saskatoon Blades,6,2,0,2,0.33,0,0,0
468,Caleb Belter(RW),Prince George Cougars,39,2,0,2,0.05,10,-1,0
469,Tyler Paslawski(RW),Prince Albert Raiders,9,1,1,2,0.22,0,0,0
470,Michael Sagen(LW),Regina Pats,26,1,1,2,0.08,19,-5,0
471,Josh Caron(D/W),Kamloops Blazers,27,1,1,2,0.07,47,-3,0
472,Ryan Bloom(RW),totals,29,1,1,2,0.07,0,-5,0
,,Kootenay Ice,5,1,0,1,0.2,0,2,0
,,Swift Current Broncos,24,0,1,1,0.04,0,-7,0
473,Lucas Grayson(D),Red Deer Rebels,40,1,1,2,0.05,71,5,0
474,Casper Carning(C/W),Vancouver Giants,6,0,2,2,0.33,2,0,0
475,Dylan Fluter(RW/C),Tri-City Americans,9,0,2,2,0.22,2,-3,0
476,Austin Daae(LW),Saskatoon Blades,11,0,2,2,0.18,11,-2,0
477,Jesse Pearson(D),Edmonton Oil Kings,18,0,2,2,0.11,29,-4,0
478,Tyler Pavkovich(D),Regina Pats,27,0,2,2,0.07,10,-12,0
479,Ryan Aasman(D),totals,41,0,2,2,0.05,6,-11,0
,,Seattle Thunderbirds,8,0,0,0,0,2,-2,0
,,Swift Current Broncos,33,0,2,2,0.06,4,-9,0
480,Justin Hickman(RW/C),Seattle Thunderbirds,46,0,2,2,0.04,51,-20,0
481,Connor Chartier(RW),Spokane Chiefs,1,1,0,1,1,0,2,0
482,Marc McCoy(C),Red Deer Rebels,1,1,0,1,1,2,1,0
483,Gasper Kopitar(W/C),Portland Winterhawks,2,1,0,1,0.5,0,-1,0
484,Pearce Eviston(RW),Portland Winterhawks,2,1,0,1,0.5,0,0,0
485,Zach McPhee(RW),totals,12,1,0,1,0.08,2,-2,0
,,Tri-City Americans,8,1,0,1,0.13,2,-2,0
,,Everett Silvertips,4,0,0,0,0,0,0,0
486,Connor Redmond(LW/D),Vancouver Giants,15,1,0,1,0.07,22,-4,0
487,Keaton Lubin(D),Calgary Hitmen,36,1,0,1,0.03,23,-15,0
488,Joey Frazer(RW),Medicine Hat Tigers,1,0,1,1,1,0,-1,0
489,Kade Pilton(D),Chilliwack Bruins,2,0,1,1,0.5,0,0,0
490,Shayne Gwinner(D),Moose Jaw Warriors,3,0,1,1,0.33,0,1,0
491,Bruin McDonald(D/F),Spokane Chiefs,3,0,1,1,0.33,2,-3,0
