rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,29,US,Travis Morin,F,66,32,56,88,52,17,10,1,,0.485,0.848,1.333
2,24,CA,Zach Boychuk,F,69,36,38,74,55,-7,18,0,,0.522,0.551,1.072
3,25,US,Andy Miele,F,70,27,45,72,66,-18,9,1,,0.386,0.643,1.029
4,24,US,T.J. Brennan,D,76,25,47,72,115,-10,12,0,,0.329,0.618,0.947
5,21,CA,Jordan Weal,F,76,23,47,70,42,28,7,0,,0.303,0.618,0.921
6,24,CA,Chris Terry,F,70,28,41,69,62,-13,14,1,,0.4,0.586,0.986
7,25,CA,Spencer Abbott,F,64,17,52,69,16,10,9,0,,0.266,0.813,1.078
8,24,CA,Mike Hoffman,F,51,30,37,67,32,11,12,0,,0.588,0.725,1.314
9,22,CA,Curtis McKenzie,F,75,27,38,65,92,7,10,0,,0.36,0.507,0.867
10,23,CA,Jason Akeson,F,70,24,40,64,42,-17,7,3,,0.343,0.571,0.914
11,24,CA,Colton Sceviour,F,54,32,31,63,31,11,13,1,,0.593,0.574,1.167
12,21,CA,Max Reinhart,F,66,21,42,63,47,6,5,1,,0.318,0.636,0.955
13,30,CA,Pascal Pelletier,F,69,22,40,62,64,-15,11,1,,0.319,0.58,0.899
14,23,CA,Phil Varone,F,69,18,43,61,58,-1,1,0,,0.261,0.623,0.884
15,26,CA,Ben Street,F,58,28,32,60,24,-10,10,0,,0.483,0.552,1.034
16,21,FI,Teemu Pulkkinen,F,71,31,28,59,34,18,9,0,,0.437,0.394,0.831
17,32,CA,Jason Jaffray,F,76,18,41,59,48,13,8,1,,0.237,0.539,0.776
18,21,US,Adam Clendening,D,74,12,47,59,64,5,3,1,,0.162,0.635,0.797
19,24,US,Aaron Palushaj,F,68,22,36,58,80,-3,5,0,,0.324,0.529,0.853
20,24,FR,Stephane Da Costa,F,56,18,40,58,32,19,5,0,,0.321,0.714,1.036
21,27,US,Chris Mueller,F,60,25,32,57,29,9,15,1,,0.417,0.533,0.95
22,21,CA,Brett Connolly,F,66,21,36,57,50,-6,6,0,,0.318,0.545,0.864
23,20,RU,Alexander Khokhlachev,F,65,21,36,57,28,11,5,0,,0.323,0.554,0.877
24,26,CA,Jerome Samson,F,68,27,29,56,49,6,11,1,,0.397,0.426,0.824
25,23,CA,Jonathan Audy-Marchessault,F,77,23,33,56,59,-10,8,3,,0.299,0.429,0.727
26,28,CA,Andrew Gordon,F,76,23,33,56,43,3,10,0,,0.303,0.434,0.737
27,29,CA,Mike Hedden,F,74,23,32,55,43,20,8,0,,0.311,0.432,0.743
28,22,CZ,Roman Horak,F,66,23,32,55,22,10,8,0,,0.348,0.485,0.833
29,20,CA,Lucas Lessio,F,69,29,25,54,63,-13,13,0,,0.42,0.362,0.783
30,21,US,Emerson Etem,F,50,24,30,54,10,14,7,1,,0.48,0.6,1.08
31,23,SE,André Petersson,F,65,23,31,54,36,11,3,0,,0.354,0.477,0.831
32,23,US,Cole Schneider,F,69,20,34,54,22,14,6,3,,0.29,0.493,0.783
33,25,US,Joe Whitney,F,73,22,31,53,34,0,6,0,,0.301,0.425,0.726
34,26,CA,Kael Mouillierat,F,60,20,33,53,48,1,7,1,,0.333,0.55,0.883
35,22,SE,Adam Almquist,D,73,4,49,53,56,9,2,0,,0.055,0.671,0.726
36,22,SE,Anton Lander,F,46,18,34,52,30,7,10,0,,0.391,0.739,1.13
37,25,US,Carter Camper,F,60,12,39,51,24,-4,5,0,,0.2,0.65,0.85
38,23,US,Chris Wideman,D,73,9,42,51,101,5,7,0,,0.123,0.575,0.699
39,20,FI,Miikka Salomäki,F,75,20,30,50,83,6,6,0,,0.267,0.4,0.667
40,20,CA,Seth Griffith,F,69,20,30,50,28,0,9,0,,0.29,0.435,0.725
41,25,CA,Brad Hunt,D,66,11,39,50,34,7,9,0,,0.167,0.591,0.758
42,23,CA,Luke Adam,F,59,29,20,49,48,-1,16,0,,0.492,0.339,0.831
43,31,CA,Kris Newbury,F,63,18,31,49,207,-11,6,0,,0.286,0.492,0.778
44,22,CA,Andrew Agozzino,F,75,17,32,49,73,-12,8,0,,0.227,0.427,0.653
45,22,CA,Taylor Beck,F,65,17,32,49,38,-8,7,1,,0.262,0.492,0.754
46,25,CA,Mark Olver,F,65,15,34,49,82,4,6,0,,0.231,0.523,0.754
47,20,CA,Ryan Strome,F,37,13,36,49,41,16,2,0,,0.351,0.973,1.324
48,20,CA,Ty Rattie,F,72,31,17,48,37,5,5,0,,0.431,0.236,0.667
49,20,CA,Matt Puempel,F,74,30,18,48,94,-11,15,0,,0.405,0.243,0.649
50,20,DE,Tobias Rieder,F,64,28,20,48,10,-14,10,0,,0.438,0.313,0.75
51,20,CA,Brett Ritchie,F,68,22,26,48,53,14,5,0,,0.324,0.382,0.706
52,21,US,Shane Prince,F,69,21,27,48,53,23,7,0,,0.304,0.391,0.696
53,21,RU,Vladislav Namestnikov,F,56,19,29,48,40,-1,7,2,,0.339,0.518,0.857
54,22,CA,Linden Vey,F,43,14,34,48,20,8,6,1,,0.326,0.791,1.116
55,21,CA,Brenden Kichton,D,76,10,38,48,14,8,4,0,,0.132,0.5,0.632
56,30,CA,Martin St. Pierre,F,71,10,38,48,48,-16,6,0,,0.141,0.535,0.676
57,29,CA,Corey Locke,F,66,10,38,48,24,1,4,0,,0.152,0.576,0.727
58,25,US,Brian O'Neill,F,60,26,21,47,39,31,4,2,,0.433,0.35,0.783
59,23,CA,Craig Cunningham,F,75,25,22,47,40,-3,8,1,,0.333,0.293,0.627
60,29,US,Matthew Ford,F,73,25,22,47,71,-1,12,0,,0.342,0.301,0.644
61,22,US,Jeremy Morin,F,47,24,23,47,58,9,6,0,,0.511,0.489,1
62,34,CA,Tom Kostopoulos,F,71,22,25,47,72,4,13,0,,0.31,0.352,0.662
63,26,US,Bobby Butler,F,69,22,25,47,12,-3,6,2,,0.319,0.362,0.681
64,32,US,Jeff Taffe,F,75,21,26,47,23,-20,10,0,,0.28,0.347,0.627
65,21,CA,Greg McKegg,F,65,19,28,47,31,0,7,0,,0.292,0.431,0.723
66,23,CA,Justin Dowling,F,74,12,35,47,8,21,0,1,,0.162,0.473,0.635
67,20,FI,Markus Granlund,F,52,25,21,46,22,10,8,2,,0.481,0.404,0.885
68,21,US,Austin Watson,F,76,22,24,46,24,4,5,0,,0.289,0.316,0.605
69,23,CA,Brandon Kozun,F,75,17,29,46,70,9,6,1,,0.227,0.387,0.613
70,25,CA,Cory Emmerton,F,53,16,30,46,14,17,2,3,,0.302,0.566,0.868
71,21,CA,Ryan Spooner,F,49,11,35,46,8,13,3,1,,0.224,0.714,0.939
72,28,CA,Danny Syvret,D,76,9,37,46,34,6,4,2,,0.118,0.487,0.605
73,24,US,John Albert,F,63,28,17,45,20,6,4,6,,0.444,0.27,0.714
74,21,CA,Michael Chaput,F,55,19,26,45,51,-4,8,1,,0.345,0.473,0.818
75,22,SE,Calle Järnkrok,F,63,18,27,45,14,26,9,1,,0.286,0.429,0.714
76,20,US,Alex Broadhurst,F,75,16,29,45,32,-1,2,0,,0.213,0.387,0.6
77,27,CA,Cal O'Reilly,F,52,7,38,45,6,5,1,0,,0.135,0.731,0.865
78,22,US,Mitch Callahan,F,70,26,18,44,51,23,7,2,,0.371,0.257,0.629
79,20,CA,Colton Sissons,F,62,25,19,44,8,-3,6,2,,0.403,0.306,0.71
80,20,CA,Cedric Paquette,F,70,20,24,44,153,0,5,2,,0.286,0.343,0.629
