rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
473,22,US,Keegan Lowe,D,67,3,11,14,75,-4,0,0,,0.045,0.164,0.209
474,25,US,Conor Allen,D,66,3,11,14,68,-26,0,0,,0.045,0.167,0.212
475,24,US,Max Novak,F,43,3,11,14,10,2,1,0,,0.07,0.256,0.326
476,21,CA,Justin Hache,D,67,2,12,14,34,5,0,0,,0.03,0.179,0.209
477,28,CZ,Jakub Nakladal,D,35,2,12,14,30,-3,1,0,,0.057,0.343,0.4
478,25,CA,Andrew MacWilliam,D,72,1,13,14,86,-17,0,0,,0.014,0.181,0.194
479,29,RU,Nikita Nikitin,D,30,1,13,14,0,-9,1,0,,0.033,0.433,0.467
480,20,CA,Jonathan Drouin,F,17,11,2,13,12,-9,5,0,,0.647,0.118,0.765
481,22,US,Ryan Haggerty,F,36,9,4,13,17,2,1,0,,0.25,0.111,0.361
482,32,US,Chris Higgins,F,22,9,4,13,8,-1,3,2,,0.409,0.182,0.591
483,31,CA,Rod Pelley,F,65,8,5,13,40,-8,0,0,,0.123,0.077,0.2
484,25,US,Sena Acolatse,D,62,8,5,13,138,-8,2,0,,0.129,0.081,0.21
485,27,CA,Domenic Monardo,F,44,8,5,13,16,-1,0,0,,0.182,0.114,0.295
486,25,CA,Chris DeSousa,F,67,7,6,13,98,1,0,1,,0.104,0.09,0.194
487,23,US,Brandon McNally,F,48,7,6,13,33,-2,0,0,,0.146,0.125,0.271
488,29,CA,Colin Greening,F,41,7,6,13,52,-9,1,1,,0.171,0.146,0.317
489,21,CA,Ryan Olsen,F,65,6,7,13,90,-18,0,0,,0.092,0.108,0.2
490,24,US,Kevin Goumas,F,58,6,7,13,16,-13,0,0,,0.103,0.121,0.224
491,21,CA,Austin Carroll,F,53,6,7,13,74,-17,0,0,,0.113,0.132,0.245
492,25,CA,Connor Jones,F,51,6,7,13,21,-3,1,0,,0.118,0.137,0.255
493,25,US,Garrett Thompson,F,32,6,7,13,6,-2,1,0,,0.188,0.219,0.406
494,24,CA,Joel Hanley,D,64,5,8,13,25,-11,1,0,,0.078,0.125,0.203
495,23,CZ,Dominik Uher,F,43,5,8,13,29,2,0,0,,0.116,0.186,0.302
496,28,US,Phil DeSimone,F,28,5,8,13,26,-4,0,0,,0.179,0.286,0.464
497,28,CA,Guillaume Lepine,D,69,4,9,13,115,0,0,0,,0.058,0.13,0.188
498,25,CA,Tyler Brown,F,65,4,9,13,20,-4,0,0,,0.062,0.138,0.2
499,22,CA,Tyler Gaudet,F,44,4,9,13,23,-17,0,0,,0.091,0.205,0.295
500,24,SE,Christian Folin,D,28,4,9,13,8,-14,3,0,,0.143,0.321,0.464
501,21,US,Dakota Mermis,D,63,3,10,13,58,-12,0,0,,0.048,0.159,0.206
502,25,CA,Steven Delisle,D,56,3,10,13,74,-11,0,0,,0.054,0.179,0.232
503,22,CA,Anthony Camara,F,48,3,10,13,71,-8,2,0,,0.063,0.208,0.271
504,23,CA,Kenney Morrison,D,44,3,10,13,30,-5,1,0,,0.068,0.227,0.295
505,22,CH,Dean Kukan,D,33,3,10,13,8,3,1,0,,0.091,0.303,0.394
506,21,CA,Daniel Walcott,D,62,2,11,13,54,-6,0,0,,0.032,0.177,0.21
507,24,FI,Rasmus Rissanen,D,54,2,11,13,56,-4,0,0,,0.037,0.204,0.241
508,31,CA,Tyson Strachan,D,67,1,12,13,68,-14,0,0,,0.015,0.179,0.194
509,37,CA,Jeff Hoggan,F,67,9,3,12,22,3,0,0,,0.134,0.045,0.179
510,24,CA,Darren Kramer,F,61,7,5,12,138,-13,0,0,,0.115,0.082,0.197
511,23,CA,Kale Kessy,F,56,7,5,12,79,3,0,0,,0.125,0.089,0.214
512,34,CA,Matt Ellis,F,58,6,6,12,6,-12,1,0,,0.103,0.103,0.207
513,23,US,Scott Mayfield,D,54,5,7,12,80,9,0,0,,0.093,0.13,0.222
514,18,SE,Oliver Kylington,D,47,5,7,12,14,-15,2,0,,0.106,0.149,0.255
515,21,US,Chris Carlisle,D,65,4,8,12,26,-1,2,0,,0.062,0.123,0.185
516,21,US,Cameron Darcy,F,56,4,8,12,44,2,1,0,,0.071,0.143,0.214
517,23,CA,Colin Miller,D,20,4,8,12,16,3,0,0,,0.2,0.4,0.6
518,21,US,Henrik Samuelsson,F,43,3,9,12,30,-20,2,0,,0.07,0.209,0.279
519,20,CA,Brett Lernout,D,69,2,10,12,73,-4,0,0,,0.029,0.145,0.174
520,21,US,Nick Ebert,D,44,2,10,12,38,12,1,0,,0.045,0.227,0.273
521,24,CA,Tanner Fritz,F,19,2,10,12,0,0,0,0,,0.105,0.526,0.632
522,26,CA,Chris Breen,D,66,1,11,12,38,9,0,0,,0.015,0.167,0.182
523,23,US,Nolan Valleau,D,62,1,11,12,20,8,0,0,,0.016,0.177,0.194
524,23,US,Jaycob Megna,D,67,0,12,12,14,23,0,0,,0,0.179,0.179
525,23,CA,Ryan Johnston,D,37,0,12,12,14,-14,0,0,,0,0.324,0.324
526,22,SE,Michael Schumacher,F,57,8,3,11,34,-13,0,0,,0.14,0.053,0.193
527,23,CA,Stefan Fournier,F,56,7,4,11,143,-9,0,0,,0.125,0.071,0.196
528,24,CA,Jamie Devane,F,62,6,5,11,82,-7,0,0,,0.097,0.081,0.177
529,20,CA,Jeremy Gregoire,F,62,6,5,11,70,-5,0,1,,0.097,0.081,0.177
530,20,CA,Nick Moutrey,F,53,6,5,11,39,-1,2,1,,0.113,0.094,0.208
531,27,US,Eriah Hayes,F,39,6,5,11,43,-4,2,0,,0.154,0.128,0.282
532,20,SE,Robert Hägg,D,65,5,6,11,42,-11,3,0,,0.077,0.092,0.169
533,24,CA,Philippe Paradis,F,49,5,6,11,121,-4,0,0,,0.102,0.122,0.224
534,24,CA,Joel Lowry,F,41,5,6,11,27,1,0,0,,0.122,0.146,0.268
535,25,US,Zach Palmquist,D,69,4,7,11,26,-6,0,0,,0.058,0.101,0.159
536,21,CA,Ashton Sautner,D,50,4,7,11,12,-1,0,0,,0.08,0.14,0.22
537,26,CA,Scott Timmins,F,45,4,7,11,14,-6,0,1,,0.089,0.156,0.244
538,24,US,Andrew Yogan,F,35,4,7,11,18,-5,0,0,,0.114,0.2,0.314
539,25,CA,Corban Knight,F,33,4,7,11,8,-11,0,0,,0.121,0.212,0.333
540,24,CA,Ryan Martindale,F,22,4,7,11,4,2,0,0,,0.182,0.318,0.5
541,25,CA,Cody Hodgson,F,14,4,7,11,0,1,3,0,,0.286,0.5,0.786
542,27,US,Chris Summers,D,74,3,8,11,51,2,0,0,,0.041,0.108,0.149
543,21,FI,Henri Ikonen,F,61,3,8,11,31,-12,0,0,,0.049,0.131,0.18
544,20,SE,Julius Bergman,D,60,3,8,11,40,0,1,0,,0.05,0.133,0.183
545,23,CA,Brett Bulmer,F,58,3,8,11,73,-12,0,0,,0.052,0.138,0.19
546,22,FI,Petteri Lindbohm,D,43,3,8,11,50,-4,0,0,,0.07,0.186,0.256
547,23,US,Colin Markison,F,39,3,8,11,10,6,0,0,,0.077,0.205,0.282
548,21,CA,Branden Troock,F,38,3,8,11,38,-7,0,0,,0.079,0.211,0.289
549,23,SE,Erik Gustafsson,D,27,3,8,11,38,1,1,1,,0.111,0.296,0.407
550,22,CA,Brady Austin,D,72,2,9,11,37,-2,0,0,,0.028,0.125,0.153
551,24,CA,Hubert Labrie,D,65,2,9,11,81,-6,0,0,,0.031,0.138,0.169
552,21,US,Patrick Sieloff,D,52,2,9,11,54,-16,0,0,,0.038,0.173,0.212
553,35,CA,Matt Carkner,D,41,2,9,11,164,11,0,1,,0.049,0.22,0.268
554,33,US,Nate Guenin,D,24,2,9,11,14,-2,0,0,,0.083,0.375,0.458
555,21,CA,Jake Dotchin,D,67,1,10,11,120,-9,1,0,,0.015,0.149,0.164
556,26,CA,John Negrin,D,58,1,10,11,22,-7,0,0,,0.017,0.172,0.19
557,20,CH,Mirco Müller,D,50,1,10,11,35,7,1,0,,0.02,0.2,0.22
558,23,CA,Reid McNeill,D,64,0,11,11,58,10,0,0,,0,0.172,0.172
