rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,21,CA,Brandon Pirri,F,76,22,53,75,72,11,7,1,6,0.289,0.697,0.987
2,31,US,Jeff Taffe,F,73,18,53,71,27,0,6,0,2,0.247,0.726,0.973
3,26,US,Chad Kolarik,F,76,31,37,68,55,-4,15,2,7,0.408,0.487,0.895
4,24,US,Mark Arcobello,F,74,22,46,68,48,9,6,1,3,0.297,0.622,0.919
5,21,CA,Linden Vey,F,74,22,45,67,32,18,2,2,5,0.297,0.608,0.905
6,22,CA,Jonathan Audy-Marchessault,F,74,21,46,67,65,20,9,0,2,0.284,0.622,0.905
7,27,US,T.J. Hensick,F,76,19,48,67,50,-11,3,0,1,0.25,0.632,0.882
8,22,US,Tyler Johnson,F,62,37,28,65,34,26,12,1,3,0.597,0.452,1.048
9,20,CA,Brett Connolly,F,71,31,32,63,53,19,9,0,8,0.437,0.451,0.887
10,30,CA,Kris Newbury,F,70,20,42,62,127,-3,7,2,1,0.286,0.6,0.886
11,27,CA,Mark Mancari,F,76,22,39,61,68,-9,7,1,4,0.289,0.513,0.803
12,23,CA,Chris Terry,F,70,25,35,60,40,1,10,1,8,0.357,0.5,0.857
13,23,SE,Gustav Nyquist,F,58,23,37,60,34,10,9,0,0,0.397,0.638,1.034
14,29,CA,Martin St. Pierre,F,76,26,33,59,59,11,3,1,5,0.342,0.434,0.776
15,21,US,Jeremy Morin,F,67,30,28,58,86,2,12,3,4,0.448,0.418,0.866
16,33,CA,Darren Haydar,F,71,20,37,57,58,12,4,0,5,0.282,0.521,0.803
17,20,CA,Ryan Spooner,F,59,17,40,57,14,14,8,0,4,0.288,0.678,0.966
18,22,CA,Brandon Kozun,F,74,26,30,56,52,12,7,0,7,0.351,0.405,0.757
19,25,CA,Justin Fontaine,F,64,23,33,56,18,10,10,0,3,0.359,0.516,0.875
20,22,CA,Eric O'Dell,F,59,29,26,55,26,9,10,0,4,0.492,0.441,0.932
21,27,CA,Trevor Smith,F,75,23,31,54,64,5,7,1,5,0.307,0.413,0.72
22,22,CA,Jason Akeson,F,62,20,33,53,27,-6,11,1,0,0.323,0.532,0.855
23,24,US,Andy Miele,F,70,19,34,53,72,3,6,0,3,0.271,0.486,0.757
24,25,CA,Nicholas Drazenovic,F,62,17,36,53,30,10,9,0,6,0.274,0.581,0.855
25,25,US,Casey Wellman,F,70,16,37,53,18,-8,6,0,0,0.229,0.529,0.757
26,21,US,Brock Nelson,F,66,25,27,52,34,0,11,2,6,0.379,0.409,0.788
27,23,CA,Colton Sceviour,F,62,21,31,52,20,21,4,4,4,0.339,0.5,0.839
28,21,CA,Andrew Agozzino,F,76,20,32,52,73,16,5,0,3,0.263,0.421,0.684
29,21,CZ,Ondrej Palat,F,56,13,39,52,35,26,3,1,4,0.232,0.696,0.929
30,20,CA,Tyler Toffoli,F,58,28,23,51,18,20,6,3,2,0.483,0.397,0.879
31,24,US,Joe Whitney,F,66,26,25,51,32,13,6,0,5,0.394,0.379,0.773
32,22,CA,Jordan Eberle,F,34,25,26,51,10,11,8,0,4,0.735,0.765,1.5
33,27,CA,Alexandre Bolduc,F,56,24,27,51,90,2,4,3,3,0.429,0.482,0.911
34,24,CA,Riley Holzapfel,F,76,21,30,51,93,-1,3,0,3,0.276,0.395,0.671
35,20,CH,Nino Niederreiter,F,74,28,22,50,38,-5,10,1,1,0.378,0.297,0.676
36,24,US,Patrick Maroon,F,64,26,24,50,139,0,12,1,5,0.406,0.375,0.781
37,20,US,Jason Zucker,F,55,24,26,50,43,-6,12,1,8,0.436,0.473,0.909
38,22,SK,Tomas Tatar,F,61,23,26,49,50,8,7,0,5,0.377,0.426,0.803
39,31,US,Jon Disalvatore,F,68,18,31,49,24,-13,9,0,2,0.265,0.456,0.721
40,28,CA,Ben Walter,F,68,15,34,49,18,-10,8,0,3,0.221,0.5,0.721
41,27,CA,Ryan Hamilton,F,56,30,18,48,31,3,7,3,5,0.536,0.321,0.857
42,26,US,Jon Rheault,F,67,20,28,48,40,-4,3,3,2,0.299,0.418,0.716
43,25,CA,Brett Sutter,F,70,19,29,48,62,4,2,0,2,0.271,0.414,0.686
44,22,CA,Justin Schultz,D,34,18,30,48,6,8,7,2,3,0.529,0.882,1.412
45,31,CA,Jason Jaffray,F,65,15,33,48,55,-8,5,1,0,0.231,0.508,0.738
46,22,US,Matt Donovan,D,75,14,34,48,112,14,4,0,2,0.187,0.453,0.64
47,21,US,Chris Brown,F,68,29,18,47,98,-8,14,0,7,0.426,0.265,0.691
48,24,US,Ben Smith,F,54,27,20,47,13,17,10,0,8,0.5,0.37,0.87
49,30,CA,Derek Nesbitt,F,67,26,21,47,18,-4,8,0,3,0.388,0.313,0.701
50,21,CA,Landon Ferraro,F,72,24,23,47,44,6,8,3,2,0.333,0.319,0.653
51,30,CA,Ryan Craig,F,75,20,27,47,71,0,12,2,4,0.267,0.36,0.627
52,20,CA,Tanner Pearson,F,64,19,28,47,14,17,5,0,1,0.297,0.438,0.734
53,24,US,Carter Camper,F,57,10,37,47,6,2,6,1,3,0.175,0.649,0.825
54,22,CA,Matt Fraser,F,62,33,13,46,26,13,17,0,3,0.532,0.21,0.742
55,22,CA,Craig Cunningham,F,75,25,21,46,26,4,10,0,5,0.333,0.28,0.613
56,31,CA,Bracken Kearns,F,66,21,25,46,73,-2,11,1,2,0.318,0.379,0.697
57,20,US,Adam Clendening,D,73,9,37,46,67,17,6,0,0,0.123,0.507,0.63
58,27,CA,Jamie Tardif,F,62,30,15,45,48,-5,13,0,3,0.484,0.242,0.726
59,23,US,Jimmy Hayes,F,67,25,20,45,23,0,8,2,1,0.373,0.299,0.672
60,28,US,Brett Sterling,F,48,24,21,45,50,15,7,0,5,0.5,0.438,0.938
61,34,CA,Jeff Hoggan,F,76,20,25,45,31,7,2,2,2,0.263,0.329,0.592
62,21,FI,Toni Rajala,F,46,17,28,45,16,18,5,0,4,0.37,0.609,0.978
63,21,US,Torey Krug,D,63,13,32,45,37,0,5,0,3,0.206,0.508,0.714
64,21,FI,Sami Vatanen,D,62,9,36,45,44,0,5,0,3,0.145,0.581,0.726
65,29,CA,Brandon Segal,F,73,24,20,44,82,4,3,1,4,0.329,0.274,0.603
66,25,CA,Francis Pare,F,68,22,22,44,37,0,6,0,1,0.324,0.324,0.647
67,24,CA,Zach Hamill,F,72,19,25,44,54,4,8,2,4,0.264,0.347,0.611
68,20,CA,Michael Sgarbossa,F,57,19,25,44,71,-11,8,0,4,0.333,0.439,0.772
69,26,US,Kevin Porter,F,48,15,29,44,38,8,3,1,2,0.313,0.604,0.917
70,26,CA,Rob Klinkhammer,F,53,14,30,44,36,18,2,1,1,0.264,0.566,0.83
71,28,US,Travis Morin,F,59,12,32,44,14,12,4,0,2,0.203,0.542,0.746
72,23,CA,Zach Boychuk,F,49,23,20,43,16,8,10,0,7,0.469,0.408,0.878
73,29,US,Bill Thomas,F,76,22,21,43,33,-6,10,1,3,0.289,0.276,0.566
74,30,US,Matt Anderson,F,67,13,30,43,42,2,2,1,3,0.194,0.448,0.642
75,23,CA,Zac Dalpe,F,54,21,21,42,12,16,6,3,3,0.389,0.389,0.778
76,22,CA,Joe Colborne,F,65,14,28,42,53,13,7,0,3,0.215,0.431,0.646
77,25,CA,Kael Mouillierat,F,50,11,31,42,32,-4,5,1,1,0.22,0.62,0.84
78,22,CA,Mark Barberio,D,73,8,34,42,44,7,5,0,3,0.11,0.466,0.575
79,21,SK,Richard Panik,F,51,22,19,41,81,17,7,1,6,0.431,0.373,0.804
80,24,US,Paul Carey,F,72,19,22,41,29,2,6,2,4,0.264,0.306,0.569
81,28,US,Ryan Potulny,F,66,19,22,41,30,-2,5,1,4,0.288,0.333,0.621
82,20,SE,Johan Larsson,F,69,16,25,41,40,-2,6,1,4,0.232,0.362,0.594
83,26,US,Steven Zalewski,F,73,11,30,41,52,-4,1,0,1,0.151,0.411,0.562
84,21,CA,Taylor Beck,F,50,11,30,41,28,8,3,0,2,0.22,0.6,0.82
85,31,US,Greg Rallo,F,66,23,17,40,36,-19,6,2,1,0.348,0.258,0.606
86,31,CA,Krys Kolanos,F,53,18,22,40,63,-11,6,0,0,0.34,0.415,0.755
87,29,US,Chris Conner,F,60,13,27,40,28,-9,5,0,4,0.217,0.45,0.667
88,24,CA,Ben Maxwell,F,74,11,29,40,52,-17,3,0,3,0.149,0.392,0.541
89,27,CA,Danny Syvret,D,76,6,34,40,34,-21,5,0,0,0.079,0.447,0.526
90,21,CA,Peter Holland,F,45,19,20,39,68,-13,6,1,2,0.422,0.444,0.867
91,22,CZ,Tomas Vincour,F,53,18,21,39,22,5,4,1,0,0.34,0.396,0.736
92,24,CA,Spencer Machacek,F,75,16,23,39,58,-22,6,1,4,0.213,0.307,0.52
