player_id,jersey_no,first_name,last_name,team_id,games_played,total_ice_time,ev_icetime,goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against
75,2,Alex,Grant,PRO,29,8:57:19,7:02:04,5,9,7,0,4,4,173,130,649,507,33,78,108,83,7,4,495,378
353,41,Chad,Billins,UTI,26,8:51:07,6:17:23,1,2,2,0,1,1,95,64,570,373,20,108,106,84,3,6,331,345
284,23,Vojtech,Mozik,ALB,26,8:49:04,5:49:48,3,1,1,0,0,1,117,70,613,409,8,70,78,52,13,7,320,311
76,5,Matt,Grzelcyk,PRO,28,8:48:04,6:58:46,1,6,6,0,5,4,108,88,654,523,36,51,126,44,5,2,479,373
7,24,Cameron,Gaunce,WIL,28,8:46:39,6:40:13,1,2,4,0,0,2,106,87,515,406,20,97,82,94,8,5,389,415
163,21,Chandler,Stephenson,HER,30,8:41:40,6:05:51,6,4,7,0,0,4,40,27,580,391,69,31,63,17,8,13,293,284
44,3,Samuel,Morin,LV,29,8:40:17,6:48:14,2,2,2,0,2,2,88,72,437,329,14,69,74,96,14,5,347,376
45,8,Will,ONeill,LV,26,8:39:59,6:22:21,1,7,3,0,4,2,124,97,711,491,25,74,111,83,5,3,389,323
26,29,Tom,Kostopoulos,WIL,28,8:39:23,5:51:44,10,5,4,0,4,4,105,88,539,419,56,90,63,54,4,8,479,318
262,28,Mike,Halmo,SYR,30,8:38:09,5:55:22,9,2,3,0,2,3,116,95,409,298,66,84,58,37,7,13,446,244
106,8,Kyle,Burroughs,BRI,26,8:36:40,6:06:46,0,4,3,0,3,3,88,66,476,370,26,91,89,67,13,8,305,426
129,38,Bracken,Kearns,BRI,28,8:35:19,5:02:32,14,7,8,0,2,4,81,70,423,298,57,70,58,40,4,10,371,373
464,57,Brady,Austin,RCH,26,8:33:08,6:40:11,0,2,1,0,2,1,61,53,422,324,13,85,63,95,4,4,272,467
222,55,Chris,Summers,HAR,27,8:30:55,6:41:42,3,2,2,0,2,1,46,35,418,344,18,57,59,54,10,6,318,433
148,25,Colby,Williams,HER,30,8:30:38,7:00:04,2,4,4,0,2,2,40,29,505,307,21,38,68,36,10,4,244,295
303,16,Ben,Sexton,ALB,29,8:29:21,5:29:35,8,2,4,0,1,4,71,59,340,221,63,60,53,34,8,8,320,308
330,20,Jacob de,Crisp Rose,STJ,25,8:28:59,5:28:23,3,3,5,0,2,5,74,59,383,300,55,66,47,45,7,7,296,405
