rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,19,CA,Anthony Mantha,F,57,57,63,120,75,34,18,6,8,1,1.105,2.105
2,20,CA,Marcus Power,F,67,31,78,109,43,25,6,4,2,0.463,1.164,1.627
3,18,CA,Jonathan Drouin,F,46,29,79,108,43,50,10,3,6,0.63,1.717,2.348
4,17,DK,Nikolaj Ehlers,F,63,49,55,104,51,65,13,7,7,0.778,0.873,1.651
5,19,CA,Louick Marcotte,F,67,42,58,100,47,34,18,1,6,0.627,0.866,1.493
6,18,CA,Anthony Duclair,F,59,50,49,99,56,19,15,3,7,0.847,0.831,1.678
7,20,CA,Guillaume Gelinas,D,67,23,69,92,81,24,14,1,4,0.343,1.03,1.373
8,19,CA,Emile Poirier,F,63,43,44,87,129,30,6,8,8,0.683,0.698,1.381
9,19,US,Cameron Darcy,F,65,35,47,82,51,3,8,2,5,0.538,0.723,1.262
10,20,CA,Darcy Ashley,F,48,30,50,80,72,35,8,3,11,0.625,1.042,1.667
11,18,CA,Anthony DeLuca,F,67,35,43,78,60,23,10,0,10,0.522,0.642,1.164
12,19,CA,Angelo Miceli,F,68,35,42,77,46,9,11,0,3,0.515,0.618,1.132
13,20,CA,Sebastien Sylvestre,F,64,30,46,76,80,9,8,0,5,0.469,0.719,1.188
14,19,CA,Charles Hudon,F,57,26,50,76,83,9,9,0,7,0.456,0.877,1.333
15,17,CA,Daniel Audette,F,68,21,55,76,79,-37,7,1,1,0.309,0.809,1.118
16,20,CA,Jean-Francois Plante,F,69,52,23,75,34,-5,26,8,5,0.754,0.333,1.087
17,19,CA,Jean-Sebastien Dea,F,65,49,26,75,53,4,17,6,8,0.754,0.4,1.154
18,18,CA,Michael Joly,F,64,44,30,74,29,42,9,6,5,0.688,0.469,1.156
19,20,CA,Randy Gazzola,D,68,16,58,74,40,33,6,0,3,0.235,0.853,1.088
20,19,CA,Jerome Verrier,F,68,39,33,72,86,7,19,2,7,0.574,0.485,1.059
