rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,20,CA,Ben Duffy,0,0,F,68,39,71,110,4,17,12,2,3,0.574,1.044,1.618
2,17,CA,Jonathan Drouin,0,1,F,49,41,64,105,32,48,7,4,5,0.837,1.306,2.143
3,20,CA,Josh Currie,0,0,F,68,49,55,104,62,26,12,10,6,0.721,0.809,1.529
4,19,CA,Peter Trainor,0,0,F,68,46,54,100,45,30,16,1,5,0.676,0.794,1.471
5,19,CZ,Dmitri Jaskin,1,1,F,51,46,53,99,73,26,13,0,4,0.902,1.039,1.941
6,19,CH,Sven Andrighetto,0,1,F,53,31,67,98,45,25,15,2,4,0.585,1.264,1.849
7,20,CA,Alex Lavoie,0,0,F,63,36,60,96,50,-2,12,0,6,0.571,0.952,1.524
8,20,CA,Zach O'Brien,0,0,F,66,47,45,92,2,19,10,6,5,0.712,0.682,1.394
9,19,RU,Anton Zlobin,0,0,F,61,29,62,91,43,9,6,1,4,0.475,1.016,1.492
10,18,CA,Anthony Mantha,0,1,F,67,50,39,89,71,21,13,1,5,0.746,0.582,1.328
11,18,CA,Jean-Sebastien Dea,0,0,F,68,45,40,85,59,21,25,2,4,0.662,0.588,1.25
12,19,CA,Phillip Danault,0,1,F,56,23,62,85,50,16,11,2,5,0.411,1.107,1.518
13,19,CZ,Martin Frk,0,1,F,56,35,49,84,84,31,13,0,7,0.625,0.875,1.5
14,20,CA,Allain Saulnier,0,0,F,66,27,56,83,18,28,10,3,3,0.409,0.848,1.258
15,19,CA,Cedric Paquette,1,1,F,63,27,56,83,103,29,6,0,5,0.429,0.889,1.317
16,20,CA,Philippe Maillet,0,0,F,65,25,58,83,17,-12,12,1,4,0.385,0.892,1.277
17,20,CZ,Petr Straka,0,1,F,55,41,41,82,34,33,12,1,5,0.745,0.745,1.491
18,20,CA,Alex Saulnier,0,0,F,68,28,54,82,36,22,8,1,5,0.412,0.794,1.206
