rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,19,US,Conor Garland,F,62,39,89,128,97,26,13,1,6,0.629,1.435,2.065
2,19,CA,Francis Perron,F,62,41,67,108,38,41,10,3,3,0.661,1.081,1.742
3,17,CA,Pierre-Luc Dubois,F,62,42,57,99,112,40,10,3,6,0.677,0.919,1.597
4,19,CA,Alexis D'Aoust,F,68,44,54,98,22,32,9,2,6,0.647,0.794,1.441
5,17,RU,Vitaly Abramov,F,63,38,55,93,36,36,11,0,6,0.603,0.873,1.476
6,20,CA,Anthony Beauregard,F,67,30,63,93,62,30,9,1,7,0.448,0.94,1.388
7,18,CA,Nicolas Roy,F,63,48,42,90,71,17,20,0,8,0.762,0.667,1.429
8,19,CA,Michael Carcone,F,66,47,42,89,80,1,16,1,8,0.712,0.636,1.348
9,18,CA,Alex Barre-Boulet,F,65,35,54,89,42,2,11,0,7,0.538,0.831,1.369
10,20,CA,Michael Joly,F,60,47,41,88,38,29,12,3,9,0.783,0.683,1.467
11,19,CA,Anthony Richard,F,58,37,50,87,37,28,8,5,8,0.638,0.862,1.5
12,19,CH,Timo Meier,F,52,34,53,87,46,29,12,0,7,0.654,1.019,1.673
13,20,CA,Guillaume Gauthier,F,67,38,48,86,38,-10,25,0,3,0.567,0.716,1.284
14,19,SE,Dmytro Timashov,F,57,22,63,85,79,27,3,0,3,0.386,1.105,1.491
15,19,CA,Nicolas Aube-Kubel,F,61,38,46,84,71,38,9,5,6,0.623,0.754,1.377
16,19,CA,Samuel Blais,F,63,33,49,82,33,-4,15,1,3,0.524,0.778,1.302
17,18,CA,Jean-Christophe Beaudin,F,58,33,49,82,34,46,10,4,7,0.569,0.845,1.414
18,18,CA,Anthony Beauvillier,F,47,40,39,79,57,21,15,2,6,0.851,0.83,1.681
19,19,RU,Evgeny Svechnikov,F,50,32,47,79,97,26,13,3,3,0.64,0.94,1.58
