rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
265,18,CA,Gabriel Gosselin,F,47,6,7,13,31,-7,0,0,1,0.128,0.149,0.277
266,17,US,Chase Harwell,F,42,6,7,13,47,-10,1,0,1,0.143,0.167,0.31
267,17,CA,Olivier Desjardins,D,59,3,10,13,33,19,0,0,0,0.051,0.169,0.22
268,19,CA,Julien Avon,F,64,7,5,12,25,-20,0,2,1,0.109,0.078,0.188
269,16,US,Liam Murphy,F,51,7,5,12,8,0,2,0,0,0.137,0.098,0.235
270,17,CA,Adam Holwell,D,66,6,6,12,33,-5,0,0,0,0.091,0.091,0.182
271,18,CA,William Gignac,F,58,5,7,12,6,-14,3,0,0,0.086,0.121,0.207
272,19,CA,Maxime Presseault,F,41,4,8,12,10,-3,0,0,0,0.098,0.195,0.293
273,17,CA,Pascal Aquin,F,56,3,9,12,30,6,0,0,0,0.054,0.161,0.214
274,16,CA,Nathan Tremblay,F,50,3,9,12,28,-7,0,0,0,0.06,0.18,0.24
275,18,CA,Guillaume Beaudry,D,60,2,10,12,111,-9,0,0,0,0.033,0.167,0.2
276,18,CA,Jonathan Deschamps,D,68,1,11,12,44,0,0,0,0,0.015,0.162,0.176
277,18,CA,Danick Crete,D,39,1,11,12,34,-2,0,0,1,0.026,0.282,0.308
278,17,CA,Vincent Lanoue,D,59,0,12,12,32,-2,0,0,0,0,0.203,0.203
279,17,CA,Samuel Blier,F,45,6,5,11,29,-3,0,0,0,0.133,0.111,0.244
280,19,CA,Cedric Montminy,F,19,6,5,11,6,2,1,0,1,0.316,0.263,0.579
281,16,CA,Mitchell Balmas,F,56,5,6,11,12,-5,1,0,1,0.089,0.107,0.196
282,18,CA,Andrew Shewfelt,F,55,5,6,11,12,-3,0,1,1,0.091,0.109,0.2
283,19,CA,William Couture,F,50,4,7,11,42,5,0,0,1,0.08,0.14,0.22
284,19,CA,Brian Lovell,D,35,4,7,11,52,-1,0,0,1,0.114,0.2,0.314
285,19,CA,Kelly Bent,F,58,2,9,11,160,-20,0,0,0,0.034,0.155,0.19
286,17,CZ,Daniel Krenzelok,D,58,1,10,11,13,4,0,0,0,0.017,0.172,0.19
287,16,CA,Tyler Hylland,F,51,7,3,10,8,2,0,0,1,0.137,0.059,0.196
288,19,CA,Jeremy Lepine,F,37,5,5,10,42,-1,0,0,0,0.135,0.135,0.27
289,19,CA,Deven St. Hilaire,F,34,5,5,10,21,8,0,0,0,0.147,0.147,0.294
290,17,CA,Alexandre Jacob,F,31,5,5,10,4,8,0,0,0,0.161,0.161,0.323
291,19,CA,Anthony Gingras,D,69,3,7,10,31,-16,0,0,0,0.043,0.101,0.145
292,18,CA,Daniel De Sousa,D,51,3,7,10,52,-15,0,0,0,0.059,0.137,0.196
293,19,CA,Francis Brunelle,F,45,3,7,10,115,-2,0,0,1,0.067,0.156,0.222
294,17,CA,Dillon Boucher,F,40,3,7,10,59,-13,1,0,0,0.075,0.175,0.25
295,19,RU,Viktor Baldayev,D,31,3,7,10,25,-4,2,0,0,0.097,0.226,0.323
296,16,CA,Thomas Gregoire,D,62,2,8,10,40,12,1,0,1,0.032,0.129,0.161
297,16,CA,Keith Getson,F,63,1,9,10,23,-9,0,1,0,0.016,0.143,0.159
298,19,CA,Kris Hodge,F,39,0,10,10,33,-3,0,0,0,0,0.256,0.256
299,16,CA,Julien Tessier,F,41,3,6,9,11,-9,0,0,0,0.073,0.146,0.22
300,17,CA,Julien Carignan-Labbe,D,65,2,7,9,107,-12,0,0,0,0.031,0.108,0.138
301,20,CA,Alexandre Leclerc,D,55,2,7,9,22,-20,0,0,0,0.036,0.127,0.164
302,17,CA,Olivier Schingh-Gomez,F,46,2,7,9,99,7,1,0,0,0.043,0.152,0.196
