rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,19,CA,Anthony Mantha,0,1,F,57,57,63,120,75,34,18,6,8,1,1.105,2.105
2,20,CA,Marcus Power,0,0,F,67,31,78,109,43,25,6,4,2,0.463,1.164,1.627
3,18,CA,Jonathan Drouin,1,1,F,46,29,79,108,43,50,10,3,6,0.63,1.717,2.348
4,17,DK,Nikolaj Ehlers,0,1,F,63,49,55,104,51,65,13,7,7,0.778,0.873,1.651
5,19,CA,Louick Marcotte,0,0,F,67,42,58,100,47,34,18,1,6,0.627,0.866,1.493
6,18,CA,Anthony Duclair,1,1,F,59,50,49,99,56,19,15,3,7,0.847,0.831,1.678
7,20,CA,Guillaume Gelinas,0,0,D,67,23,69,92,81,24,14,1,4,0.343,1.03,1.373
8,19,CA,Emile Poirier,1,1,F,63,43,44,87,129,30,6,8,8,0.683,0.698,1.381
9,19,US,Cameron Darcy,0,0,F,65,35,47,82,51,3,8,2,5,0.538,0.723,1.262
10,20,CA,Darcy Ashley,0,0,F,48,30,50,80,72,35,8,3,11,0.625,1.042,1.667
11,18,CA,Anthony DeLuca,0,0,F,67,35,43,78,60,23,10,0,10,0.522,0.642,1.164
12,19,CA,Angelo Miceli,0,0,F,68,35,42,77,46,9,11,0,3,0.515,0.618,1.132
13,20,CA,Sebastien Sylvestre,0,0,F,64,30,46,76,80,9,8,0,5,0.469,0.719,1.188
14,19,CA,Charles Hudon,0,1,F,57,26,50,76,83,9,9,0,7,0.456,0.877,1.333
15,17,CA,Daniel Audette,0,0,F,68,21,55,76,79,-37,7,1,1,0.309,0.809,1.118
16,20,CA,Jean-Francois Plante,0,0,F,69,52,23,75,34,-5,26,8,5,0.754,0.333,1.087
17,19,CA,Jean-Sebastien Dea,0,0,F,65,49,26,75,53,4,17,6,8,0.754,0.4,1.154
18,18,CA,Michael Joly,0,0,F,64,44,30,74,29,42,9,6,5,0.688,0.469,1.156
19,20,CA,Randy Gazzola,0,0,D,68,16,58,74,40,33,6,0,3,0.235,0.853,1.088
20,19,CA,Jerome Verrier,0,0,F,68,39,33,72,86,7,19,2,7,0.574,0.485,1.059
21,20,CA,Frederick Gaudreau,0,1,F,63,32,39,71,2,1,10,0,3,0.508,0.619,1.127
22,19,CA,Charles-Eric Legare,0,0,F,68,34,36,70,48,-14,12,3,3,0.5,0.529,1.029
23,19,CA,Christophe Lalonde,0,0,F,64,40,29,69,37,-15,19,4,7,0.625,0.453,1.078
24,18,CA,Jeremy Gregoire,0,0,F,65,35,34,69,84,25,14,0,7,0.538,0.523,1.062
25,20,CA,Sam Henley,0,0,F,51,30,39,69,42,33,11,2,8,0.588,0.765,1.353
26,20,CA,Brent Andrews,0,0,F,63,28,41,69,54,50,3,3,4,0.444,0.651,1.095
27,19,CA,Alexis Loiseau,0,0,F,68,19,50,69,31,30,6,1,2,0.279,0.735,1.015
28,16,NL,Daniel Sprong,0,1,F,67,30,38,68,20,-20,9,0,0,0.448,0.567,1.015
29,18,RU,Ivan Barbashev,0,0,F,48,25,43,68,27,-11,9,1,4,0.521,0.896,1.417
30,19,CA,Kyle Farrell,0,0,F,65,35,31,66,34,16,12,2,5,0.538,0.477,1.015
31,19,CA,William Carrier,0,1,F,66,22,43,65,87,-1,9,0,6,0.333,0.652,0.985
32,18,RU,Valentin Zykov,0,0,F,53,23,40,63,70,32,7,0,1,0.434,0.755,1.189
33,20,CA,Peter Trainor,0,0,F,65,28,34,62,34,15,11,0,4,0.431,0.523,0.954
34,19,CA,Christopher Clapperton,0,0,F,53,26,36,62,55,15,10,0,5,0.491,0.679,1.17
35,18,US,Adam Erne,0,0,F,48,21,41,62,65,-3,6,0,6,0.438,0.854,1.292
36,18,SK,Martin Reway,0,0,F,43,20,42,62,48,13,5,2,3,0.465,0.977,1.442
37,19,SE,Nick Sörensen,0,1,F,44,31,30,61,43,16,13,1,6,0.705,0.682,1.386
38,18,CA,Nikolas Brouillard,0,0,D,68,12,49,61,86,2,10,0,4,0.176,0.721,0.897
39,19,CA,Danick Martel,0,0,F,63,32,28,60,42,28,8,4,4,0.508,0.444,0.952
40,20,CA,Matt Boudens,0,0,F,67,24,35,59,125,14,11,2,2,0.358,0.522,0.881
41,19,CA,Christophe Lalancette,0,0,F,68,16,43,59,37,0,11,0,1,0.235,0.632,0.868
42,19,CA,Mackenzie Weegar,0,0,D,61,12,47,59,97,56,6,0,0,0.197,0.77,0.967
43,19,CH,Fabrice Herzog,0,0,F,61,32,26,58,34,19,10,1,3,0.525,0.426,0.951
44,20,CA,Francis Beauvillier,0,0,F,64,22,36,58,88,-3,8,2,5,0.344,0.563,0.906
