id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
8474059,"Linus Omark",20,SWE,EURO,70,187,L,2007,97,55,50,8,9,17,32,0,4,1,0,1,2,0,79,1146,yes,0.7998548932406279,4
8474114,"Oscar Moller",18,SWE,EURO,70,189,R,2007,52,20,68,32,37,69,50,0,5,0,3,3,6,0,87,1017,yes,0.7987343664858106,4
8474627,"Jori Lehtera",21,FIN,EURO,74,212,C,2008,65,23,54,13,29,42,32,0,11,4,2,6,8,0,75,1215,yes,0.7929214120046657,4
8474670,"Andre Petersson",18,SWE,EURO,69,175,R,2008,109,19,46,24,31,55,40,0,3,0,0,0,2,0,1,5,yes,0.7898912333720598,4
8474134,"Yannick Weber",19,CHE,EURO,71,200,D,2007,73,53,52,13,28,41,44,0,9,3,6,9,8,0,164,2396,yes,0.7858813281258753,4
8474153,"Michal Repik",19,CZE,EURO,70,180,R,2007,40,58,56,24,31,55,56,0,27,13,20,33,28,0,72,773,yes,0.7770300475057262,4
9271,"Niclas Lucenius",18,Finland,EURO,72,203,C,2007,115,13,60,25,25,50,92,0,10,2,3,5,14,-1,0,0,no,0.7664778309956761,4
5509,"Jens Hellgren",18,Sweden,EURO,75,194,D,2007,155,17,71,4,13,17,44,0,11,2,2,4,8,0,0,0,no,0.7510942301111331,4
8474049,"Akim Aliu",18,NGA,EURO,76,225,R,2007,56,41,53,20,22,42,104,0,21,1,5,6,50,-4,7,76,yes,0.7505728030465617,4
8474693,"Tomas Kubalik",18,CZE,EURO,74,212,R,2008,135,21,54,16,20,36,68,0,6,1,3,4,22,0,12,165,yes,0.7252923065371384,4
8474154,"Andreas Thuresson",20,SWE,EURO,73,206,R,2007,144,85,58,12,7,19,28,0,0,0,0,0,0,0,25,250,yes,0.7204748419871569,4
8474719,"Teemu Hartikainen",18,FIN,EURO,73,214,C,2008,163,25,51,21,14,35,36,0,11,1,4,5,6,0,52,673,yes,0.7137046661143721,4
8474128,"Milan Kytnar",18,SVK,EURO,72,190,C,2007,127,22,81,43,66,109,147,0,5,1,1,2,4,0,1,6,yes,0.7063246810038378,4
8474604,"Aaron Ness",18,USA,USA,70,184,D,2008,40,35,49,30,61,91,18,0,0,0,0,0,0,0,29,448,yes,0.6888018314746371,4
8474685,"Matt Calvert",19,CAN,CAN,71,188,L,2008,127,45,72,24,40,64,53,0,6,1,2,3,2,0,209,2977,yes,0.6802246286505739,4
8474748,"Andrew MacWilliam",18,CAN,CAN,74,223,D,2008,188,59,54,0,13,13,130,0,24,1,5,6,55,0,12,185,yes,0.6739848525070866,4
8474031,"Kevin Shattenkirk",18,USA,USA,72,209,D,2007,14,34,64,14,31,45,64,0,0,0,0,0,0,0,282,5866,yes,0.6735361048460043,4
8474113,"TJ Brennan",18,USA,USA,73,216,D,2007,31,29,68,16,25,41,79,0,4,1,1,2,4,0,40,639,yes,0.6555953450692732,4
7571,"Vili Sopanen",20,Finland,EURO,75,218,R,2007,177,72,52,20,22,42,48,0,15,5,13,18,18,1,0,0,no,0.6471051409605307,4
19034,"Maxim Trunyov",18,Russia,EURO,72,198,R,2008,138,55,40,27,25,52,58,0,0,0,0,0,0,0,0,0,no,0.64156752850627,4
8474666,"David Ullstrom",19,SWE,EURO,74,195,L,2008,102,17,47,27,27,54,86,0,3,2,2,4,0,0,49,508,yes,0.6393314872937297,4
15017,"David Carle",19,USA,USA,72,185,D,2008,203,74,61,13,38,51,61,0,0,0,0,0,0,0,0,0,no,0.6367109605156606,4
14399,"Nick Larson",19,USA,USA,74,207,L,2008,108,53,57,19,19,38,66,0,9,3,2,5,31,0,0,0,no,0.6179605004759167,4
