id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
58592,"Brent Maclellan",18,Canada,CAN,75,227,D,2001,104,58,62,7,19,26,155,-34,11,0,0,0,41,0,0,0,no,0.9913875390466838,2
48428,"Mike Bray",19,Canada,CAN,75,207,R,2001,228,155,41,10,10,20,317,-2,4,1,1,2,35,0,0,0,no,0.952375793993944,2
8470041,"Rick Nash",18,CAN,CAN,76,212,R,2002,1,2,61,33,42,75,90,-16,12,10,9,19,21,0,441,8154,yes,0.9244759316600433,2
321,"Gustav Grasberg",18,Sweden,EURO,72,203,C,2001,240,43,56,13,12,25,86,-2,12,5,4,9,26,0,0,0,no,0.8960849578901594,2
43127,"Jesse Lane",19,USA,USA,74,205,D,2002,91,48,51,16,25,41,91,-11,11,1,9,10,18,0,0,0,no,0.7319783055429685,2
8470280,"Ben Eager",18,CAN,CAN,74,226,L,2002,23,15,71,15,26,41,300,-16,5,0,1,1,13,0,195,1529,yes,0.5912991299711904,2
18670,"Pierre-Luc Emond",19,Canada,CAN,72,220,C,2001,165,48,62,10,36,46,100,-8,6,2,0,2,10,0,0,0,no,0.43246784383933523,2
8470123,"Cam Janssen",18,USA,USA,72,215,R,2002,117,NULL,64,5,17,22,268,-7,10,0,0,0,13,0,163,784,yes,0.20537226288614552,2
8470299,"Erik Christensen",19,CAN,CAN,73,200,C,2002,69,46,70,22,36,58,68,-4,4,0,0,0,4,0,217,2840,yes,0.18852145168896906,2
9461,"Adam Henrich",18,Canada,CAN,76,238,L,2002,60,23,74,33,33,66,135,-4,0,0,0,0,0,0,0,0,no,0.18240619751590595,2
8470151,"Jay Bouwmeester",19,CAN,CAN,76,221,D,2002,3,1,68,11,52,63,52,-3,0,0,0,0,0,0,471,11754,yes,0.1776212275102655,2
526,"Fredrik Johansson",18,Sweden,EURO,72,187,C,2002,274,32,73,18,28,46,49,-2,8,3,8,11,4,0,0,0,no,0.1649277667533498,2
12854,"Beat Forster",18,Switzerlan,EURO,73,218,D,2001,78,20,51,8,10,18,104,-2,6,1,1,2,4,0,0,0,no,0.12905951555537218,2
13483,"Shawn Collymore",18,Canada,CAN,72,201,R,2001,139,39,71,24,43,67,32,-9,4,0,3,3,0,0,0,0,no,0.10150679943651099,2
8467904,"Charlie Stephens",20,CAN,CAN,76,225,C,2001,196,NULL,67,38,38,76,53,-1,4,0,2,2,2,0,8,48,yes,0.0992709504130749,2
18722,"Emanuel Peter",18,Switzerlan,EURO,73,209,C,2002,142,27,50,2,9,11,18,-2,6,1,0,1,4,0,0,0,no,0.09903866090436976,2
15838,"Petr Preucil",18,"Czech Rep.",EURO,74,187,L,2001,206,NULL,70,12,35,47,121,-30,4,1,0,1,11,0,0,0,no,0.08990125722550259,2
9644,"Igor Pohanka",18,Slovakia,EURO,75,212,C,2001,44,36,76,18,36,54,28,-28,0,0,0,0,0,0,0,0,no,0.06815982863299941,2
53959,"Jeff Lucky",18,Canada,CAN,72,203,C,2001,125,44,53,20,21,41,26,-2,0,0,0,0,0,0,0,0,no,0.0648820270897383,2
12768,"Greg Watson",18,Canada,CAN,72,205,C,2001,34,14,71,22,28,50,72,-42,0,0,0,0,0,0,0,0,no,0.06401291288417287,2
3595,"Oliver Setzinger",18,Austria,EURO,72,196,L,2001,76,28,64,19,18,37,104,-1,0,0,0,0,0,0,0,0,no,0.06099035470934188,2
18716,"Artyom Ternavsky",18,Russia,EURO,75,218,D,2001,160,45,71,3,16,19,147,-15,0,0,0,0,0,0,0,0,no,0.05663891535514625,2
12230,"Andrei Mikhnov",19,Ukraine,EURO,79,214,C,2002,62,77,67,14,18,32,43,-14,0,0,0,0,0,0,0,0,no,0.05493857266478798,2
9577,"Alexei Shkotov",18,Russia,EURO,70,183,R,2002,48,21,64,24,18,42,54,-6,0,0,0,0,0,0,0,0,no,0.05197295130100013,2
3216,"Ville Hamalainen",20,Finland,EURO,71,176,C,2001,251,51,70,13,16,29,18,-3,0,0,0,0,0,0,0,0,no,0.051891108162768776,2
31511,"Scott Horvath",19,USA,USA,74,225,R,2001,184,64,31,6,4,10,18,-4,0,0,0,0,0,0,0,0,no,0.05037306854089541,2
19740,"Denis Grot",18,Russia,EURO,72,207,D,2002,55,11,58,2,4,6,64,-9,0,0,0,0,0,0,0,0,no,0.04976077232487695,2
358,"Robin Jonsson",19,Sweden,EURO,74,220,D,2002,120,60,53,4,4,8,26,-9,0,0,0,0,0,0,0,0,no,0.04825700782878299,2
14458,"Justin Maiser",19,USA,USA,72,190,L,2002,165,40,36,8,14,22,65,-2,0,0,0,0,0,0,0,0,no,0.04381699181832583,2
11498,"Brian Sipotz",20,USA,USA,78,212,D,2001,100,75,32,0,1,1,48,-2,0,0,0,0,0,0,0,0,no,0.043265488510102514,2
