id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
8474584,"Michael Del Zotto",18,CAN,CAN,72,195,D,2008,20,14,64,16,47,63,82,7,15,2,6,8,38,1,381,7781,yes,0.6927385594629364,5
19181,"Steven Delisle",18,Canada,CAN,78,234,D,2008,107,62,70,6,23,29,89,8,19,0,10,10,16,0,0,0,no,0.6621246762646704,5
8474629,"Shawn Lalonde",18,CAN,CAN,73,204,D,2008,68,49,66,9,22,31,67,28,25,2,10,12,35,7,1,15,yes,0.6527855062605039,5
8474056,"P.K. Subban",18,CAN,CAN,72,210,D,2007,43,102,68,15,41,56,89,13,15,5,8,13,26,11,284,6716,yes,0.6317636580435838,5
8474601,"Yann Sauve",18,CAN,CAN,75,209,D,2008,41,21,69,6,15,21,92,1,14,1,2,3,23,-5,8,102,yes,0.6164929573669607,5
8474628,"Michael Stone",18,CAN,CAN,75,210,D,2008,69,51,71,10,25,35,28,3,14,3,4,7,10,0,204,3811,yes,0.6063440961917138,5
8474046,"Alex Plante",18,CAN,CAN,76,230,D,2007,15,72,58,8,30,38,81,18,13,5,6,11,14,0,10,131,yes,0.5881557767660904,5
8474163,"Kevin Marshall",18,CAN,CAN,73,191,D,2007,41,47,70,5,27,32,141,34,17,0,7,7,38,-2,10,88,yes,0.5660847290066815,5
12113,"Dale Mitchell",18,Canada,CAN,69,205,R,2007,74,45,67,43,37,80,81,3,9,1,4,5,12,-7,0,0,no,0.5594673706837316,5
11102,"Mitch Wahl",18,USA,USA,72,205,C,2008,48,37,67,20,53,73,63,33,21,6,8,14,20,6,0,0,no,0.5540995883966778,5
11844,"Jerome Flaake",18,Germany,EURO,75,203,R,2008,130,22,87,41,54,95,90,5,4,2,4,6,41,0,0,0,no,0.5533923154370672,5
8474050,"Brett MacLean",19,CAN,CAN,74,201,L,2007,32,14,68,47,53,100,43,9,7,6,9,15,9,-2,18,156,yes,0.5529490052356988,5
11099,"Nick Ross",18,Canada,CAN,73,207,D,2007,30,18,70,7,24,31,87,11,10,1,5,6,14,0,0,0,no,0.5518575123433419,5
8474025,"Eric Tangradi",18,USA,USA,76,221,L,2007,42,93,65,5,15,20,32,12,15,8,9,17,14,8,136,1284,yes,0.5479443726158494,5
19054,"Ian Schultz",18,Canada,CAN,74,216,R,2008,87,94,67,15,15,30,128,10,16,2,7,9,19,5,0,0,no,0.5300167350007491,5
8474164,"Jonathon Blum",18,USA,USA,73,188,D,2007,23,17,72,8,43,51,48,37,27,3,7,10,8,13,106,1675,yes,0.527988479969784,5
