id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
8474146,"Spencer Machacek",19,CAN,CAN,73,200,R,2007,67,52,63,21,24,45,32,26,27,12,11,23,14,12,25,191,yes,0.9900950944178386,6
9347,"Justin Azevedo",20,Canada,CAN,67,174,C,2008,153,NULL,67,43,81,124,69,24,20,10,26,36,33,10,0,0,no,0.9888389841358178,6
8474631,"Marc-Andre Bourdon",19,CAN,CAN,72,206,D,2008,67,202,69,12,47,59,114,39,17,2,16,18,25,10,45,728,yes,0.9872795553672469,6
8474138,"Dustin Jeffrey",19,CAN,CAN,73,205,L,2007,171,137,68,34,58,92,40,7,13,6,12,18,11,1,124,1400,yes,0.9867487527563449,6
8474579,"Luca Sbisa",18,ITA,EURO,74,209,D,2008,19,18,68,6,27,33,67,19,19,3,12,15,17,8,342,6107,yes,0.015096083815926057,6
