id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
8469455,"Jason Spezza",18,CAN,CAN,75,210,C,2001,2,1,63,46,76,122,45,0,9,4,5,9,10,0,322,5714,yes,0.9282017673222154,3
8469474,"Colby Armstrong",19,CAN,CAN,74,185,R,2001,21,8,76,36,43,79,168,0,25,6,7,13,41,0,199,3397,yes,0.9140841746450182,3
8469454,"Ilya Kovalchuk",18,RUS,EURO,75,230,R,2001,1,1,53,43,24,67,141,0,12,14,4,18,38,0,466,9905,yes,0.8982338589620239,3
8470105,"Scottie Upshall",19,CAN,CAN,72,200,R,2002,6,5,68,35,54,89,149,0,4,1,2,3,21,0,230,2998,yes,0.8977525554187803,3
8469489,"Duncan Milroy",18,CAN,CAN,73,196,R,2001,37,7,68,38,54,92,51,0,19,9,12,21,6,0,5,65,yes,0.8975179719125304,3
8469506,"Jason Pominville",19,CAN,CAN,72,181,R,2001,55,22,71,46,67,113,24,0,10,6,6,12,0,0,222,3883,yes,0.896727920008687,3
8469480,"Jeff Woywitka",18,CAN,CAN,75,227,D,2001,27,13,76,7,28,35,113,0,26,2,8,10,25,0,87,1212,yes,0.894268769500374,3
8469495,"Doug Lynch",18,CAN,CAN,75,214,D,2001,43,23,76,13,39,52,192,0,25,2,11,13,41,0,2,21,yes,0.8823156688365429,3
8469488,"Mark Popovic",19,CAN,CAN,73,205,D,2001,35,11,68,7,37,44,60,0,18,3,5,8,22,0,44,599,yes,0.8793559451838037,3
8469465,"Dan Hamhuis",19,CAN,CAN,73,200,D,2001,12,2,69,13,48,61,133,0,6,2,3,5,15,0,323,7163,yes,0.874005725929665,3
8469501,"Chris Thorburn",18,CAN,CAN,75,235,R,2001,50,26,66,22,32,54,64,0,4,0,1,1,9,0,114,973,yes,0.8724775783920353,3
8469457,"Stephen Weiss",18,CAN,CAN,71,190,C,2001,4,3,62,40,47,87,45,0,18,7,16,23,10,0,323,5289,yes,0.8686812923265622,3
8469534,"Aaron Johnson",18,CAN,CAN,73,204,D,2001,85,17,64,12,41,53,128,0,11,2,4,6,35,0,146,1996,yes,0.8480377596818314,3
8470230,"Daniel Paille",18,CAN,CAN,73,200,L,2002,20,12,62,27,30,57,54,0,13,6,4,10,13,0,193,2407,yes,0.8461340417639149,3
8469516,"Brendan Bell",18,CAN,CAN,74,205,D,2001,65,15,68,7,32,39,59,0,20,1,11,12,22,0,48,660,yes,0.8372107123253694,3
13396,"Vince Bellissimo",20,Canada,CAN,72,198,C,2002,158,43,61,37,39,76,33,0,0,0,0,0,0,0,0,0,no,0.8252716136883204,3
8470201,"Jiri Hudler",18,CZE,EURO,70,190,R,2002,58,3,75,32,49,81,76,0,0,0,0,0,0,0,255,3076,yes,0.8229290704278124,3
8469508,"Jay McClement",18,CAN,CAN,73,205,C,2001,57,28,66,30,19,49,61,0,9,4,2,6,10,0,229,3186,yes,0.8228140222043951,3
8469470,"Carlo Colaiacovo",18,CAN,CAN,73,202,D,2001,17,10,62,12,27,39,59,0,14,4,7,11,16,0,101,1728,yes,0.8212405852526665,3
8469531,"Jay Harrison",19,CAN,CAN,76,222,D,2001,82,18,60,4,15,19,114,0,9,1,1,2,17,0,13,193,yes,0.8157634306194076,3
8469466,"Ales Hemsky",18,CZE,EURO,72,185,R,2001,13,9,68,36,64,100,67,0,5,2,3,5,2,0,349,5572,yes,0.8156363750511789,3
8469542,"Stephane Veilleux",20,CAN,CAN,73,200,L,2001,93,NULL,73,51,70,121,96,0,26,18,21,39,48,0,280,3691,yes,0.814777948388665,3
8470176,"Sean Bergenheim",18,FIN,EURO,71,201,L,2002,22,15,70,21,26,47,102,0,6,6,2,8,20,0,183,2250,yes,0.8133181500217213,3
8469528,"Garth Murray",19,CAN,CAN,74,210,C,2001,79,34,72,28,16,44,183,0,6,1,1,2,10,0,106,922,yes,0.8130663885513612,3
8469515,"Tomas Malec",19,SVK,EURO,74,215,D,2001,64,33,71,13,50,63,200,0,11,0,11,11,26,0,46,502,yes,0.8124585181198566,3
8469459,"Mikko Koivu",18,FIN,EURO,75,215,C,2001,6,4,60,11,43,54,42,0,10,3,11,14,8,0,203,3472,yes,0.8076484906704059,3
8469473,"Marcel Goc",18,DEU,EURO,73,197,C,2001,20,12,76,15,33,48,16,0,0,0,0,0,0,0,210,2429,yes,0.7982366962861098,3
8470257,"Alexander Steen",18,CAN,CAN,72,211,L,2002,24,12,57,23,26,49,69,0,12,2,3,5,2,0,314,5304,yes,0.797197326672342,3
8469478,"Alexander Perezhogin",18,KAZ,EURO,72,211,R,2001,25,10,54,58,31,89,44,0,1,0,0,0,0,0,128,1401,yes,0.7965575177984949,3
