id,PlayerName,DraftAge,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
9560,"Yegor Shastin",19,EURO,70,187,L,2001,124,13,33,4,12,16,67,11,9,1,0,1,18,0,0,no,7.752682999999998,0.0004294039403466232,4
9562,"Ruslan Zainullin",18,EURO,74,225,R,2000,34,8,38,22,9,31,26,11,0,0,0,0,0,0,0,no,8.185602,0.00027855902061791243,4
9563,"Yuri Trubachyov",18,EURO,68,203,C,2001,164,23,40,8,12,20,30,8,0,0,0,0,0,0,0,no,9.607566999999998,0.00006721364933821343,4
9564,"Igor Knyazev",18,EURO,72,194,D,2001,15,7,48,7,7,14,88,13,0,0,0,0,0,0,0,no,11.039382,0.000016056479918787145,4
9566,"Igor Grigorenko",18,EURO,70,214,R,2001,62,25,45,16,14,30,96,11,0,0,0,0,0,0,0,no,8.914098,0.00013446152348872004,4
9569,"Andrei Taratukhin",18,EURO,74,223,C,2001,41,34,47,21,31,52,79,4,0,0,0,0,0,0,0,no,7.270503999999999,0.0006952774945790262,4
9573,"Alexander Polushin",18,EURO,75,212,R,2001,47,8,44,13,5,18,16,5,0,0,0,0,0,0,0,no,9.701256,0.00006120282528657392,4
9576,"Konstantin Korneyev",18,EURO,71,194,D,2002,275,34,38,11,26,37,44,12,2,0,0,0,2,0,0,no,9.672728999999999,0.00006297378836977797,4
9578,"Sergei Anshakov",18,EURO,75,203,L,2002,50,8,50,22,15,37,10,32,7,3,0,3,0,1,0,no,48.572754,8.037499648803567e-22,4
9594,"Dmitri Kirilenko",20,EURO,71,196,R,1999,252,58,44,7,9,16,28,5,0,0,0,0,0,0,0,no,9.727376,0.000059624998925509974,4
9597,"Alexander Ryazantsev",18,EURO,72,225,D,1998,167,8,59,12,18,30,48,1,0,0,0,0,0,0,0,no,8.940205,0.00013099701705460455,4
9598,"Yevgeni Muratov",19,EURO,69,176,R,2000,274,211,44,17,11,28,8,8,9,0,0,0,2,0,0,no,6.960928999999998,0.0009473170127908194,4
9599,"Anton But",18,EURO,74,214,L,1998,119,23,28,5,3,8,16,1,0,0,0,0,0,0,0,no,10.189241999999997,0.00003757094402305248,4
