id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
9459,"Michael Lambert",18,Canada,CAN,74,194,L,2002,99,37,79,31,26,57,113,-10,7,1,6,7,15,1,0,0,no,0.11615057223327242,5
14450,"Kiel Mcleod",19,Canada,CAN,78,234,C,2001,53,24,65,38,28,66,94,-1,4,4,1,5,8,3,0,0,no,0.11603246084502847,5
8469484,"Matthew Spiller",18,CAN,CAN,77,233,D,2001,31,35,71,4,7,11,174,0,9,1,0,1,22,1,68,807,yes,0.10230352044955754,5
57300,"Zbynek Novak",18,"Czech Rep.",EURO,75,254,L,2001,191,72,51,10,10,20,30,-4,3,1,0,1,2,1,0,0,no,0.09236751896992897,5
9578,"Sergei Anshakov",18,Russia,EURO,75,203,L,2002,50,8,50,22,15,37,10,32,7,3,0,3,0,1,0,0,no,0.08425286856070667,5
11489,"Dominic D'Amour",18,Canada,CAN,75,220,D,2002,88,56,68,5,5,10,225,-8,12,0,3,3,32,1,0,0,no,0.07560978101600739,5
9610,"Ondrej Nemec",18,"Czech Rep.",EURO,72,203,D,2002,35,14,87,12,22,34,218,16,8,0,0,0,16,3,0,0,no,0.06493217559158054,5
54842,"Jiri Jakes",19,"Czech Rep.",EURO,76,220,R,2001,147,43,64,22,16,38,73,-12,6,1,1,2,4,3,0,0,no,0.053305562674993937,5
39661,"Jevon Desautels",18,Canada,CAN,75,214,L,2002,109,97,60,6,11,17,162,-5,11,1,0,1,20,1,0,0,no,0.04838258011188082,5
304,"Jens Karlsson",19,Sweden,EURO,75,216,R,2001,18,26,45,12,10,23,113,-4,7,1,5,6,81,3,0,0,no,0.04356474974319108,5
28068,"Darren Mclachlan",18,Canada,CAN,74,216,L,2001,77,32,42,10,9,19,161,-8,9,1,3,4,18,3,0,0,no,0.03894655451590093,5
2699,"Mikko Viitanen",19,Finland,EURO,75,220,D,2001,149,105,50,6,13,19,107,-4,3,0,0,0,0,2,0,0,no,0.03451402333329329,5
8030,"Carter Trevisani",19,Italy,EURO,73,198,D,2001,244,31,45,9,11,20,24,5,20,1,4,5,26,3,0,0,no,0.034238338762112935,5
13648,"Frantisek Lukes",19,"Czech Rep.",EURO,71,187,R,2001,243,112,61,23,33,56,37,16,18,4,9,13,12,3,0,0,no,0.032823128382961565,5
49474,"Jean-Francois Dufort",20,Canada,CAN,74,201,L,2002,205,NULL,68,22,41,63,267,21,16,4,9,13,24,3,0,0,no,0.028341263245661705,5
13405,"Lane Manson",18,Canada,CAN,81,249,D,2002,124,NULL,67,4,3,7,88,1,12,0,1,1,6,2,0,0,no,0.02780152418790352,5
