id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
41694,Trevor Ettinger,18,Canada,CAN,77,225,D,1998,159,,50,1,2,3,181,-5,3,0,0,0,7,0,0,0,no
42142,Jason Metcalfe,20,Canada,CAN,73,203,D,1998,232,,66,2,21,23,270,28,5,0,1,1,8,-3,0,0,no
43119,Matthew Maglione,19,USA,USA,73,187,D,2001,249,,30,4,5,9,12,0,0,0,0,0,0,0,0,0,no
43125,Rob Flynn,19,USA,USA,74,220,L,2002,270,,30,1,3,4,6,0,0,0,0,0,0,0,0,0,no
43245,Jeremy Goetzinger,18,Canada,CAN,76,231,D,1998,198,,69,4,6,10,78,-2,0,0,0,0,0,0,0,0,no
44320,Pavel Duma,19,Russia,EURO,74,198,D,2000,144,,44,3,8,11,20,9,7,0,0,0,2,0,0,0,no
45900,Josef Vavra,18,Czech Rep.,EURO,72,183,L,2002,246,,35,3,12,15,39,1,0,0,0,0,0,0,0,0,no
49470,Joel Andresen,19,Canada,CAN,74,218,D,2002,157,,53,9,19,28,62,0,6,0,2,2,12,0,0,0,no
49474,Jean-Francois Dufort,20,Canada,CAN,74,201,L,2002,205,,68,22,41,63,267,21,16,4,9,13,24,3,0,0,no
50296,Dmitri Semyonov,18,Russia,EURO,70,198,R,2000,127,,21,4,5,9,79,0,0,0,0,0,0,0,0,0,no
50374,George Davis,19,Canada,CAN,74,236,R,2002,140,,46,4,1,5,274,2,16,1,2,3,18,-1,0,0,no
51175,Tyler Boldt,18,Canada,CAN,74,198,D,2002,236,,62,5,14,19,76,13,4,1,0,1,0,0,0,0,no
51896,Ian Jacobs,18,Canada,CAN,76,234,D,1998,203,,61,7,8,15,23,5,10,0,0,0,4,-2,0,0,no
52111,Pavel Frolov,18,Russia,EURO,73,176,C,2002,290,,33,3,8,11,8,0,0,0,0,0,0,0,0,0,no
52860,Josh Morrow,19,Canada,CAN,73,207,D,2002,203,,76,10,27,37,199,-18,0,0,0,0,0,0,0,0,no
53321,Jan Blanar,18,Slovakia,EURO,75,218,D,2001,263,,35,3,6,9,16,0,0,0,0,0,0,0,0,0,no
55438,Pavel Sedov,18,Russia,EURO,75,201,R,2000,161,,31,5,5,10,28,0,0,0,0,0,0,0,0,0,no
58017,Vadim Sozinov,19,Kazakhstan,EURO,73,196,L,2000,179,,10,5,1,6,47,-7,0,0,0,0,0,0,0,0,no
