@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,24-25'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,USA,CAN}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {L,D,C,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric

@data
0,CAN,0.6875,0.811881,L,?,0.43,0.038462,0.018182,0.026596,0.816327,0.366972,0,0,0,0,0,0.310345,0
0,CAN,0.5,0.158416,C,?,0.4,0.192308,0.263636,0.234043,0.414966,0.357798,0,0,0,0,0,0.310345,0
0.111111,EURO,0.6875,0.39604,L,?,0.59,0.089744,0.136364,0.117021,0.14966,0.366972,0.344828,0,0,0,0.088235,0.310345,0
0.222222,EURO,0.6875,0.613861,D,?,0.71,0.089744,0.163636,0.132979,0.112245,0.385321,0,0,0,0,0,0.310345,0
0.222222,USA,0.5625,0.742574,D,?,0.38,0.025641,0.018182,0.021277,0.431973,0.183486,0,0,0,0,0,0.310345,0
0,USA,0.625,0.306931,L,?,0.54,0.179487,0.2,0.191489,0.044218,0.357798,0.137931,0,0.033333,0.021739,0.029412,0.310345,0
0,CAN,0.6875,0.50495,D,?,0.46,0.192308,0.227273,0.212766,0.248299,0.357798,0.517241,0.318182,0.2,0.282609,0.147059,0.310345,0
0.333333,EURO,0.6875,0.940594,D,?,0.19,0.038462,0.009091,0.021277,0.136054,0.357798,0,0,0,0,0,0.310345,0
0,CAN,0.625,0.594059,L,?,0.67,0.012821,0.072727,0.047872,0.809524,0.366972,0,0,0,0,0,0.310345,0
0.222222,CAN,0.625,0.574257,D,?,0.28,0.038462,0.027273,0.031915,0.061224,0.357798,0,0,0,0,0,0.310345,0
0.222222,EURO,0.625,0.524752,C,?,0.45,0.051282,0.018182,0.031915,0.159864,0.348624,0.172414,0.045455,0,0.021739,0.088235,0.310345,0
0,EURO,0.625,0.465347,D,?,0,0,0,0,0,0.357798,0,0,0,0,0,0.310345,0
0.111111,CAN,0.4375,0.415842,L,?,0.64,0.333333,0.481818,0.420213,0.159864,0.678899,0.517241,0.181818,0.333333,0.304348,0.147059,0.241379,0
0,USA,0.5625,0.306931,C,?,0,0,0,0,0,0.357798,0,0,0,0,0,0.310345,0
0.111111,USA,0.375,0.306931,L,?,0.39,0.038462,0.054545,0.047872,0.061224,0.357798,0,0,0,0,0,0.310345,0
0,CAN,0.5,0.326733,R,?,0.72,0.076923,0.118182,0.101064,0.095238,0.357798,0.241379,0.090909,0,0.043478,0.058824,0.206897,0
0.111111,EURO,0.8125,0.613861,R,?,0.35,0.012821,0.063636,0.042553,0.078231,0.293578,0.137931,0.045455,0,0.021739,0,0.241379,0
0.222222,USA,0.5625,0.524752,R,?,0.6,0.474359,0.281818,0.361702,0.204082,0.321101,0,0,0,0,0,0.310345,0
0.111111,USA,0.5625,0.544554,D,?,0.59,0.012821,0.218182,0.132979,0.496599,0.559633,0.241379,0.045455,0.033333,0.043478,0.088235,0.482759,0
0,USA,0.625,0.50495,C,?,0.6,0.346154,0.272727,0.303191,0.319728,0.357798,0,0,0,0,0,0.310345,0
0.111111,USA,0.6875,0.50495,D,?,0.42,0,0.063636,0.037234,0.544218,0.357798,0,0,0,0,0,0.310345,0
0.222222,CAN,0.5625,0.50495,R,?,0.45,0.320513,0.327273,0.324468,0.734694,0.357798,0.241379,0.181818,0.066667,0.130435,0.147059,0.310345,0
0.222222,CAN,0.5,0.356436,R,?,0.56,0.128205,0.136364,0.132979,0.918367,0.357798,0.275862,0,0.066667,0.043478,0.382353,0.344828,0
0.111111,CAN,0.6875,0.653465,D,?,0.41,0.064103,0.109091,0.090426,0.704082,0.357798,0,0,0,0,0,0.310345,0
0.222222,CAN,0.625,0.50495,D,?,0.68,0.192308,0.3,0.255319,0.340136,0.302752,0.482759,0.227273,0.233333,0.26087,0.205882,0.344828,0
0.222222,CAN,0.3125,0.435644,C,?,0.65,0.320513,0.418182,0.37766,0.272109,0.449541,0.206897,0.227273,0.133333,0.195652,0.132353,0.344828,0
0.222222,EURO,0.6875,0.960396,D,?,0.37,0.076923,0.118182,0.101064,0.29932,0.394495,0,0,0,0,0,0.310345,0
0.222222,USA,0.4375,0.306931,L,?,0.38,0.166667,0.109091,0.132979,0.095238,0.357798,0,0,0,0,0,0.310345,0
0.111111,CAN,0.75,0.594059,D,?,0.54,0,0.027273,0.015957,0.527211,0.302752,0.344828,0,0.066667,0.043478,0.367647,0.275862,0
0.222222,USA,0.6875,0.356436,D,?,0.57,0.102564,0.218182,0.170213,0.312925,0.504587,0.448276,0.045455,0.3,0.217391,0.264706,0.37931,0
